run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
high_speed_constant_080_nolidar_40hz_retry_20260915,40,5,12992868563325,1,1,True,12992896084192,5,9.085,9086,14228,0.0,0.0,False,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0001,0.0,0.0314,4.7123,0.707,0.0111,0.0111,-0.707,0.802,3.1585,0.0592
high_speed_constant_080_nolidar_40hz_retry_20260915,49,6,12992893809085,2,2,True,12992920808161,6,9.110001,9111,14270,0.0,0.0,False,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0001,0.0027,0.0,0.0,0.0001,0.0,0.0314,4.7123,0.707,0.0111,0.0111,-0.707,0.802,3.1585,0.0592
high_speed_constant_080_nolidar_40hz_retry_20260915,58,7,12992918711829,3,3,True,12992946458872,7,9.135,9136,14308,0.0,0.0,False,0.0,0.0,6,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0002,0.0023,0.0,0.0,0.0001,0.0,0.0314,4.7123,0.707,0.0111,0.0111,-0.707,0.802,3.1585,0.0592
high_speed_constant_080_nolidar_40hz_retry_20260915,67,8,12992944420519,4,4,True,12992971165267,8,9.161,9162,14344,0.8,0.0,False,0.8,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0009,0.0,0.0,0.0001,0.0,0.0314,4.7123,0.707,0.0111,0.0111,-0.707,0.802,3.1585,0.0592
high_speed_constant_080_nolidar_40hz_retry_20260915,76,9,12992969194381,5,5,True,12992995675433,9,9.186001,9187,14387,0.8,0.0,False,0.8,0.0,8,0.8,0.0,0.0,-0.1041,0.0,8.034,8.034,0.0,0.8,5.3376,-0.0006,0.1338,0.1272,0.0,0.0031,0.0,0.0295,4.7123,0.707,0.0104,0.0104,-0.7071,0.802,3.1569,0.0589
high_speed_constant_080_nolidar_40hz_retry_20260915,85,10,12992993859429,6,6,True,12993021426533,10,9.21,9211,14435,0.8,0.0,False,0.8,0.0,9,0.8,0.0,0.0,-0.1007,0.0,16.2185,16.2185,0.0,0.8,5.3168,-0.0005,0.1542,0.255,0.0,0.006,0.0,0.027,4.7123,0.707,0.0096,0.0096,-0.7071,0.802,3.1522,0.0585
high_speed_constant_080_nolidar_40hz_retry_20260915,94,11,12993019508787,7,7,True,12993045798539,11,9.236,9237,14489,0.8,0.0,False,0.8,0.0,10,0.8,0.0,0.0,-0.0894,0.0,25.0869,25.0869,0.0,0.8,5.2757,0.0008,0.1305,0.3927,0.0,0.0089,0.0,0.0246,4.7123,0.707,0.0087,0.0087,-0.7071,0.802,3.1437,0.0581
high_speed_constant_080_nolidar_40hz_retry_20260915,103,12,12993044091750,8,8,True,12993070368619,12,9.26,9261,14538,0.8,0.0,False,0.8,0.0,11,0.8,0.0,0.0,-0.0794,0.0,33.2714,33.2714,0.0,0.8,5.2437,0.0004,0.1246,0.5189,0.0,0.011,0.0,0.0225,4.7123,0.707,0.008,0.008,-0.7071,0.802,3.1327,0.0578
high_speed_constant_080_nolidar_40hz_retry_20260915,112,13,12993068690854,9,9,True,12993096476679,13,9.285001,9286,14596,0.8,0.0,False,0.8,0.0,12,0.8,0.0,0.0,-0.0702,0.0,41.7996,41.7996,0.0,0.8,5.2136,-0.0007,0.1272,0.6495,0.0,0.0128,0.0,0.0207,4.7123,0.7071,0.0073,0.0073,-0.7071,0.802,3.118,0.0574
high_speed_constant_080_nolidar_40hz_retry_20260915,121,14,12993094565305,10,10,True,12993121280889,14,9.311001,9312,14651,0.8,0.0,False,0.8,0.0,13,0.8,0.0,0.0,-0.0617,0.0,50.6647,50.6647,0.0,0.8,5.1672,0.0006,0.0938,0.7844,0.0,0.0143,0.0,0.019,4.7123,0.7071,0.0067,0.0067,-0.7071,0.8021,3.0993,0.0572
high_speed_constant_080_nolidar_40hz_retry_20260915,130,15,12993119341592,11,11,True,12993145520947,15,9.336,9337,14708,0.8,0.0,False,0.8,0.0,14,0.8,0.0,0.0,-0.0546,0.0,59.1928,59.1928,0.0,0.8,5.1343,0.0003,0.0909,0.9132,0.0,0.0155,0.0,0.0175,4.7123,0.7071,0.0062,0.0062,-0.7071,0.802,3.078,0.0569
high_speed_constant_080_nolidar_40hz_retry_20260915,139,16,12993143563346,12,12,True,12993170741679,16,9.360001,9361,14757,0.8,0.0,False,0.8,0.0,15,0.8,0.0,0.0,-0.0485,0.0,67.3774,67.3774,0.0,0.8,5.1002,0.0004,0.0822,1.0361,0.0,0.0164,0.0,0.0163,4.7123,0.7071,0.0058,0.0058,-0.7071,0.802,3.0545,0.0567
high_speed_constant_080_nolidar_40hz_retry_20260915,148,17,12993168923441,13,13,True,12993195537783,17,9.385,9386,14814,0.8,0.0,False,0.8,0.0,16,0.8,0.0,0.0,-0.0428,0.0,75.9055,75.9055,0.0,0.8,5.0665,0.0008,0.0783,1.1632,0.0,0.0172,0.0,0.0152,4.7123,0.7071,0.0054,0.0054,-0.7071,0.802,3.0269,0.0565
high_speed_constant_080_nolidar_40hz_retry_20260915,157,18,12993193747698,14,14,True,12993220766731,18,9.410001,9411,14870,0.8,0.0,False,0.8,0.0,17,0.8,0.0,0.0,-0.0378,0.0,84.4303,84.4303,0.0,0.8,5.0266,0.0,0.0591,1.2894,0.0,0.0178,0.0,0.0141,4.7123,0.7071,0.005,0.005,-0.7071,0.802,2.9962,0.0564
high_speed_constant_080_nolidar_40hz_retry_20260915,166,19,12993218701668,15,15,True,12993245815711,19,9.435,9436,14928,0.8,0.0,False,0.8,0.0,18,0.8,0.0,0.0,-0.0335,0.0,92.9584,92.9584,0.0,0.8,4.9948,0.0003,0.06,1.4148,0.0,0.0184,0.0,0.0133,4.7123,0.7071,0.0047,0.0047,-0.7071,0.8021,2.9623,0.0562
