simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.081,0.106000006,82.0,107.0,25.0,0.02500000599999999,0.8013,3.1602,-1.5707963267948968,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,3.1604,-1.5707963267948968,0.0,0.0,0.0
0.106000006,0.131000012,107.0,132.0,25.0,0.025000006000000005,0.803,3.1604,-1.5707963267948968,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,3.1605,-1.5707963267948963,0.0917,0.0002,-0.0001
0.131000012,0.156,132.0,157.0,25.0,0.024999988,0.805,3.1605,-1.5707963267948963,0.0917,0.0002,-0.0001,6.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,3.1594,-1.5707963267948963,0.0178,0.0001,0.0
0.156,0.181000009,157.0,182.0,25.0,0.02500000899999999,0.805,3.1594,-1.5707963267948963,0.0178,0.0001,0.0,7.0,0.85,0.0,0.85,0.0,0.0,20.134096751725174,8.5314,8.5314,0.0,0.0,0.805,3.157,-1.5707980570870046,0.1703,0.0,0.0
0.181000009,0.206000015,182.0,207.0,25.0,0.02500000600000002,0.805,3.157,-1.5707980570870046,0.1703,0.0,0.0,8.0,0.85,0.0,0.85,0.0,0.0,21.385134867567615,17.5929,17.5929,0.0,0.0,0.8051,3.1509,-1.5707963267948968,0.3076,0.0,0.0
0.206000015,0.231,207.0,232.0,25.0,0.024999985000000002,0.8051,3.1509,-1.5707963267948968,0.3076,0.0,0.0,9.0,0.85,0.0,0.85,0.0,0.0,21.38538883123329,26.6545,26.6545,0.0,0.0,0.8051,3.1415,-1.5707963267948968,0.4421,0.0,0.0
0.231,0.256,232.0,257.0,25.0,0.024999999999999994,0.8051,3.1415,-1.5707963267948968,0.4421,0.0,0.0,10.0,0.85,0.0,0.85,0.0,0.0,21.377352000000002,35.7127,35.7127,0.0,0.0,0.8051,3.1287,-1.5707963267948968,0.5753,0.0,0.0
0.256,0.281000018,257.0,282.0,25.0,0.025000018000000013,0.8051,3.1287,-1.5707963267948968,0.5753,0.0,0.0,11.0,0.85,0.0,0.85,0.0,0.0,21.38512460271028,44.7742,44.7742,0.0,0.0,0.8051,3.1126,-1.5707963267948968,0.7074,0.0,0.0
0.281000018,0.306000024,282.0,307.0,25.0,0.025000005999999964,0.8051,3.1126,-1.5707963267948968,0.7074,0.0,0.0,12.0,0.85,0.0,0.85,0.0,0.0,21.385370867511018,53.8358,53.8358,0.0,0.0,0.8051,3.0932,-1.570797456888717,0.8382,0.0,0.0
0.306000024,0.33100003,307.0,332.0,25.0,0.02500000600000002,0.8051,3.0932,-1.570797456888717,0.8382,0.0,0.0,13.0,0.85,0.0,0.85,0.0,0.0,21.385134867567622,62.8973,62.8973,0.0,0.0,0.8051,3.0706,-1.5707963267948963,0.9681,0.0,0.0
0.33100003,0.356,332.0,357.0,25.0,0.024999969999999982,0.8051,3.0706,-1.5707963267948963,0.9681,0.0,0.0,14.0,0.85,0.0,0.85,0.0,0.0,21.385165662198798,71.9588,71.9588,0.0,0.0,0.8051,3.0447,-1.5707963267948963,1.0969,0.0,0.0
0.356,0.381,357.0,382.0,25.0,0.025000000000000022,0.8051,3.0447,-1.5707963267948963,1.0969,0.0,0.0,15.0,0.85,0.0,0.85,0.0,0.0,21.385375999999976,81.0204,81.0204,0.0,0.0,0.8052,3.0156,-1.5707963267948963,1.2247,0.0,0.0
0.381,0.406000018,382.0,407.0,25.0,0.025000018000000013,0.8052,3.0156,-1.5707963267948963,1.2247,0.0,0.0,16.0,0.85,0.0,0.85,0.0,0.0,21.3851246027103,90.0819,90.0819,0.0,0.0,0.8052,2.9833,-1.5707963267948963,1.3515,0.0,0.0
0.406000018,0.431000024,407.0,432.0,25.0,0.025000005999999964,0.8052,2.9833,-1.5707963267948963,1.3515,0.0,0.0,17.0,0.85,0.0,0.85,0.0,0.0,21.38513486756765,99.1434,99.1434,0.0,0.0,0.8052,2.9479,-1.5707971368370026,1.4773,0.0,0.0
0.431000024,0.45600003,432.0,457.0,25.0,0.02500000600000002,0.8052,2.9479,-1.5707971368370026,1.4773,0.0,0.0,18.0,0.85,0.0,0.85,0.0,0.0,21.38537086751097,108.205,108.205,0.0,0.0,0.8052,2.9093,-1.5707963267948963,1.6022,0.0,0.0
0.45600003,0.482000023,457.0,483.0,26.0,0.025999993,0.8052,2.9093,-1.5707963267948963,1.6022,0.0,0.0,19.0,0.85,0.0,0.85,0.0,0.0,21.383194218552287,117.6265,117.6297,0.0,0.0,0.8052,2.8659,-1.570797056828347,1.731,0.0,0.0
0.482000023,0.506000042,483.0,507.0,24.0,0.02400001900000004,0.8052,2.8659,-1.570797056828347,1.731,0.0,0.0,20.0,0.85,0.0,0.85,0.0,0.0,21.387237235103836,126.328,126.328,0.0,0.0,0.8052,2.8229,-1.5707963267948963,1.8491,0.0,0.0
0.506000042,0.531,507.0,532.0,25.0,0.02499995799999999,0.8052,2.8229,-1.5707963267948963,1.8491,0.0,0.0,21.0,0.85,0.0,0.85,0.0,0.0,21.385411927492044,135.3896,135.3896,0.0,0.0,0.8052,2.7751,-1.5707969968227828,1.9712,0.0,0.0
0.531,0.556000054,532.0,557.0,25.0,0.02500005399999994,0.8052,2.7751,-1.5707969968227828,1.9712,0.0,0.0,22.0,0.85,0.0,0.85,0.0,0.0,21.385093808197414,144.4511,144.4511,0.0,0.0,0.8052,2.7242,-1.5707963267948963,2.0923,0.0,0.0
0.556000054,0.580000043,557.0,581.0,24.0,0.023999989,0.8052,2.7242,-1.5707963267948963,2.0923,0.0,0.0,23.0,0.85,0.0,0.85,0.0,0.0,21.383330634026585,153.1494,153.1494,0.0,0.0,0.8053,2.6726,-1.5707963267948963,2.2078,0.0,0.0
0.580000043,0.606,581.0,607.0,26.0,0.025999957000000018,0.8053,2.6726,-1.5707963267948963,2.2078,0.0,0.0,24.0,0.85,0.0,0.85,0.0,0.0,21.387081524788606,162.5742,162.5742,0.0,0.0,0.8053,2.6135,-1.5707963267948963,2.3321,0.0,0.0
0.606,0.631000042,607.0,632.0,25.0,0.025000042000000056,0.8053,2.6135,-1.5707963267948963,2.3321,0.0,0.0,25.0,0.85,0.0,0.85,0.0,0.0,21.385104073025165,171.6357,171.6357,0.0,0.0,0.8053,2.5536,-1.5707963267948963,2.4506,0.0,0.0
0.631000042,0.656,632.0,657.0,25.0,0.02499995799999999,0.8053,2.5536,-1.5707963267948963,2.4506,0.0,0.0,26.0,0.85,0.0,0.85,0.0,0.0,21.385175927095556,180.6972,180.6972,0.0,0.0,0.8053,2.4908,-1.570796896815087,2.5683,0.0,0.0
0.656,0.681000054,657.0,682.0,25.0,0.02500005399999994,0.8053,2.4908,-1.570796896815087,2.5683,0.0,0.0,27.0,0.85,0.0,0.85,0.0,0.0,21.385093808197414,189.7587,189.7587,0.0,0.0,0.8053,2.4251,-1.5707963267948963,2.6853,0.0,0.0
0.681000054,0.70600003,682.0,707.0,25.0,0.024999976000000035,0.8053,2.4251,-1.5707963267948963,2.6853,0.0,0.0,28.0,0.85,0.0,0.85,0.0,0.0,21.385396529980632,198.8203,198.8203,0.0,0.0,0.8053,2.3565,-1.5707963267948963,2.8013,0.0,0.0
0.70600003,0.731,707.0,732.0,25.0,0.024999969999999982,0.8053,2.3565,-1.5707963267948963,2.8013,0.0,0.0,29.0,0.85,0.0,0.85,0.0,0.0,21.385165662198798,207.8818,207.8818,0.0,0.0,0.8053,2.2849,-1.5707963267948963,2.9166,0.0,0.0
0.731,0.756000042,732.0,757.0,25.0,0.025000042000000056,0.8053,2.2849,-1.5707963267948963,2.9166,0.0,0.0,30.0,0.85,0.0,0.85,0.0,0.0,21.385104073025097,216.9433,216.9433,0.0,0.0,0.8053,2.2105,-1.5707963267948963,3.031,0.0,0.0
0.756000042,0.781,757.0,782.0,25.0,0.02499995799999999,0.8053,2.2105,-1.5707963267948963,3.031,0.0,0.0,31.0,0.85,0.0,0.85,0.0,0.0,21.385411927492044,226.0049,226.0049,0.0,0.0,0.8054,2.1333,-1.5707963267948963,3.1446,0.0,0.0
