run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
high_speed_corner_18_openplane_20260915,1,4,4,0.081,82,221,0.8013,3.1602,0.1279,0.0,0.0,-0.7071,0.7071,0.0,0.0,4.7124,0.0,0.0,-0.7858,0.0,0.0,0.0,0.0,0.0,-9.5954,0.0,0.0
high_speed_corner_18_openplane_20260915,2,5,5,0.106000006,107,347,0.803,3.1604,0.1055,0.0,0.0,-0.7071,0.7071,0.0,0.0,4.7124,0.0,0.0,-1.0248,0.0,0.0,0.0,0.0,0.0,-9.5302,0.0,0.0
high_speed_corner_18_openplane_20260915,3,6,6,0.131000012,132,482,0.805,3.1605,0.0789,0.0017,0.0017,-0.7071,0.7071,0.0006,0.0048,4.7124,0.0917,0.0002,-0.9765,-0.0029,1.3985,-0.0001,16.02,0.0326,34.9242,0.0,0.0
high_speed_corner_18_openplane_20260915,4,7,7,0.156,157,614,0.805,3.1594,0.0715,0.0088,0.0088,-0.7071,0.7071,0.0033,0.0249,4.7124,0.0178,0.0001,-0.1384,-0.0007,0.2002,0.0,-1.5848,-0.0085,8.5921,0.0,0.0
high_speed_corner_18_openplane_20260915,5,8,8,0.181000009,182,742,0.805,3.157,0.0693,0.0086,0.0087,-0.7071,0.7071,0.0035,0.0245,4.7124,0.1703,0.0,-0.0598,0.0001,-0.0878,0.0,5.665,0.0018,0.9713,8.5314,8.5314
high_speed_corner_18_openplane_20260915,6,9,9,0.206000015,207,880,0.8051,3.1509,0.0675,0.0079,0.0079,-0.7071,0.7071,0.0032,0.0223,4.7124,0.3076,0.0,-0.0455,0.0002,-0.0825,0.0,5.4165,-0.0005,0.4251,17.5929,17.5929
high_speed_corner_18_openplane_20260915,7,10,10,0.231,232,1017,0.8051,3.1415,0.066,0.0072,0.0072,-0.7071,0.7071,0.0029,0.0204,4.7124,0.4421,0.0,-0.0367,0.0002,-0.0719,0.0,5.3624,-0.0018,0.3672,26.6545,26.6545
high_speed_corner_18_openplane_20260915,8,11,11,0.256,257,1135,0.8051,3.1287,0.0647,0.0066,0.0066,-0.7071,0.7071,0.0026,0.0187,4.7124,0.5753,0.0,-0.0294,0.0002,-0.0631,0.0,5.2969,-0.0013,0.2829,35.7127,35.7127
high_speed_corner_18_openplane_20260915,9,12,12,0.281000018,282,1275,0.8051,3.1126,0.0635,0.0061,0.0061,-0.7071,0.7071,0.0023,0.0173,4.7124,0.7074,0.0,-0.0229,0.0002,-0.0556,0.0,5.2524,0.0006,0.2514,44.7742,44.7742
high_speed_corner_18_openplane_20260915,10,13,13,0.306000024,307,1404,0.8051,3.0932,0.0625,0.0056,0.0057,-0.7071,0.7071,0.002,0.016,4.7124,0.8382,0.0,-0.0176,0.0002,-0.0488,0.0,5.2059,0.0006,0.216,53.8358,53.8358
high_speed_corner_18_openplane_20260915,11,14,14,0.33100003,332,1540,0.8051,3.0706,0.0616,0.0052,0.0052,-0.7071,0.7071,0.0019,0.0148,4.7124,0.9681,0.0,-0.0129,0.0002,-0.0429,0.0,5.1768,0.0001,0.2234,62.8973,62.8973
