stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded
1789484645.3034759,0,0,0,0,0,0,0,0,0,0,0
1789484645.3284757,0,0,0,0,0,0,1,0,0,0,0
1789484645.3534758,0.40050152778625486,0.40050152778625486,0.40050152778625486,0,0.0050062881947083157,-1.446825650141695e-08,0,0,0,0,0
1789484645.3784759,0.36118327779960629,0.054177491669940951,0.054177491669940951,0,0.010689797600352848,-4.7109283978427113e-07,1,0,0,0,0
1789484645.4034758,0.1958016812851906,0.1958016812851906,0.1958016812851906,0,0.013814519345741575,-9.4965441536643038e-07,0,1,0,0,0
1789484645.4284759,0.33121469784288404,0.33121469784288404,0.33121469784288404,0,0.020402249152105045,-1.8595459659720977e-06,0,1,0,0,0
1789484645.4534757,0.4652739307454109,0.4652739307454109,0.4652739307454109,0,0.030358299975159146,-2.997155861092948e-06,0,1,0,0,0
1789484645.4784758,0.59769693589715955,0.59769693589715955,0.59769693589715955,0,0.043645486434115977,-4.2648753044873826e-06,0,1,0,0,0
1789484645.5034759,0.72900743680505753,0.72900743680505753,0.72900743680505753,0,0.06022935430098432,-5.6044631825538019e-06,0,0,0,0,0
1789484645.5284758,0.85915419209508892,0.85915419209508892,0.85915419209508892,0,0.080081261019836578,-6.9882374566172403e-06,0,0,0,0,0
1789484645.5534759,0.98857468579320906,0.98857468579320906,0.98857468579320906,0,0.10317796005908887,-8.3632658910651462e-06,0,0,0,0,0
1789484645.578476,1.1166026741793633,1.1166026741793633,1.1166026741793633,0,0.12949277740713194,-9.7067061425655192e-06,0,0,0,0,0
1789484645.6034758,1.2442069440176964,1.2442069440176964,1.2442069440176964,0,0.15900272874622504,-1.1039731098332992e-05,0,0,0,0,0
1789484645.6284757,1.3705812208941459,1.3705812208941459,1.3705812208941459,0,0.19168739375770519,-1.2335729686424351e-05,0,0,0,0,0
1789484645.653476,1.4961053968003273,1.4961053968003273,1.4961053968003273,0,0.22752145488650338,-1.3600716588069909e-05,0,0,0,0,0
1789484645.6784759,1.6204471853068352,1.6204471853068352,1.6204471853068352,0,0.26647813923060842,-1.481815100738699e-05,0,0,0,0,0
1789484645.7044756,1.7486157228281975,1.7486157228281975,1.7486157228281975,0,0.31027559395130394,-1.6050207958607871e-05,0,0,0,0,0
1789484645.7284758,1.8659765435984612,1.8659765435984612,1.8659765435984612,0,0.35365100448248499,-1.7175395253768074e-05,0,0,0,0,0
