stamp_s,time_s,phase,source_event_name,source_event_count,source_event_stamp_s,target_speed_mps,target_accel_mps2,controller_speed_mps,controller_accel_mps2,controller_steering_rad,throttle_command,throttle_feedback,steering_command,steering_feedback,speed_mps,speed_rate_mps2,gt_speed_rate_mps2,ax_mps2,ay_mps2,az_mps2,imu_accel_norm_mps2,yaw_rate_radps,odom_yaw_rate_radps,imu_yaw_rate_radps,imu_yaw_rad,imu_stamp_s,odom_stamp_s,gt_odom_stamp_s,left_encoder_stamp_s,right_encoder_stamp_s,left_encoder_rad,right_encoder_rad,left_encoder_speed_radps,right_encoder_speed_radps,left_encoder_dt_s,right_encoder_dt_s,encoder_wheel_speed_mps,gt_slip_speed_mps,gt_slip_ratio,x_odom_m,y_odom_m,yaw_odom_rad,odom_raw_wheel_speed_mps,odom_corrected_wheel_speed_mps,odom_longitudinal_slip_ratio,odom_wheel_observation_confidence,odom_diagnostics_stamp_s,odom_diagnostics_speed_mps,odom_observer_version,odom_observer_source_stamp_s,odom_observer_dt_s,odom_observer_speed_pred_mps,odom_observer_body_u_mps,odom_observer_body_v_mps,odom_observer_ax_mps2,odom_observer_ay_mps2,odom_observer_yaw_rate_radps,odom_observer_wheel_update_used,odom_observer_turn_mode,odom_observer_reset_epoch,odom_observer_timing_degraded,odom_observer_packet_drop_count,odom_observer_packet_coherence_fault_count,odom_observer_x_m,odom_observer_y_m,odom_observer_yaw_rad,odom_observer_sensor_outlier,odom_observer_left_angle_rad,odom_observer_right_angle_rad,odom_observer_imu_yaw_rad,odom_observer_packet_wheel_speed_mps,odom_observer_wheel_burst_rejected,odom_observer_turn_speed_bias_mps,brake_encoder_stopped,brake_imu_stopped,brake_odom_stopped,brake_gt_stopped,brake_stop_confirmed,brake_stop_elapsed_s,speed_settled,speed_settle_rate_mps2,speed_settle_elapsed_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,gt_odom_x_m,gt_odom_y_m,gt_odom_z_m,gt_odom_yaw_rad,gt_ips_x_m,gt_ips_y_m,gt_ips_z_m,x_amcl_m,y_amcl_m,yaw_amcl_rad,amcl_xy_variance,amcl_yaw_variance,x_ekf_m,y_ekf_m,yaw_ekf_rad,ekf_xy_variance,ekf_yaw_variance,x_ekf_odom_m,y_ekf_odom_m,yaw_ekf_odom_rad,ekf_odom_xy_variance,ekf_odom_yaw_variance,ekf_odom_stamp_s,x_current_map_m,y_current_map_m,yaw_current_map_rad,current_map_xy_variance,current_map_yaw_variance,current_map_pose_stamp_s,pp_publish_stamp_s,pp_odom_event_stamp_s,pp_pose_x_m,pp_pose_y_m,pp_pose_yaw_rad,pp_velocity_mps,pp_yaw_rate_radps,pp_valid,pp_cross_track_error_m,pp_closest_distance_m,pp_heading_error_rad,pp_lookahead_distance_m,pp_closest_index,pp_target_index,pp_target_speed_mps,pp_raw_steering_rad,pp_command_steering_rad,pp_command_speed_mps,pp_target_x_m,pp_target_y_m,amcl_scan_stamp_s,amcl_scan_matched_odom_stamp_s,amcl_scan_source_error_ms,amcl_scan_accepted,amcl_scan_queued,amcl_scan_dropped,amcl_scan_bracket_before_stamp_s,amcl_scan_bracket_after_stamp_s,amcl_scan_processing_dropped,amcl_health_correction_age_s,amcl_health_correction_accepted,amcl_health_rejected_scans,amcl_health_degraded,amcl_health_xy_variance,amcl_health_yaw_variance,amcl_health_scan_correction_distance_m,amcl_health_scan_correction_yaw_rad,amcl_health_applied_xy_correction_m,amcl_health_applied_yaw_correction_rad,amcl_health_scan_correction_x_m,amcl_health_scan_correction_y_m,amcl_health_applied_x_m,amcl_health_applied_y_m,amcl_health_source_stamp_s,amcl_particle_count,lidar_rate_hz,lidar_event_count,imu_rate_hz,imu_event_count,left_encoder_rate_hz,left_encoder_event_count,right_encoder_rate_hz,right_encoder_event_count,odom_rate_hz,odom_event_count,odom_diagnostics_rate_hz,odom_diagnostics_event_count,gt_odom_rate_hz,gt_odom_event_count,gt_ips_rate_hz,gt_ips_event_count,collision_rate_hz,collision_event_count,amcl_rate_hz,amcl_event_count,ekf_rate_hz,ekf_event_count,ekf_odom_rate_hz,ekf_odom_event_count,speed_command_rate_hz,speed_command_event_count,throttle_command_rate_hz,throttle_command_event_count,steering_command_rate_hz,steering_command_event_count,throttle_feedback_rate_hz,throttle_feedback_event_count,steering_feedback_rate_hz,steering_feedback_event_count,current_map_pose_rate_hz,current_map_pose_event_count,pp_diagnostics_rate_hz,pp_diagnostics_event_count,amcl_timing_rate_hz,amcl_timing_event_count,amcl_gpu_timing_rate_hz,amcl_gpu_timing_event_count,amcl_kld_diagnostics_rate_hz,amcl_kld_diagnostics_event_count,amcl_scan_alignment_rate_hz,amcl_scan_alignment_event_count,amcl_localization_health_rate_hz,amcl_localization_health_event_count,amcl_particle_count_rate_hz,amcl_particle_count_event_count,amcl_timing_ms,amcl_gpu_transfer_ms,amcl_gpu_pf_ms,amcl_gpu_callback_ms,amcl_pose_published,amcl_cluster_weight,amcl_cluster_second_weight,amcl_kld_pre_particles,amcl_kld_bins,amcl_kld_target,amcl_kld_particles,speed_command_mps,speed_command_accel_mps2,speed_command_steering_rad,speed_command_stamp_s
1789484645.3222532,5.353481475,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,-9.5954,9.5954,0.0,0.0,0.0,-1.5707771464270195,1789484645.3034756,1789484645.3034756,1789484645.3034756,1789484645.3034756,1789484645.3034756,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789484645.3034759,0.0,5.0,1789484645.3034759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8013,3.1602,0.1279,-1.5707771464270195,0.0,0.0,-0.7858,0.0,nan,nan,nan,nan,nan,0.0,0,0.8013,3.1602,0.1279,-1.5707771464270195,0.8013,3.1602,0.1279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,nan,nan,nan,nan,nan,nan,49.989332976193545,265,89.98079935714837,478,89.98079935714837,478,0.0,1,0.0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484645.4422731,5.473501377,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.33121469784288404,5.416551656064925,5.492031425655893,5.4165,-0.0005,0.4251,5.433155851804732,0.0,0.0,0.0,-1.5709019820088543,1789484645.4284756,1789484645.4284756,1789484645.4284756,1789484645.4284756,1789484645.4284756,17.5929,17.5929,362.46207402462403,362.46207402462403,0.02499985694885254,0.02499985694885254,21.385262367452818,21.077662367452817,42.15532473490563,0.020402249152105045,-1.8595459659720977e-06,-0.00012483558183484789,10.3797961515825,9.937904178302993,20.09716290747923,0.0,1789484645.4284759,0.33121469784288404,5.0,1789484645.4284759,0.02500009536743164,0.33121469784288404,0.33121469784288404,0.0,5.4165,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020402249152105045,-1.8595459659720977e-06,-0.00012483558183484789,0.0,17.5929,17.5929,-0.00012483558183484789,21.38505842247611,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8051,3.1509,0.0675,-1.5709019820088543,0.3076,0.0,-0.0455,0.3076,5.492031425655893,0.0,5.492031425655893,5.492031425655893,0.02499985694885254,0.0,0,0.8051,3.1509,0.0675,-1.5709019820088543,0.8051,3.1509,0.0675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,nan,nan,nan,nan,nan,nan,49.989332976193545,265,89.98079935714837,483,89.98079935714837,483,0.0,6,0.0,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484645.56212,5.593348288,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.9885746857932091,5.17684937009451,5.196029731920616,5.1768,0.0001,0.2234,5.181618068711742,0.0,0.0,0.0,-1.5708312293518438,1789484645.5534756,1789484645.5534756,1789484645.5534756,1789484645.5534756,1789484645.5534756,62.8973,62.8973,362.4620740246241,362.4620740246241,0.02499985694885254,0.02499985694885254,21.38526236745282,20.41716236745282,21.089931171834337,0.10317796005908887,-8.363265891065146e-06,-5.408292482433906e-05,21.383221411056407,20.196452622742775,20.630355013489964,0.0,1789484645.5534759,0.9885746857932091,5.0,1789484645.5534759,0.02500009536743164,0.9885746857932091,0.9885746857932091,0.0,5.1768,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10317796005908887,-8.363265891065146e-06,-5.408292482433906e-05,0.0,62.8973,62.8973,-5.408292482433906e-05,21.385058422476114,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8051,3.0706,0.0616,-1.5708312293518438,0.9681,0.0,-0.0129,0.9681,5.196029731920616,0.0,5.196029731920616,5.196029731920616,0.02499985694885254,0.0,0,0.8051,3.0706,0.0616,-1.5708312293518438,0.8051,3.0706,0.0616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,nan,nan,nan,nan,nan,nan,49.989332976193545,265,89.98079935714837,488,89.98079935714837,488,0.0,11,0.0,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484645.6622124,5.693440594,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,1.4961053968003273,5.020947882851095,5.03198080451659,5.0209,-0.0001,0.159,5.023416946660908,0.0,0.0,0.0,-1.5708107675455258,1789484645.6534758,1789484645.6534758,1789484645.6534758,1789484645.6534758,1789484645.6534758,99.1434,99.1434,362.4586173301034,362.4586173301034,0.02500009536743164,0.02500009536743164,21.3850584224761,19.9077584224761,13.475772302495159,0.22752145488650338,-1.3600716588069909e-05,-3.3621118506355074e-05,21.385168408271205,20.198291561612155,13.293891629564989,0.0,1789484645.653476,1.4961053968003273,5.0,1789484645.653476,0.025000333786010742,1.4961053968003273,1.4961053968003273,0.0,5.0209,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22752145488650338,-1.3600716588069909e-05,-3.3621118506355074e-05,0.0,99.1434,99.1434,-3.3621118506355074e-05,21.384854481389283,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8052,2.9479,0.059,-1.5708107675455258,1.4773,0.0,0.0008,1.4773,5.03198080451659,0.0,5.03198080451659,5.03198080451659,0.02500009536743164,0.0,0,0.8052,2.9479,0.059,-1.5708107675455258,0.8052,2.9479,0.059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,nan,nan,nan,nan,nan,nan,49.989332976193545,265,89.98079935714837,492,89.98079935714837,492,0.0,15,0.0,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484645.783232,5.814460007,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,2.1084874584963798,4.828846050849712,4.843981521676925,4.8288,-0.0007,0.0848,4.829544592402062,0.0,0.0,0.0,-1.5707976268464565,1789484645.7784758,1789484645.7784758,1789484645.7784758,1789484645.7784758,1789484645.7784758,144.4511,144.4511,362.4586173301034,362.4586173301034,0.02500009536743164,0.02500009536743164,21.3850584224761,19.292758422476098,9.220837557939157,0.45302635864549934,-1.9438654321841032e-05,-2.048041943703005e-05,21.385168408271205,20.198291561612155,9.142421441539687,0.0,1789484645.778476,2.1084874584963798,5.0,1789484645.778476,0.025000333786010742,2.1084874584963798,2.1084874584963798,0.0,4.8288,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45302635864549934,-1.9438654321841032e-05,-2.048041943703005e-05,0.0,144.4511,144.4511,-2.048041943703005e-05,21.384854481389283,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8052,2.7242,0.0571,-1.5707976268464565,2.0923,0.0,0.0106,2.0923,4.843981521676925,0.0,4.843981521676925,4.843981521676925,0.02500009536743164,0.0,0,0.8052,2.7242,0.0571,-1.5707976268464565,0.8052,2.7242,0.0571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,19,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,19,nan,nan,nan,nan,nan,nan,49.989332976193545,265,89.98079935714837,496,89.98079935714837,496,0.0,20,0.0,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484645.902291,5.933519254,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,2.5831433998396873,4.694099999999995,4.708026939546227,4.6941,-0.0022,0.0668,4.694575794467482,0.0,0.0,0.0,-1.5707939667113024,1789484645.8784757,1789484645.8784757,1789484645.8784757,1789484645.8784757,1789484645.8784757,180.6972,180.6972,362.4620740246238,362.4620740246238,0.02499985694885254,0.02499985694885254,21.385262367452803,18.816962367452803,7.326621643675896,0.6877118881722287,-2.3685519409423842e-05,-1.6820284282959008e-05,21.385146411070235,20.198270785255836,7.278729865479949,0.0,1789484645.878476,2.5831433998396873,5.0,1789484645.878476,0.02499985694885254,2.5831433998396873,2.5831433998396873,0.0,4.6941,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877118881722287,-2.3685519409423842e-05,-1.6820284282959008e-05,0.0,180.6972,180.6972,-1.6820284282959008e-05,21.385262367452807,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8053,2.4908,0.0563,-1.5707939667113024,2.5683,0.0,0.0156,2.5683,4.708026939546227,0.0,4.708026939546227,4.708026939546227,0.02499985694885254,0.0,0,0.8053,2.4908,0.0563,-1.5707939667113024,0.8053,2.4908,0.0563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,nan,nan,nan,nan,nan,nan,49.989332976193545,265,89.98079935714837,501,89.98079935714837,501,0.0,24,0.0,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484646.0023699,6.033598104,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,3.0445204529574394,4.567800000000006,4.575982544011913,4.5678,0.0008,0.0621,4.568222180454887,0.0,0.0,0.0,-1.5707906666098086,1789484645.9784758,1789484645.9784758,1789484645.9784758,1789484645.9784758,1789484645.9784758,216.9433,216.9433,362.4586173301034,362.4586173301034,0.02500009536743164,0.02500009536743164,21.3850584224761,18.3540584224761,6.0554465267159685,0.9692057809038326,-2.7898383426752936e-05,-1.3520182789106272e-05,21.385227989085358,20.19834783569112,6.024169592394035,0.0,1789484645.9784758,3.0445204529574394,5.0,1789484645.9784758,0.02500009536743164,3.0445204529574394,3.0445204529574394,0.0,4.5678,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9692057809038326,-2.7898383426752936e-05,-1.3520182789106272e-05,0.0,216.9433,216.9433,-1.3520182789106272e-05,21.3850584224761,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8053,2.2105,0.0558,-1.5707906666098086,3.031,0.0,0.0195,3.031,4.575982544011913,0.0,4.575982544011913,4.575982544011913,0.02500009536743164,0.0,0,0.8053,2.2105,0.0558,-1.5707906666098086,0.8053,2.2105,0.0558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,nan,nan,nan,nan,nan,nan,49.989332976193545,265,73.46144390808773,505,73.9611816217482,505,0.0,28,0.0,28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484646.1223044,6.153532483,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,3.6032529600432395,4.406257978408896,4.419983139102407,4.4063,0.0017,0.0373,4.406458200187538,0.0,0.0,0.0,-1.5707896465832674,1789484646.1034758,1789484646.1034758,1789484646.1034758,1789484646.1034758,1789484646.1034758,262.251,262.2543,362.45861733010224,362.4626173148448,0.02500009536743164,0.02500009536743164,21.385176422025935,17.793776422025935,4.954551545922463,1.3848793690293901,-3.3297815962742004e-05,-1.2500156247874372e-05,21.386013199999997,20.199089467399997,4.935196178883695,0.0,1789484646.1034758,3.6032529600432395,5.0,1789484646.1034758,0.02499985694885254,3.6032529600432395,3.6032529600432395,0.0,4.4063,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3848793690293901,-3.3297815962742004e-05,-1.2500156247874372e-05,0.0,262.251,262.2543,-1.2500156247874372e-05,21.38538036812798,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8054,1.7961,0.0555,-1.5707896465832674,3.5914,0.0,0.0234,3.5914,4.419983139102407,0.0,4.419983139102407,4.419983139102407,0.02500009536743164,0.0,0,0.8054,1.7961,0.0555,-1.5707896465832674,0.8054,1.7961,0.0555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.9926559824929,33,13.9926559824929,33,13.9926559824929,33,13.9926559824929,33,13.9926559824929,33,13.9926559824929,33,13.9926559824929,33,13.9926559824929,33,13.9926559824929,33,nan,nan,nan,nan,nan,nan,49.989332976193545,265,73.46144390808773,510,73.9611816217482,510,13.9926559824929,33,13.9926559824929,33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484646.2422197,6.273447805,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,4.142532965808201,4.243900000000001,4.2719837036754384,4.2439,-0.002,0.0019,4.243900896580881,0.0,0.0,0.0,-1.5707886665597275,1789484646.2284758,1789484646.2284758,1789484646.2284758,1789484646.2284758,1789484646.2284758,307.5587,307.5619,362.4626173148448,362.45861733010224,0.02500009536743164,0.02500009536743164,21.385176422025935,17.252376422025936,4.174500682836318,1.8692029270462995,-3.9013058014020034e-05,-1.1520132707998343e-05,21.38519790822899,20.19831942432228,4.162348274531299,0.0,1789484646.2284758,4.142532965808201,5.0,1789484646.2284758,0.02500009536743164,4.142532965808201,4.142532965808201,0.0,4.2439,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8692029270462995,-3.9013058014020034e-05,-1.1520132707998343e-05,0.0,307.5587,307.5619,-1.1520132707998343e-05,21.385176422025935,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8055,1.3129,0.0553,-1.5707886665597275,4.1328,0.0,0.027,4.1328,4.2719837036754384,0.0,4.2719837036754384,4.2719837036754384,0.02500009536743164,0.0,0,0.8055,1.3129,0.0553,-1.5707886665597275,0.8055,1.3129,0.0553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.9926559824929,38,13.9926559824929,38,13.9926559824929,38,13.9926559824929,38,13.9926559824929,38,13.9926559824929,38,13.9926559824929,38,13.9926559824929,38,13.9926559824929,38,nan,nan,nan,nan,nan,nan,49.989332976193545,265,73.46144390808773,515,73.9611816217482,515,13.9926559824929,38,13.9926559824929,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
1789484646.362141,6.393368918,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,4.663730473046588,4.103699999999992,4.123984268248505,4.1037,-0.0001,0.0067,4.103705470669161,0.0,0.0,0.0,-1.5707877265389532,1789484646.3534758,1789484646.3534758,1789484646.3534758,1789484646.3534758,1789484646.3534758,352.8663,352.8729,362.4586173301045,362.4626173148448,0.02500009536743164,0.02500009536743164,21.385176422026003,16.729376422026004,3.5932334769590626,2.4197911421256,-4.5301709815149744e-05,-1.0580111933666814e-05,21.386141906878617,20.199211031046854,3.5856299008866377,0.0,1789484646.3534758,4.663730473046588,5.0,1789484646.3534758,0.02500009536743164,4.663730473046588,4.663730473046588,0.0,4.1037,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4197911421256,-4.5301709815149744e-05,-1.0580111933666814e-05,0.0,352.8663,352.8729,-1.0580111933666814e-05,21.385176422026007,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8055,0.7632,0.0552,-1.5707877265389532,4.6558,0.0,0.0303,4.6558,4.123984268248505,0.0,4.123984268248505,4.123984268248505,0.02500009536743164,0.0,0,0.8055,0.7632,0.0552,-1.5707877265389532,0.8055,0.7632,0.0552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.9926559824929,43,13.9926559824929,43,13.9926559824929,43,13.9926559824929,43,13.9926559824929,43,13.9926559824929,43,13.9926559824929,43,13.9926559824929,43,13.9926559824929,43,nan,nan,nan,nan,nan,nan,49.989332976193545,265,73.46144390808773,520,73.9611816217482,520,13.9926559824929,43,13.9926559824929,43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789484645.3032024
