run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
high_speed_corner_20_openplane_20260915,270,6,2303413713021,1,1,True,2303440161716,6,0.149,150,560,0.0,0.0,False,0.0,0.0,5,0.0,0.0,-0.0015,0.3855,0.0,0.0,0.0,0.0,0.0,-3.2297,-0.012,17.9192,0.0328,0.0001,-0.2227,0.0029,0.0231,4.7124,0.7071,0.0081,0.0082,-0.7071,0.805,3.1595,0.0724
high_speed_corner_20_openplane_20260915,279,7,2303438711559,2,2,True,2303464591820,7,0.17400001,175,691,0.0,0.0,False,0.0,0.0,6,0.0,0.0,0.0001,0.0499,0.0,0.0,0.0,0.0,0.0,-0.2645,-0.003,1.4848,0.0054,0.0,-0.0706,0.0035,0.0267,4.7124,0.707,0.0094,0.0095,-0.707,0.805,3.1593,0.0701
high_speed_corner_20_openplane_20260915,287,8,2303463342219,3,3,True,2303489466960,8,0.199000016,200,812,0.0,0.0,False,0.0,0.0,7,0.0,0.0,0.0002,0.0211,0.0,0.0,0.0,0.0,0.0,-0.0309,-0.0013,0.3115,0.0029,0.0,-0.0537,0.0033,0.0275,4.7124,0.707,0.0097,0.0097,-0.707,0.805,3.1592,0.0687
high_speed_corner_20_openplane_20260915,297,9,2303488234582,4,4,True,2303514461570,9,0.224,225,944,0.9,0.0,False,0.9,0.0,8,0.0,0.0,0.0002,0.0168,0.0,0.0,0.0,0.0,0.0,-0.0136,0.0023,0.2436,0.0025,0.0,-0.0466,0.0029,0.0279,4.7124,0.707,0.0099,0.0099,-0.707,0.8051,3.1592,0.0675
high_speed_corner_20_openplane_20260915,306,10,2303513309666,5,5,True,2303539270152,10,0.249000013,250,1051,0.9,0.0,False,0.9,0.0,9,0.9,0.0,0.0002,-0.0912,0.0,9.0386,9.0386,0.0,0.9,5.4097,-0.0003,0.3122,0.1316,0.0,-0.0381,0.0026,0.0265,4.7124,0.707,0.0093,0.0094,-0.707,0.8051,3.1576,0.0662
high_speed_corner_20_openplane_20260915,314,11,2303538073873,6,6,True,2303565070721,11,0.274000019,275,1177,0.9,0.0,False,0.9,0.0,10,0.9,0.0,0.0002,-0.0889,0.0,18.6368,18.6368,0.0,0.9,5.3794,-0.0016,0.3121,0.2666,0.0,-0.0303,0.0024,0.0242,4.7124,0.7071,0.0085,0.0086,-0.7071,0.8051,3.1525,0.0649
high_speed_corner_20_openplane_20260915,324,12,2303563865214,7,7,True,2303589450799,12,0.299000025,300,1304,0.9,0.0,False,0.9,0.0,11,0.9,0.0,0.0002,-0.0791,0.0,28.2318,28.2318,0.0,0.9,5.3331,0.0002,0.2732,0.4005,0.0,-0.0235,0.0021,0.0221,4.7124,0.7071,0.0078,0.0078,-0.7071,0.8051,3.1441,0.0637
high_speed_corner_20_openplane_20260915,333,13,2303588202881,8,8,True,2303614636806,13,0.324,325,1427,0.9,0.0,False,0.9,0.0,12,0.9,0.0,0.0002,-0.0696,0.0,37.83,37.83,0.0,0.9,5.2848,-0.0017,0.2308,0.5334,0.0,-0.0176,0.0019,0.0202,4.7124,0.7071,0.0071,0.0072,-0.7071,0.8051,3.1324,0.0627
high_speed_corner_20_openplane_20260915,342,14,2303613436930,9,9,True,2303639575028,14,0.349,350,1568,0.9,0.0,False,0.9,0.0,13,0.9,0.0,0.0001,-0.0614,0.0,47.425,47.425,0.0,0.9,5.2565,-0.0012,0.2385,0.6652,0.0,-0.0125,0.0017,0.0186,4.7124,0.7071,0.0066,0.0066,-0.7071,0.8051,3.1173,0.0617
high_speed_corner_20_openplane_20260915,351,15,2303638379410,10,10,True,2303664554418,15,0.374,375,1701,0.9,0.0,False,0.9,0.0,14,0.9,0.0,0.0002,-0.0542,0.0,57.0199,57.0199,0.0,0.9,5.2049,0.0002,0.1898,0.7959,0.0,-0.0082,0.0015,0.0171,4.7124,0.7071,0.0061,0.0061,-0.7071,0.8051,3.099,0.0609
high_speed_corner_20_openplane_20260915,360,16,2303663277574,11,11,True,2303689587291,16,0.399000019,400,1834,0.9,0.0,False,0.9,0.0,15,0.9,0.0,0.0001,-0.0476,0.0,66.6181,66.6181,0.0,0.9,5.1615,-0.0001,0.1616,0.9256,0.0,-0.0045,0.0013,0.0159,4.7124,0.7071,0.0056,0.0056,-0.7071,0.8051,3.0774,0.0602
high_speed_corner_20_openplane_20260915,369,17,2303688361044,12,12,True,2303714742539,17,0.424000025,425,1967,0.9,0.0,False,0.9,0.0,16,0.9,0.0,0.0001,-0.042,0.0,76.2131,76.2131,0.0,0.9,5.134,-0.001,0.1729,1.0543,0.0,-0.0013,0.0012,0.0148,4.7124,0.7071,0.0052,0.0052,-0.7071,0.8051,3.0526,0.0596
high_speed_corner_20_openplane_20260915,376,18,2303713435788,13,13,True,2303739780653,18,0.449000031,450,2084,0.9,0.0,False,0.9,0.0,17,0.9,0.0,0.0,-0.037,0.0,85.8113,85.8113,0.0,0.9,5.0888,-0.0003,0.1411,1.1821,0.0,0.0015,0.001,0.0138,4.7124,0.7071,0.0049,0.0049,-0.7071,0.8052,3.0245,0.0591
high_speed_corner_20_openplane_20260915,387,19,2303738564966,14,14,True,2303764782857,19,0.474000037,475,2210,0.9,0.0,False,0.9,0.0,18,0.9,0.0,0.0001,-0.0326,0.0,95.4062,95.4062,0.0,0.9,5.0542,-0.0009,0.1357,1.3089,0.0,0.0039,0.0009,0.0129,4.7124,0.7071,0.0046,0.0046,-0.7071,0.8052,2.9933,0.0586
high_speed_corner_20_openplane_20260915,396,20,2303763663185,15,15,True,2303789978723,20,0.499,500,2327,0.9,0.0,False,0.9,0.0,19,0.9,0.0,0.0001,-0.0287,0.0,105.0045,105.0045,0.0,0.9,5.0053,-0.0002,0.0956,1.4347,0.0,0.006,0.0008,0.0121,4.7124,0.7071,0.0043,0.0043,-0.7071,0.8052,2.959,0.0582
high_speed_corner_20_openplane_20260915,405,21,2303788826338,16,16,True,2303815202303,21,0.524000049,525,2465,0.9,0.0,False,0.9,0.0,20,0.9,0.0,0.0,-0.0252,0.0,114.5994,114.5994,0.0,0.9,4.9581,-0.0002,0.0601,1.5596,0.0,0.0078,0.0007,0.0115,4.7124,0.7071,0.0041,0.0041,-0.7071,0.8052,2.9215,0.0578
high_speed_corner_20_openplane_20260915,414,22,2303814040480,17,17,True,2303840037706,22,0.549,550,2602,0.9,0.0,False,0.9,0.0,21,0.9,0.0,0.0001,-0.0222,0.0,124.1944,124.1976,0.0,0.9,4.9465,-0.0004,0.1097,1.6836,0.0,0.0094,0.0007,0.0109,4.7124,0.7071,0.0038,0.0039,-0.7071,0.8052,2.8808,0.0575
