event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
57,10829817243582,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
58,10829817928670,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
66,10829840604422,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
72,10829843342350,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
75,10829864904358,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
76,10829865118230,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
84,10829889926332,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
85,10829890153138,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
93,10829915242648,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
94,10829915431193,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
102,10829940324895,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
103,10829940629798,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
111,10829964912492,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
112,10829965133467,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
120,10829990322996,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
121,10829990568527,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
129,10830014769186,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
130,10830015021080,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
138,10830039945440,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
139,10830040168129,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
147,10830065733143,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
148,10830065950401,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
156,10830090723427,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
157,10830090940555,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
165,10830115303920,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
166,10830115525106,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
174,10830140655233,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
175,10830140925591,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
183,10830164931664,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
184,10830165171044,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
192,10830190226130,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
193,10830190414514,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
201,10830214856868,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.6000000238418579}"
207,10830216985219,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
210,10830240334929,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
