stamp_s,time_s,phase,source_event_name,source_event_count,source_event_stamp_s,target_speed_mps,target_accel_mps2,controller_speed_mps,controller_accel_mps2,controller_steering_rad,throttle_command,throttle_feedback,steering_command,steering_feedback,speed_mps,speed_rate_mps2,gt_speed_rate_mps2,ax_mps2,ay_mps2,az_mps2,imu_accel_norm_mps2,yaw_rate_radps,odom_yaw_rate_radps,imu_yaw_rate_radps,imu_yaw_rad,imu_stamp_s,odom_stamp_s,gt_odom_stamp_s,left_encoder_stamp_s,right_encoder_stamp_s,left_encoder_rad,right_encoder_rad,left_encoder_speed_radps,right_encoder_speed_radps,left_encoder_dt_s,right_encoder_dt_s,encoder_wheel_speed_mps,gt_slip_speed_mps,gt_slip_ratio,x_odom_m,y_odom_m,yaw_odom_rad,odom_raw_wheel_speed_mps,odom_corrected_wheel_speed_mps,odom_longitudinal_slip_ratio,odom_wheel_observation_confidence,odom_diagnostics_stamp_s,odom_diagnostics_speed_mps,odom_observer_version,odom_observer_source_stamp_s,odom_observer_dt_s,odom_observer_speed_pred_mps,odom_observer_body_u_mps,odom_observer_body_v_mps,odom_observer_ax_mps2,odom_observer_ay_mps2,odom_observer_yaw_rate_radps,odom_observer_wheel_update_used,odom_observer_turn_mode,odom_observer_reset_epoch,odom_observer_timing_degraded,odom_observer_packet_drop_count,odom_observer_packet_coherence_fault_count,odom_observer_x_m,odom_observer_y_m,odom_observer_yaw_rad,odom_observer_sensor_outlier,odom_observer_left_angle_rad,odom_observer_right_angle_rad,odom_observer_imu_yaw_rad,odom_observer_packet_wheel_speed_mps,odom_observer_wheel_burst_rejected,odom_observer_turn_speed_bias_mps,brake_encoder_stopped,brake_imu_stopped,brake_odom_stopped,brake_gt_stopped,brake_stop_confirmed,brake_stop_elapsed_s,speed_settled,speed_settle_rate_mps2,speed_settle_elapsed_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,gt_odom_x_m,gt_odom_y_m,gt_odom_z_m,gt_odom_yaw_rad,gt_ips_x_m,gt_ips_y_m,gt_ips_z_m,x_amcl_m,y_amcl_m,yaw_amcl_rad,amcl_xy_variance,amcl_yaw_variance,x_ekf_m,y_ekf_m,yaw_ekf_rad,ekf_xy_variance,ekf_yaw_variance,x_ekf_odom_m,y_ekf_odom_m,yaw_ekf_odom_rad,ekf_odom_xy_variance,ekf_odom_yaw_variance,ekf_odom_stamp_s,x_current_map_m,y_current_map_m,yaw_current_map_rad,current_map_xy_variance,current_map_yaw_variance,current_map_pose_stamp_s,pp_publish_stamp_s,pp_odom_event_stamp_s,pp_pose_x_m,pp_pose_y_m,pp_pose_yaw_rad,pp_velocity_mps,pp_yaw_rate_radps,pp_valid,pp_cross_track_error_m,pp_closest_distance_m,pp_heading_error_rad,pp_lookahead_distance_m,pp_closest_index,pp_target_index,pp_target_speed_mps,pp_raw_steering_rad,pp_command_steering_rad,pp_command_speed_mps,pp_target_x_m,pp_target_y_m,amcl_scan_stamp_s,amcl_scan_matched_odom_stamp_s,amcl_scan_source_error_ms,amcl_scan_accepted,amcl_scan_queued,amcl_scan_dropped,amcl_scan_bracket_before_stamp_s,amcl_scan_bracket_after_stamp_s,amcl_scan_processing_dropped,amcl_health_correction_age_s,amcl_health_correction_accepted,amcl_health_rejected_scans,amcl_health_degraded,amcl_health_xy_variance,amcl_health_yaw_variance,amcl_health_scan_correction_distance_m,amcl_health_scan_correction_yaw_rad,amcl_health_applied_xy_correction_m,amcl_health_applied_yaw_correction_rad,amcl_health_scan_correction_x_m,amcl_health_scan_correction_y_m,amcl_health_applied_x_m,amcl_health_applied_y_m,amcl_health_source_stamp_s,amcl_particle_count,lidar_rate_hz,lidar_event_count,imu_rate_hz,imu_event_count,left_encoder_rate_hz,left_encoder_event_count,right_encoder_rate_hz,right_encoder_event_count,odom_rate_hz,odom_event_count,odom_diagnostics_rate_hz,odom_diagnostics_event_count,gt_odom_rate_hz,gt_odom_event_count,gt_ips_rate_hz,gt_ips_event_count,collision_rate_hz,collision_event_count,amcl_rate_hz,amcl_event_count,ekf_rate_hz,ekf_event_count,ekf_odom_rate_hz,ekf_odom_event_count,speed_command_rate_hz,speed_command_event_count,throttle_command_rate_hz,throttle_command_event_count,steering_command_rate_hz,steering_command_event_count,throttle_feedback_rate_hz,throttle_feedback_event_count,steering_feedback_rate_hz,steering_feedback_event_count,current_map_pose_rate_hz,current_map_pose_event_count,pp_diagnostics_rate_hz,pp_diagnostics_event_count,amcl_timing_rate_hz,amcl_timing_event_count,amcl_gpu_timing_rate_hz,amcl_gpu_timing_event_count,amcl_kld_diagnostics_rate_hz,amcl_kld_diagnostics_event_count,amcl_scan_alignment_rate_hz,amcl_scan_alignment_event_count,amcl_localization_health_rate_hz,amcl_localization_health_event_count,amcl_particle_count_rate_hz,amcl_particle_count_event_count,amcl_timing_ms,amcl_gpu_transfer_ms,amcl_gpu_pf_ms,amcl_gpu_callback_ms,amcl_pose_published,amcl_cluster_weight,amcl_cluster_second_weight,amcl_kld_pre_particles,amcl_kld_bins,amcl_kld_target,amcl_kld_particles,speed_command_mps,speed_command_accel_mps2,speed_command_steering_rad,speed_command_stamp_s
1789463689.8305109,1.289613389,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,-0.0005,0.0002,0.0032,0.0032449961479175905,0.0,0.0,0.0,-1.5707407162970446,1789463689.7848184,1789463689.7848184,1789463689.7848184,1789463689.7848184,1789463689.7848184,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789463689.7848186,0.0,5.0,1789463689.7848186,0.0,0.0,0.0,0.0,-0.0005,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8028,3.1585,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,nan,nan,nan,nan,nan,0.0,0,0.8028,3.1585,0.0592,-1.5707407162970446,0.8028,3.1585,0.0592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,57,nan,104,nan,104,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463689.9306428,1.389745235,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0002,0.004,0.00401621712560464,0.0,0.0,0.0,-1.5707407162970446,1789463689.8848186,1789463689.8848186,1789463689.8848186,1789463689.8848186,1789463689.8848186,0.0,0.0,0.0,0.0,0.02500009536743164,0.02500009536743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1789463689.8848186,0.0,5.0,1789463689.8848186,0.02499985694885254,0.0,0.0,0.0,-0.0003,-0.0002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8028,3.1585,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.02500009536743164,0.0,0,0.8028,3.1585,0.0592,-1.5707407162970446,0.8028,3.1585,0.0592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,nan,nan,nan,nan,nan,nan,57,nan,108,nan,108,nan,5,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.050624,1.509726239,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,0.6592475763559341,5.202799999999998,5.2239800720975005,5.2028,0.0002,0.1038,5.203835347126194,0.0,0.0,0.0,-1.5708837377874805,1789463690.0098186,1789463690.0098186,1789463690.0098186,1789463690.0098186,1789463690.0098186,31.5632,31.5632,255.51502528753164,255.51502528753164,0.02500009536743164,0.02500009536743164,15.075386491964366,14.420686491964366,22.02640368407571,0.041412911048702025,-1.710428985606887e-06,-0.00014302149043587953,15.071587439921224,14.235114337005596,21.861801818417195,0.0,1789463690.0098186,0.6592475763559341,5.0,1789463690.0098186,0.02500009536743164,0.6592475763559341,0.6592475763559341,0.0,5.2028,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041412911048702025,-1.710428985606887e-06,-0.00014302149043587953,0.0,31.5632,31.5632,-0.00014302149043587953,15.075386491964366,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8029,3.1174,0.0574,-1.5708837377874805,0.6547,0.0,0.0128,0.6547,5.2239800720975005,0.0,5.2239800720975005,5.2239800720975005,0.02500009536743164,0.0,0,0.8029,3.1174,0.0574,-1.5708837377874805,0.8029,3.1174,0.0574,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,nan,nan,nan,nan,nan,nan,57,nan,113,nan,113,nan,10,nan,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.1704533,1.629555699,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,1.3018585892915726,5.032500000000004,5.045825514629704,5.0325,-0.0015,0.0794,5.033126549173982,0.0,0.0,0.0,-1.570827148927162,1789463690.1358202,1789463690.1358202,1789463690.1358202,1789463690.1358202,1789463690.1358202,63.7514,63.7514,255.4872216176564,255.36415270266542,0.026001691818237305,0.026001691818237305,15.070115542449493,13.770715542449492,10.597749378520465,0.1651897874127988,-1.490852712749461e-05,-8.643263011731683e-05,15.071238384303319,14.234784653974485,10.576709258802508,0.0,1789463690.1358202,1.3018585892915726,5.0,1789463690.1358202,0.026001691818237305,1.3018585892915726,1.3018585892915726,0.0,5.0325,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651897874127988,-1.490852712749461e-05,-8.643263011731683e-05,0.0,63.7514,63.7514,-8.643263011731683e-05,15.070115542449493,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8029,2.9936,0.0564,-1.570827148927162,1.2994,0.0,0.0179,1.2994,5.045825514629704,0.0,5.045825514629704,5.045825514629704,0.026001691818237305,0.0,0,0.8029,2.9936,0.0564,-1.570827148927162,0.8029,2.9936,0.0564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,nan,nan,nan,nan,nan,nan,57,nan,118,nan,118,nan,15,nan,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.2704802,1.729582628,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,1.7915242185115814,4.898199999999997,4.912215494072655,4.8982,-0.0025,0.0624,4.898598090270317,0.0,0.0,0.0,-1.5708075673524275,1789463690.2348185,1789463690.2348185,1789463690.2348185,1789463690.2348185,1789463690.2348185,89.0412,89.0445,255.39520393694053,255.52720972790485,0.024998903274536133,0.024998903274536133,15.07221120311294,13.28151120311294,7.416938182338158,0.31841030122244074,-2.6475092103000116e-05,-6.685105538295488e-05,15.072323651824089,14.235809689147851,7.413128606403293,0.0,1789463690.2348187,1.7915242185115814,5.0,1789463690.2348187,0.024998903274536133,1.7915242185115814,1.7915242185115814,0.0,4.8982,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31841030122244074,-2.6475092103000116e-05,-6.685105538295488e-05,0.0,89.0412,89.0445,-6.685105538295488e-05,15.07221120311294,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8029,2.8403,0.0559,-1.5708075673524275,1.7907,0.0,0.0197,1.7907,4.912215494072655,0.0,4.912215494072655,4.912215494072655,0.024998903274536133,0.0,0,0.8029,2.8403,0.0559,-1.5708075673524275,0.8029,2.8403,0.0559,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19,nan,19,nan,19,nan,19,nan,19,nan,19,nan,19,nan,19,nan,19,nan,nan,nan,nan,nan,nan,nan,57,nan,122,nan,122,nan,19,nan,19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.391352,1.850454186,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,2.391184647512436,4.734747035156913,4.745847288477381,4.7347,-0.0006,0.0522,4.73498778139923,0.0,0.0,0.0,-1.5707976268464565,1789463690.3598185,1789463690.3598185,1789463690.3598185,1789463690.3598185,1789463690.3598185,120.9775,120.9775,255.52991805131975,255.52991805131975,0.023999929428100586,0.023999929428100586,15.076265165027865,12.684065165027864,5.302259495455173,0.5800377016255628,-4.242023297847162e-05,-5.691054941192597e-05,15.073475437220432,14.236897550454698,5.303768909231439,0.0,1789463690.3598187,2.391184647512436,5.0,1789463690.3598187,0.024000167846679688,2.391184647512436,2.391184647512436,0.0,4.7347,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5800377016255628,-4.242023297847162e-05,-5.691054941192597e-05,0.0,120.9775,120.9775,-5.691054941192597e-05,15.076115396837,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8029,2.5783,0.0555,-1.5707976268464565,2.3922,0.0,0.0214,2.3922,4.745847288477381,0.0,4.745847288477381,4.745847288477381,0.023999929428100586,0.0,0,0.8029,2.5783,0.0555,-1.5707976268464565,0.8029,2.5783,0.0555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23,nan,24,nan,24,nan,24,nan,24,nan,24,nan,24,nan,24,nan,23,nan,nan,nan,nan,nan,nan,nan,57,nan,126,nan,126,nan,24,nan,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.4915068,1.950609045,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,2.8562666645526886,4.605099999999992,4.620070496681178,4.6051,-0.0004,0.0413,4.605285209408859,0.0,0.0,0.0,-1.5707928266728821,1789463690.4598196,1789463690.4598196,1789463690.4598196,1789463690.4598196,1789463690.4598196,146.5226,146.5226,255.51989892423904,255.39189697108452,0.024999618530273438,0.024999618530273438,15.071897978912045,12.212997978912044,4.271922060551976,0.8425081955939266,-5.6700212817658e-05,-5.211037583752187e-05,15.071479640452612,14.235012520407492,4.276636046450135,0.0,1789463690.4598196,2.8562666645526886,5.0,1789463690.4598196,0.024999618530273438,2.8562666645526886,2.8562666645526886,0.0,4.6051,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8425081955939266,-5.6700212817658e-05,-5.211037583752187e-05,0.0,146.5226,146.5226,-5.211037583752187e-05,15.071897978912045,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8029,2.3154,0.0554,-1.5707928266728821,2.8589,0.0,0.0228,2.8589,4.620070496681178,0.0,4.620070496681178,4.620070496681178,0.024999618530273438,0.0,0,0.8029,2.3154,0.0554,-1.5707928266728821,0.8029,2.3154,0.0554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27,nan,28,nan,28,nan,28,nan,28,nan,28,nan,28,nan,28,nan,27,nan,nan,nan,nan,nan,nan,nan,57,nan,130,nan,130,nan,28,nan,28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.5918,2.050902295,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,3.3088123468637467,4.480500000000006,4.495725602685385,4.4805,-0.0009,0.0351,4.480637574051264,0.0,0.0,0.0,-1.5707906666098086,1789463690.55982,1789463690.55982,1789463690.55982,1789463690.55982,1789463690.55982,172.0709,172.0709,255.5004054928289,255.5004054928289,0.02500152587890625,0.02500152587890625,15.074523924076903,11.761523924076903,3.550112865703864,1.1508628361834252,-7.250976623044607e-05,-4.995031276400219e-05,15.073403561734045,14.236829664057806,3.5555329168247787,0.0,1789463690.5598202,3.3088123468637467,5.0,1789463690.5598202,0.02500152587890625,3.3088123468637467,3.3088123468637467,0.0,4.4805,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1508628361834252,-7.250976623044607e-05,-4.995031276400219e-05,0.0,172.0709,172.0709,-4.995031276400219e-05,15.074523924076905,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8029,2.0064,0.0553,-1.5707906666098086,3.313,0.0,0.0246,3.313,4.495725602685385,0.0,4.495725602685385,4.495725602685385,0.02500152587890625,0.0,0,0.8029,2.0064,0.0553,-1.5707906666098086,0.8029,2.0064,0.0553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.499685748310776,31,14.99967491204563,32,14.99967491204563,32,14.99967491204563,32,14.99967491204563,32,14.99967491204563,32,14.99967491204563,32,14.99967491204563,32,14.99967491204563,31,nan,nan,nan,nan,nan,nan,nan,57,65.99856961300078,134,65.99856961300078,134,14.99967491204563,32,14.99967491204563,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.7106104,2.169712538,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,3.7492266490221025,4.358941569947643,4.372025016927805,4.3589,-0.0005,0.0311,4.359010973833399,0.0,0.0,0.0,-1.5707896465832674,1789463690.6598184,1789463690.6598184,1789463690.6598184,1789463690.6598184,1789463690.6598184,197.616,197.616,255.51746208264598,255.38546132733174,0.02499985694885254,0.02499985694885254,15.07163624059434,11.316836240594341,3.013965122135491,1.5038516918440124,-9.000173648895677e-05,-4.893028622277028e-05,15.072376000000009,14.235859132000009,3.0201293255853936,0.0,1789463690.6598186,3.7492266490221025,5.0,1789463690.6598186,0.02500009536743164,3.7492266490221025,3.7492266490221025,0.0,4.3589,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5038516918440124,-9.000173648895677e-05,-4.893028622277028e-05,0.0,197.616,197.616,-4.893028622277028e-05,15.071492506818755,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.803,1.6527,0.0552,-1.5707896465832674,3.7548,0.0,0.0265,3.7548,4.372025016927805,0.0,4.372025016927805,4.372025016927805,0.02499985694885254,0.0,0,0.803,1.6527,0.0552,-1.5707896465832674,0.803,1.6527,0.0552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.499685748310776,36,14.99967491204563,36,14.99967491204563,36,14.99967491204563,36,14.99967491204563,36,14.99967491204563,36,14.99967491204563,36,14.99967491204563,36,14.99967491204563,36,nan,nan,nan,nan,nan,nan,nan,57,65.99856961300078,139,65.99856961300078,139,14.99967491204563,36,14.99967491204563,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
1789463690.8305402,2.289642536,replay_00_t0.600_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.0,0.0,4.283026733136178,4.213240180436218,4.228024192948479,4.2132,0.0014,0.0311,4.213315014332538,0.0,0.0,0.0,-1.5707886665597275,1789463690.7848184,1789463690.7848184,1789463690.7848184,1789463690.7848184,1789463690.7848184,229.549,229.549,255.51746208264598,255.38546132733174,0.02499985694885254,0.02499985694885254,15.07163624059434,10.78123624059434,2.5128743801497158,2.0060499676309806,-0.00011432051561676874,-4.795026268289426e-05,15.072375999999995,14.235859131999995,2.519094542042115,0.0,1789463690.7848186,4.283026733136178,5.0,1789463690.7848186,0.02500009536743164,4.283026733136178,4.283026733136178,0.0,4.2132,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0060499676309806,-0.00011432051561676874,-4.795026268289426e-05,0.0,229.549,229.549,-4.795026268289426e-05,15.071492506818755,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.803,1.1494,0.0552,-1.5707886665597275,4.2904,0.0,0.0292,4.2904,4.228024192948479,0.0,4.228024192948479,4.228024192948479,0.02499985694885254,0.0,0,0.803,1.1494,0.0552,-1.5707886665597275,0.803,1.1494,0.0552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.499685748310776,41,14.99967491204563,41,14.99967491204563,41,14.99967491204563,41,14.99967491204563,41,14.99967491204563,41,14.99967491204563,41,14.99967491204563,41,14.99967491204563,41,nan,nan,nan,nan,nan,nan,nan,57,65.99856961300078,144,65.99856961300078,144,14.99967491204563,41,14.99967491204563,41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789463689.8119946
