event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
65,17554788657158,/autodrive/roboracer_1/left_encoder,JointState,1789470517983177755,,"{""position"":[0.0],""velocity"":[]}"
66,17554788941121,/autodrive/roboracer_1/right_encoder,JointState,1789470517983177755,,"{""position"":[0.0],""velocity"":[]}"
73,17554807241444,/autodrive/roboracer_1/left_encoder,JointState,1789470518008178555,,"{""position"":[0.0],""velocity"":[]}"
74,17554807436741,/autodrive/roboracer_1/right_encoder,JointState,1789470518008178555,,"{""position"":[0.0],""velocity"":[]}"
82,17554833579831,/autodrive/roboracer_1/left_encoder,JointState,1789470518033177755,,"{""position"":[0.0],""velocity"":[]}"
83,17554835634108,/autodrive/roboracer_1/right_encoder,JointState,1789470518033177755,,"{""position"":[0.0],""velocity"":[]}"
92,17554857435385,/autodrive/roboracer_1/left_encoder,JointState,1789470518058178755,,"{""position"":[8.5379],""velocity"":[]}"
93,17554857720421,/autodrive/roboracer_1/right_encoder,JointState,1789470518058178755,,"{""position"":[8.5379],""velocity"":[]}"
100,17554884132255,/autodrive/roboracer_1/left_encoder,JointState,1789470518083178355,,"{""position"":[17.5995],""velocity"":[]}"
101,17554884409536,/autodrive/roboracer_1/right_encoder,JointState,1789470518083178355,,"{""position"":[17.5995],""velocity"":[]}"
110,17554910030705,/autodrive/roboracer_1/left_encoder,JointState,1789470518109178355,,"{""position"":[27.021],""velocity"":[]}"
111,17554910348532,/autodrive/roboracer_1/right_encoder,JointState,1789470518109178355,,"{""position"":[27.021],""velocity"":[]}"
119,17554933029511,/autodrive/roboracer_1/left_encoder,JointState,1789470518133178555,,"{""position"":[35.7225],""velocity"":[]}"
120,17554933311460,/autodrive/roboracer_1/right_encoder,JointState,1789470518133178555,,"{""position"":[35.7225],""velocity"":[]}"
128,17554957465425,/autodrive/roboracer_1/left_encoder,JointState,1789470518158177755,,"{""position"":[44.7841],""velocity"":[]}"
129,17554957748487,/autodrive/roboracer_1/right_encoder,JointState,1789470518158177755,,"{""position"":[44.7841],""velocity"":[]}"
137,17554982225598,/autodrive/roboracer_1/left_encoder,JointState,1789470518183178755,,"{""position"":[53.8456],""velocity"":[]}"
138,17554982542082,/autodrive/roboracer_1/right_encoder,JointState,1789470518183178755,,"{""position"":[53.8456],""velocity"":[]}"
146,17555007204271,/autodrive/roboracer_1/left_encoder,JointState,1789470518208178355,,"{""position"":[62.9071],""velocity"":[]}"
147,17555007464670,/autodrive/roboracer_1/right_encoder,JointState,1789470518208178355,,"{""position"":[62.9071],""velocity"":[]}"
155,17555032070874,/autodrive/roboracer_1/left_encoder,JointState,1789470518233177755,,"{""position"":[71.9687],""velocity"":[]}"
156,17555032334068,/autodrive/roboracer_1/right_encoder,JointState,1789470518233177755,,"{""position"":[71.9687],""velocity"":[]}"
