run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,1,7,7,12.925,12926,39978,0.805,3.1588,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0001,0.0,0.0,0.0,0.0005,0.0003,-0.0072,0.0,0.0
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,2,8,8,12.9500008,12951,40024,0.805,3.1588,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0004,-0.0002,-0.0043,0.0,0.0
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,3,9,9,12.975,12976,40065,0.805,3.1588,0.0592,0.0111,0.0111,-0.707,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0002,0.0001,0.0051,0.0,0.0
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,4,10,10,13.000001,13001,40086,0.805,3.1572,0.0589,0.0104,0.0104,-0.7071,0.707,0.0,0.0295,4.7123,0.1272,0.0,0.0031,0.0,-0.1041,0.0,5.3441,0.001,0.1503,8.5379,8.5379
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,5,11,11,13.0250006,13026,40135,0.805,3.1523,0.0585,0.0095,0.0095,-0.7071,0.707,0.0,0.0269,4.7123,0.2603,0.0,0.0062,0.0,-0.1003,0.0,5.3134,0.0002,0.1488,17.5995,17.5995
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,6,12,12,13.0510006,13052,40188,0.805,3.1436,0.0581,0.0087,0.0087,-0.7071,0.707,0.0,0.0245,4.7123,0.3979,0.0,0.009,0.0,-0.0889,0.0,5.2803,-0.0007,0.1452,27.021,27.021
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,7,13,13,13.0750008,13076,40220,0.805,3.1324,0.0577,0.0079,0.0079,-0.7071,0.707,0.0,0.0225,4.7123,0.5241,0.0,0.0111,0.0,-0.079,0.0,5.2389,-0.0001,0.1158,35.7225,35.7225
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,8,14,14,13.1,13101,40282,0.805,3.1176,0.0574,0.0073,0.0073,-0.7071,0.707,0.0,0.0206,4.7123,0.6547,0.0,0.0129,0.0,-0.0698,0.0,5.1991,0.0001,0.0947,44.7841,44.7841
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,9,15,15,13.125001,13126,40345,0.805,3.0995,0.0572,0.0067,0.0067,-0.7071,0.7071,0.0,0.019,4.7123,0.7844,0.0,0.0143,0.0,-0.0617,0.0,5.1675,-0.0012,0.0945,53.8456,53.8456
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,10,16,16,13.1500006,13151,40414,0.805,3.0782,0.0569,0.0062,0.0062,-0.7071,0.7071,0.0,0.0175,4.7123,0.9132,0.0,0.0155,0.0,-0.0546,0.0,5.1213,-0.0011,0.0588,62.9071,62.9071
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,11,17,17,13.175,13176,40484,0.8051,3.0537,0.0567,0.0057,0.0057,-0.7071,0.7071,0.0,0.0162,4.7123,1.0412,0.0,0.0165,0.0,-0.0482,0.0,5.0978,-0.0008,0.0794,71.9687,71.9687
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,12,18,18,13.201,13202,40563,0.8051,3.0249,0.0565,0.0053,0.0053,-0.7071,0.7071,0.0,0.0151,4.7123,1.1733,0.0,0.0172,0.0,-0.0424,0.0,5.064,0.0001,0.0786,81.3934,81.3934
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,13,19,19,13.225,13226,40626,0.8051,2.9952,0.0564,0.005,0.005,-0.7071,0.7071,0.0,0.0141,4.7123,1.2944,0.0,0.0179,0.0,-0.0377,0.0,5.0238,0.0004,0.0555,90.0917,90.0917
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,14,20,20,13.250001,13251,40703,0.8051,2.9612,0.0562,0.0047,0.0047,-0.7071,0.7071,0.0,0.0132,4.7123,1.4198,0.0,0.0184,0.0,-0.0333,0.0,4.9959,-0.0003,0.0661,99.1532,99.1532
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,15,21,21,13.2750006,13276,40779,0.8051,2.924,0.0561,0.0044,0.0044,-0.7071,0.7071,0.0,0.0124,4.7123,1.5443,0.0,0.0189,-0.0001,-0.0294,0.0,4.9612,0.0011,0.0599,108.2148,108.2148
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,16,22,22,13.3,13301,40840,0.8051,2.8838,0.056,0.0042,0.0042,-0.7071,0.7071,0.0,0.0118,4.7123,1.6679,0.0,0.0193,0.0,-0.026,0.0,4.9273,-0.0003,0.0553,117.2763,117.2763
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,17,23,23,13.3250008,13326,40911,0.8051,2.8405,0.0559,0.0039,0.0039,-0.7071,0.7071,0.0,0.0111,4.7123,1.7907,0.0,0.0197,0.0,-0.023,0.0,4.8891,-0.0009,0.0408,126.3378,126.3378
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,18,24,24,13.35,13351,40970,0.8051,2.7941,0.0558,0.0037,0.0037,-0.7071,0.7071,0.0,0.0106,4.7123,1.9127,0.0,0.0201,0.0,-0.0203,0.0,4.8623,-0.0008,0.053,135.3994,135.3994
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,19,25,25,13.375001,13376,41046,0.8051,2.7447,0.0557,0.0036,0.0036,-0.7071,0.7071,0.0,0.0101,4.7123,2.0338,0.0,0.0204,0.0,-0.018,0.0,4.8312,0.0,0.0551,144.4609,144.4609
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,20,26,26,13.4000006,13401,41114,0.8051,2.6923,0.0556,0.0034,0.0034,-0.7071,0.7071,0.0,0.0097,4.7123,2.1541,0.0,0.0207,0.0,-0.0158,0.0,4.7916,0.0016,0.0363,153.5224,153.5224
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,21,27,27,13.425,13426,41191,0.8051,2.6369,0.0556,0.0033,0.0033,-0.7071,0.7071,0.0,0.0093,4.7123,2.2736,0.0,0.0211,0.0,-0.014,0.0,4.7599,-0.0001,0.0368,162.584,162.584
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,22,28,28,13.4500008,13451,41273,0.8051,2.5785,0.0555,0.0032,0.0032,-0.7071,0.7071,0.0,0.009,4.7123,2.3922,0.0,0.0214,0.0,-0.0124,0.0,4.7235,0.0012,0.0251,171.6455,171.6455
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,23,29,29,13.475,13476,41351,0.8051,2.5172,0.0555,0.0031,0.0031,-0.7071,0.7071,0.0,0.0087,4.7123,2.5101,0.0,0.0217,0.0,-0.0109,0.0,4.7018,0.0005,0.0487,180.707,180.707
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,24,30,30,13.5020008,13503,41439,0.8051,2.4476,0.0554,0.003,0.003,-0.7071,0.7071,0.0,0.0084,4.7123,2.6365,0.0,0.0221,0.0,-0.0096,0.0,4.6636,-0.0008,0.0382,190.4918,190.4951
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,25,31,31,13.5250006,13526,41511,0.8051,2.3857,0.0554,0.0029,0.0029,-0.7071,0.7071,0.0,0.0082,4.7123,2.7434,0.0,0.0225,0.0,-0.0086,0.0,4.6391,-0.0005,0.0486,198.8301,198.8301
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,26,32,32,13.55,13551,41592,0.8051,2.3156,0.0554,0.0028,0.0028,-0.7071,0.7071,0.0,0.008,4.7123,2.8589,0.0,0.0228,0.0,-0.0076,0.0,4.6028,0.0008,0.0348,207.8916,207.8916
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,27,33,33,13.5750008,13576,41675,0.8051,2.2427,0.0553,0.0028,0.0028,-0.7071,0.7071,0.0,0.0078,4.7123,2.9736,0.0,0.0232,0.0,-0.0067,0.0,4.5767,-0.0003,0.0469,216.9532,216.9532
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,28,34,34,13.6010008,13602,41750,0.8051,2.1637,0.0553,0.0027,0.0027,-0.7071,0.7071,0.0,0.0077,4.7123,3.092,0.0,0.0237,0.0,-0.0059,0.0,4.5422,0.0004,0.0406,226.3779,226.3779
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,29,35,35,13.626,13627,41828,0.8051,2.085,0.0553,0.0027,0.0027,-0.7071,0.7071,0.0,0.0075,4.7123,3.2051,0.0,0.0241,0.0,-0.0053,0.0,4.5091,0.0004,0.0342,235.4395,235.4395
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,30,36,36,13.6500006,13651,41897,0.8051,2.0067,0.0553,0.0026,0.0026,-0.7071,0.7071,0.0,0.0074,4.7123,3.313,0.0,0.0246,0.0,-0.0047,0.0,4.4798,0.0006,0.0342,244.1378,244.141
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,31,37,37,13.6760006,13677,41970,0.8051,1.919,0.0553,0.0026,0.0026,-0.7071,0.7071,0.0,0.0073,4.7123,3.429,0.0,0.025,0.0,-0.004,0.0,4.4509,0.0002,0.0402,253.5625,253.5658
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,32,38,38,13.701,13702,42033,0.8051,1.8318,0.0552,0.0026,0.0026,-0.7071,0.7071,0.0,0.0072,4.7123,3.5398,0.0,0.0255,0.0,-0.0036,0.0,4.4211,-0.0009,0.0409,262.6241,262.6273
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,33,39,39,13.725,13726,42106,0.8051,1.7455,0.0552,0.0025,0.0025,-0.7071,0.7071,0.0,0.0071,4.7123,3.6455,0.0,0.026,0.0,-0.0032,0.0,4.3992,-0.0001,0.0562,271.3256,271.3256
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,34,40,40,13.750001,13751,42182,0.8051,1.653,0.0552,0.0025,0.0025,-0.7071,0.7071,0.0,0.0071,4.7123,3.7548,0.0,0.0265,0.0,-0.0028,0.0,4.3573,-0.0009,0.0269,280.3871,280.3871
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,35,41,41,13.7750006,13776,42244,0.8051,1.5577,0.0552,0.0025,0.0025,-0.7071,0.7071,0.0,0.007,4.7123,3.8634,0.0,0.027,0.0,-0.0025,0.0,4.3378,0.001,0.0508,289.4487,289.4487
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,36,42,42,13.8010006,13802,42319,0.8051,1.4557,0.0552,0.0025,0.0025,-0.7071,0.7071,-0.0001,0.0069,4.7123,3.9755,0.0,0.0275,0.0,-0.0022,0.0,4.2998,0.0006,0.0327,298.8735,298.8735
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,37,43,43,13.8250008,13826,42393,0.8051,1.359,0.0552,0.0024,0.0024,-0.7071,0.7071,-0.0001,0.0069,4.7123,4.0783,0.0,0.028,0.0,-0.002,0.0,4.2681,-0.0002,0.0231,307.5717,307.5717
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,38,44,44,13.85,13851,42462,0.8051,1.2557,0.0552,0.0024,0.0024,-0.7071,0.7071,-0.0001,0.0068,4.7123,4.1847,0.0,0.0286,0.0,-0.0017,0.0,4.2432,0.0002,0.0331,316.6333,316.6366
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,39,45,45,13.875001,13876,42530,0.8051,1.1497,0.0552,0.0024,0.0024,-0.7071,0.7071,0.0,0.0068,4.7123,4.2904,0.0,0.0291,0.0,-0.0015,0.0,4.2081,-0.0001,0.0181,325.6948,325.6981
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,40,46,46,13.9000006,13901,42603,0.8051,1.041,0.0552,0.0024,0.0024,-0.7071,0.7071,-0.0001,0.0068,4.7123,4.3953,0.0,0.0297,0.0,-0.0014,0.0,4.1813,0.0004,0.0229,334.7563,334.7596
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,41,47,47,13.9260006,13927,42676,0.8051,0.9253,0.0552,0.0024,0.0024,-0.7071,0.7071,-0.0001,0.0067,4.7123,4.5037,0.0,0.0303,0.0,-0.0012,0.0,4.1602,0.0008,0.0423,344.1811,344.1844
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,42,48,48,13.951,13952,42745,0.8051,0.8114,0.0552,0.0024,0.0024,-0.7071,0.7071,0.0,0.0067,4.7123,4.6072,0.0,0.0309,0.0,-0.001,0.0,4.1279,-0.0011,0.0308,353.2426,353.2459
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,43,49,49,13.975,13976,42811,0.8051,0.6995,0.0551,0.0024,0.0024,-0.7071,0.7071,0.0,0.0067,4.7123,4.7059,0.0,0.0314,0.0,-0.0009,0.0,4.1002,0.0003,0.0307,361.9442,361.9442
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,44,50,50,14.001,14002,42882,0.8051,0.5758,0.0551,0.0024,0.0024,-0.7071,0.7071,0.0,0.0067,4.7123,4.8121,0.0,0.032,0.0,-0.0008,0.0,4.0702,0.0004,0.0272,371.369,371.369
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,45,51,51,14.0250006,14026,42941,0.8051,0.459,0.0551,0.0023,0.0023,-0.7071,0.7071,0.0,0.0066,4.7123,4.9095,0.0,0.0326,0.0,-0.0007,0.0,4.0374,0.0011,0.0116,380.0673,380.0673
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,46,52,52,14.0510006,14052,43000,0.8051,0.33,0.0551,0.0023,0.0023,-0.7071,0.7071,0.0,0.0066,4.7123,5.0144,0.0,0.0336,0.0,-0.0012,0.0,4.0013,0.0022,-0.0055,389.4921,389.4921
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,47,53,53,14.0750008,14076,43050,0.8051,0.2084,0.0551,0.0023,0.0023,-0.7071,0.7071,-0.0001,0.0066,4.7123,5.1102,0.0,0.0337,0.0,-0.0004,0.0,3.9666,-0.0027,-0.0268,398.1903,398.1903
high_speed_lateral_18mps_clean_nolidar_40hz_20260915,48,54,54,14.1010008,14102,43115,0.805,0.0742,0.0551,0.0023,0.0023,-0.7071,0.7071,-0.0001,0.0066,4.7123,5.2135,0.0,0.0343,0.0,-0.0005,0.0,3.961,0.0002,0.0275,407.6151,407.6151
