run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,26,5,17617537475546,1,1,True,17617542073050,5,10.2560005,10257,32871,0.0,0.0,False,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8066,3.1588,0.0592
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,35,6,17617562508512,2,2,True,17617564857764,6,10.281,10282,32965,0.0,0.0,False,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0053,0.0,0.0,0.0002,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8066,3.1588,0.0592
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,43,7,17617587128903,3,3,True,17617590275112,7,10.3060007,10307,33054,0.9,0.0,False,0.9,0.0,6,0.0,0.0,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0008,0.001,0.0073,0.0,0.0,0.0001,0.0,0.0314,4.7124,0.707,0.0111,0.0111,-0.707,0.8067,3.1588,0.0592
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,53,8,17617612260163,4,4,True,17617614841031,8,10.331,10332,33138,0.9,0.0,False,0.9,0.0,7,0.9,0.0,0.0,-0.1041,0.0,9.0419,9.0419,0.0,0.9,5.3487,-0.0003,0.1621,0.1271,0.0,0.0031,0.0,0.0295,4.7124,0.707,0.0104,0.0104,-0.707,0.8067,3.1572,0.0589
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,61,9,17617637312386,5,5,True,17617640136249,9,10.3560009,10357,33220,0.9,0.0,False,0.9,0.0,8,0.9,0.0,0.0,-0.1004,0.0,18.6368,18.6368,0.0,0.9,5.3061,0.0,0.1304,0.2603,0.0,0.0061,0.0,0.0269,4.7124,0.707,0.0095,0.0095,-0.707,0.8067,3.1523,0.0585
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,70,10,17617662991856,6,6,True,17617665645961,10,10.3820009,10383,33314,0.9,0.0,False,0.9,0.0,9,0.9,0.0,0.0,-0.0889,0.0,28.618,28.618,0.0,0.9,5.2715,0.0015,0.1231,0.3979,0.0,0.0089,0.0,0.0245,4.7124,0.7071,0.0087,0.0087,-0.7071,0.8067,3.1436,0.0581
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,79,11,17617687398285,7,7,True,17617691010790,11,10.4070005,10408,33407,0.9,0.0,False,0.9,0.0,10,0.9,0.0,0.0,-0.0786,0.0,38.2129,38.2129,0.0,0.9,5.2435,0.0,0.1303,0.5293,0.0,0.0111,0.0,0.0224,4.7124,0.7071,0.0079,0.0079,-0.7071,0.8067,3.1319,0.0577
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,88,12,17617712404962,8,8,True,17617714724889,12,10.4310007,10432,33496,0.9,0.0,False,0.9,0.0,11,0.9,0.0,0.0,-0.0698,0.0,47.4282,47.4282,0.0,0.9,5.2037,-0.0005,0.1061,0.6547,0.0,0.0128,0.0,0.0206,4.7124,0.7071,0.0073,0.0073,-0.7071,0.8067,3.1176,0.0574
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,97,13,17617737432518,9,9,True,17617739786739,13,10.456,10457,33589,0.9,0.0,False,0.9,0.0,12,0.9,0.0,-0.0001,-0.0617,0.0,57.0232,57.0232,0.0,0.9,5.1726,0.0,0.1068,0.7843,0.0,0.0142,0.0,0.019,4.7124,0.7071,0.0067,0.0067,-0.7071,0.8067,3.0996,0.0572
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,106,14,17617762271790,10,10,True,17617764687006,14,10.4810009,10482,33680,0.9,0.0,False,0.9,0.0,13,0.9,0.0,0.0,-0.0546,0.0,66.6214,66.6214,0.0,0.9,5.1285,-0.0008,0.0765,0.9132,0.0,0.0155,0.0,0.0175,4.7124,0.7071,0.0062,0.0062,-0.7071,0.8067,3.0782,0.0569
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,115,15,17617788154682,11,11,True,17617790629981,15,10.5070009,10508,33778,0.9,0.0,False,0.9,0.0,14,0.9,0.0,0.0,-0.0479,0.0,76.6025,76.6025,0.0,0.9,5.0892,-0.0001,0.0616,1.0462,0.0,0.0164,0.0,0.0162,4.7124,0.7071,0.0057,0.0057,-0.7071,0.8067,3.0527,0.0567
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,124,16,17617812120244,12,12,True,17617814650947,16,10.531,10532,33855,0.9,0.0,False,0.9,0.0,15,0.9,0.0,0.0,-0.0426,0.0,85.8146,85.8146,0.0,0.9,5.0563,0.0003,0.0566,1.1682,0.0,0.0172,0.0,0.0151,4.7124,0.7071,0.0053,0.0053,-0.7071,0.8067,3.026,0.0565
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,133,17,17617837461288,13,13,True,17617839564278,17,10.5560007,10557,33947,0.9,0.0,False,0.9,0.0,16,0.9,0.0,0.0,-0.0377,0.0,95.4095,95.4095,0.0,0.9,5.0264,-0.0003,0.0619,1.2944,0.0,0.0179,0.0,0.0141,4.7124,0.7071,0.005,0.005,-0.7071,0.8067,2.9952,0.0564
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,142,18,17617862787956,14,14,True,17617865560003,18,10.5820007,10583,34045,0.9,0.0,False,0.9,0.0,17,0.9,0.0,0.0,-0.0332,0.0,105.3906,105.3906,0.0,0.9,4.9944,0.0001,0.0655,1.4247,0.0,0.0184,0.0,0.0132,4.7124,0.7071,0.0047,0.0047,-0.7071,0.8067,2.9598,0.0562
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,152,19,17617887652686,15,15,True,17617889520394,19,10.6060009,10607,34143,0.9,0.0,False,0.9,0.0,18,0.9,0.0,0.0,-0.0294,0.0,114.6027,114.6027,0.0,0.9,4.9553,-0.0007,0.0456,1.5442,0.0,0.0189,0.0,0.0124,4.7124,0.7071,0.0044,0.0044,-0.7071,0.8067,2.9241,0.0561
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,160,20,17617912615731,16,16,True,17617915514556,20,10.6320009,10633,34251,0.9,0.0,False,0.9,0.0,19,0.9,0.0,0.0,-0.0259,0.0,124.5838,124.5838,0.0,0.9,4.9261,-0.0006,0.0553,1.6728,0.0,0.0193,0.0,0.0117,4.7124,0.7071,0.0041,0.0041,-0.7071,0.8067,2.8822,0.056
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,170,21,17617937560362,17,17,True,17617939473805,21,10.656,10657,34352,0.9,0.0,False,0.9,0.0,20,0.9,0.0,0.0,-0.0231,0.0,133.7959,133.7959,0.0,0.9,4.9095,-0.0026,0.0895,1.7907,0.0,0.0197,0.0,0.0111,4.7124,0.7071,0.0039,0.0039,-0.7071,0.8068,2.8405,0.0559
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,177,22,17617962497999,18,18,True,17617964581181,22,10.6810007,10682,34454,0.9,0.0,False,0.9,0.0,21,0.9,0.0,0.0,-0.0203,0.0,143.3941,143.3941,0.0,0.9,4.8604,0.0009,0.0485,1.9126,0.0,0.02,0.0,0.0106,4.7124,0.7071,0.0037,0.0037,-0.7071,0.8068,2.7942,0.0558
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,187,23,17617987872356,19,19,True,17617990618744,23,10.7070007,10708,34561,0.9,0.0,False,0.9,0.0,22,0.9,0.0,0.0,-0.0179,0.0,153.3752,153.3752,0.0,0.9,4.8242,0.0,0.0415,2.0386,0.0,0.0204,0.0001,0.0101,4.7124,0.7071,0.0036,0.0036,-0.7071,0.8068,2.7427,0.0557
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,196,24,17618013032481,20,20,True,17618015562232,24,10.732,10733,34651,0.9,0.0,False,0.9,0.0,23,0.9,0.0,0.0,-0.0158,0.0,162.9701,162.9701,0.0,0.9,4.7974,0.0019,0.0535,2.1588,0.0,0.0207,0.0,0.0097,4.7124,0.7071,0.0034,0.0034,-0.7071,0.8068,2.6902,0.0556
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,205,25,17618037590285,21,21,True,17618039520590,25,10.7560005,10757,34751,0.9,0.0,False,0.9,0.0,24,0.9,0.0,0.0,-0.014,0.0,172.1822,172.1855,0.0,0.9,4.7653,-0.0005,0.049,2.2735,0.0,0.021,0.0,0.0093,4.7124,0.7071,0.0033,0.0033,-0.7071,0.8068,2.6369,0.0556
high_speed_lateral_20mps_clean_nolidar_40hz_20260915,214,26,17618062585911,22,22,True,17618064532417,26,10.781,10782,34839,0.9,0.0,False,0.9,0.0,25,0.9,0.0,0.0,-0.0124,0.0,181.7804,181.7804,0.0,0.9,4.7324,0.0002,0.0471,2.3922,0.0,0.0214,0.0,0.009,4.7124,0.7071,0.0032,0.0032,-0.7071,0.8068,2.5786,0.0555
