event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
30,17617546420606,/odom,Odometry,1789470580743714396,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
39,17617568125832,/odom,Odometry,1789470580768713896,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
47,17617593670499,/odom,Odometry,1789470580793714596,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
57,17617617711031,/odom,Odometry,1789470580818713896,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.13371290917396544,""x_m"":0.0016713539811298468,""y_m"":2.5165522264168197e-08,""yaw_rad"":3.0113934625930473e-05,""yaw_rate_radps"":0.0}"
65,17617642776288,/odom,Odometry,1789470580843714796,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.2663709754943847,""x_m"":0.006672612386064188,""y_m"":2.653811855140045e-07,""yaw_rad"":6.594815359894922e-05,""yaw_rate_radps"":0.0}"
75,17617668734301,/odom,Odometry,1789470580869714796,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.4034288393259048,""x_m"":0.015379937781449027,""y_m"":-2.6526453748739946e-07,""yaw_rad"":-0.00018783304895975128,""yaw_rate_radps"":0.0}"
84,17617694082790,/odom,Odometry,1789470580894714396,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.5345155892372131,""x_m"":0.027104175872870586,""y_m"":-2.3117230526117704e-06,""yaw_rad"":-0.0001612657118097438,""yaw_rate_radps"":0.0}"
92,17617717925741,/odom,Odometry,1789470580918714596,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.6594052626609802,""x_m"":0.04143132612765419,""y_m"":-4.491507303021137e-06,""yaw_rad"":-0.00014302149043587953,""yaw_rate_radps"":0.0}"
102,17617742847828,/odom,Odometry,1789470580943713896,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.7887158229827881,""x_m"":0.05953221806803568,""y_m"":-6.9282465089543475e-06,""yaw_rad"":-0.00012621819114877475,""yaw_rate_radps"":0.0}"
110,17617767161684,/odom,Odometry,1789470580968714796,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.9169337029933929,""x_m"":0.08085373163859846,""y_m"":-9.481862711662731e-06,""yaw_rad"":-0.00011331604098230304,""yaw_rate_radps"":0.0}"
