run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
high_speed_powered_transient_safe_final_20260915,1,5,5,11.725,11726,40247,0.8079,3.1589,0.0592,0.0111,0.0111,-0.7071,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0001,0.0001,0.0,0.0,-0.0004,-0.0003,0.0031,0.0,0.0
high_speed_powered_transient_safe_final_20260915,2,6,6,11.750001,11751,40345,0.8079,3.1589,0.0592,0.0111,0.0111,-0.7071,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0002,-0.0002,0.0022,0.0,0.0
high_speed_powered_transient_safe_final_20260915,3,7,7,11.776001,11777,40443,0.8079,3.1589,0.0592,0.0111,0.0111,-0.7071,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0002,0.0006,-0.003,0.0,0.0
high_speed_powered_transient_safe_final_20260915,4,8,8,11.8,11801,40535,0.8079,3.1589,0.0592,0.0111,0.0111,-0.7071,0.707,0.0,0.0314,4.7123,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0007,-0.0101,0.0,0.0
high_speed_powered_transient_safe_final_20260915,5,9,9,11.826,11827,40629,0.8079,3.1572,0.0589,0.0104,0.0104,-0.7071,0.707,0.0,0.0294,4.7123,0.1325,0.0,0.0032,0.0,-0.1045,0.0,5.3331,-0.0006,0.1254,8.3743,8.3743
high_speed_powered_transient_safe_final_20260915,6,10,10,11.8510008,11852,40722,0.8079,3.1521,0.0585,0.0095,0.0095,-0.7071,0.707,0.0,0.0268,4.7123,0.2656,0.0,0.0063,-0.0001,-0.1,0.0,5.3054,0.0016,0.1317,16.8992,16.8992
high_speed_powered_transient_safe_final_20260915,7,11,11,11.875001,11876,40813,0.808,3.1442,0.0581,0.0087,0.0087,-0.7071,0.707,0.0,0.0246,4.7123,0.3926,0.0,0.0088,0.0,-0.0894,0.0,5.2768,0.0005,0.1333,25.0869,25.0869
high_speed_powered_transient_safe_final_20260915,8,12,12,11.901001,11902,40911,0.808,3.1321,0.0577,0.0079,0.0079,-0.7071,0.707,0.0,0.0224,4.7123,0.5293,0.0,0.0111,0.0,-0.0787,0.0,5.2343,-0.0001,0.1078,33.9521,33.9521
high_speed_powered_transient_safe_final_20260915,9,13,13,11.925,11926,40993,0.808,3.1178,0.0574,0.0073,0.0073,-0.7071,0.707,0.0,0.0206,4.7123,0.6547,0.0,0.0128,0.0,-0.0698,0.0,5.1966,-0.0013,0.0885,42.1399,42.1399
high_speed_powered_transient_safe_final_20260915,10,14,14,11.9500008,11951,41092,0.808,3.0997,0.0572,0.0067,0.0067,-0.7071,0.707,0.0,0.019,4.7123,0.7844,0.0,0.0143,0.0,-0.0618,0.0,5.1673,0.0012,0.0939,50.6647,50.6647
