event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
56,16135112011824,/odom,Odometry,1789469098310811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
65,16135134557501,/odom,Odometry,1789469098335812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
74,16135161254167,/odom,Odometry,1789469098361812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
83,16135184967964,/odom,Odometry,1789469098385811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
92,16135210696928,/odom,Odometry,1789469098411811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.13866072206497193,""x_m"":0.0018025909734862746,""y_m"":2.714539187212375e-08,""yaw_rad"":3.011819349962862e-05,""yaw_rate_radps"":0.0}"
101,16135235848573,/odom,Odometry,1789469098436812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.27130002274513243,""x_m"":0.006927266439538693,""y_m"":2.73323718935783e-07,""yaw_rad"":6.595748134263779e-05,""yaw_rate_radps"":0.0}"
110,16135259776293,/odom,Odometry,1789469098460812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.3979441084384918,""x_m"":0.014958252152907685,""y_m"":9.200138273665618e-07,""yaw_rad"":9.509126911311229e-05,""yaw_rate_radps"":0.0}"
118,16135285621245,/odom,Odometry,1789469098486812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.5340372761964798,""x_m"":0.02707413184852783,""y_m"":2.2330943096728667e-06,""yaw_rad"":0.00012166236498578618,""yaw_rate_radps"":0.0}"
128,16135309798846,/odom,Odometry,1789469098510811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.6587503535985947,""x_m"":0.0413869724295507,""y_m"":4.105010142270934e-06,""yaw_rad"":0.0001399091674194608,""yaw_rate_radps"":0.0}"
136,16135333953313,/odom,Odometry,1789469098535812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.7879358103513718,""x_m"":0.05947096318026501,""y_m"":6.787083099891449e-06,""yaw_rad"":0.00015671484383195092,""yaw_rate_radps"":0.0}"
146,16135360906804,/odom,Odometry,1789469098561812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.9214991526842118,""x_m"":0.08169384074736127,""y_m"":1.0413119651668354e-05,""yaw_rad"":0.00016961881918264865,""yaw_rate_radps"":0.0}"
155,16135386035757,/odom,Odometry,1789469098586811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.0488297809839249,""x_m"":0.10632210646517129,""y_m"":1.4737196532803203e-05,""yaw_rad"":0.00018152867014920027,""yaw_rate_radps"":0.0}"
163,16135409987292,/odom,Odometry,1789469098610812159,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.1704590398550034,""x_m"":0.1329540226648837,""y_m"":1.9688847551299975e-05,""yaw_rad"":0.00019032973645627393,""yaw_rate_radps"":0.0}"
173,16135434595824,/odom,Odometry,1789469098635811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.2961846214056016,""x_m"":0.1637865973789561,""y_m"":2.5652486218039813e-05,""yaw_rad"":0.00019651039270418558,""yaw_rate_radps"":0.0}"
181,16135459299877,/odom,Odometry,1789469098660812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.4212199831724168,""x_m"":0.19775493171643832,""y_m"":3.242647419113772e-05,""yaw_rad"":0.0002023309408742958,""yaw_rate_radps"":0.0}"
191,16135485447990,/odom,Odometry,1789469098685811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.5451657276868822,""x_m"":0.2348334792879623,""y_m"":4.002984454108443e-05,""yaw_rad"":0.00020779139354054618,""yaw_rate_radps"":0.0}"
199,16135510550513,/odom,Odometry,1789469098711811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.6733418158769608,""x_m"":0.2766744969375875,""y_m"":4.8830750349236905e-05,""yaw_rad"":0.00021289176249816852,""yaw_rate_radps"":0.0}"
208,16135534593440,/odom,Odometry,1789469098735812159,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.7908502049922943,""x_m"":0.3182455039221788,""y_m"":5.7747393302716487e-05,""yaw_rad"":0.00021609196743854753,""yaw_rate_radps"":0.0}"
218,16135560156912,/odom,Odometry,1789469098760811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.9124321902275085,""x_m"":0.36453538495567284,""y_m"":6.782062961297864e-05,""yaw_rad"":0.0002191321431599391,""yaw_rate_radps"":0.0}"
227,16135586271121,/odom,Odometry,1789469098786811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.0380394526004793,""x_m"":0.4158920312136405,""y_m"":7.911201410503972e-05,""yaw_rad"":0.00022059222098191889,""yaw_rate_radps"":0.0}"
235,16135611534527,/odom,Odometry,1789469098811812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.157947197008133,""x_m"":0.46834306352274946,""y_m"":9.075573905265633e-05,""yaw_rad"":0.00022339235830060034,""yaw_rate_radps"":0.0}"
245,16135636162857,/odom,Odometry,1789469098836811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.2769406115531923,""x_m"":0.5237772564908886,""y_m"":0.00010317645693514364,""yaw_rad"":0.000224732418469209,""yaw_rate_radps"":0.0}"
253,16135660491593,/odom,Odometry,1789469098861812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.395313078451157,""x_m"":0.5821828768271097,""y_m"":0.00011634005872602026,""yaw_rad"":0.00022603247340957644,""yaw_rate_radps"":0.0}"
262,16135684770494,/odom,Odometry,1789469098885811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.507781878423691,""x_m"":0.6410175038100395,""y_m"":0.0001296756625000452,""yaw_rad"":0.00022729252343345332,""yaw_rate_radps"":0.0}"
271,16135709473796,/odom,Odometry,1789469098910812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.624434273147583,""x_m"":0.7051728959930802,""y_m"":0.00014429683998021858,""yaw_rad"":0.00022851256884370846,""yaw_rate_radps"":0.0}"
281,16135734819166,/odom,Odometry,1789469098935811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.7401627997875213,""x_m"":0.7722280554096727,""y_m"":0.00015965935090317626,""yaw_rad"":0.00022969260993255247,""yaw_rate_radps"":0.0}"
290,16135760236513,/odom,Odometry,1789469098960812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.8550065234661104,""x_m"":0.8421699378830968,""y_m"":0.00017576435288545986,""yaw_rad"":0.00023083264698398062,""yaw_rate_radps"":0.0}"
298,16135784731311,/odom,Odometry,1789469098985812159,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.9692308698654175,""x_m"":0.9149724867782247,""y_m"":0.00019256955825258415,""yaw_rad"":0.00023083264698398062,""yaw_rate_radps"":0.0}"
307,16135809298886,/odom,Odometry,1789469099010811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.0825305604696274,""x_m"":0.9906176269244007,""y_m"":0.00021007253258243454,""yaw_rad"":0.00023193268027088543,""yaw_rate_radps"":0.0}"
316,16135834138013,/odom,Odometry,1789469099035812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.1951731385946274,""x_m"":1.0690907171174966,""y_m"":0.00022827300704640952,""yaw_rad"":0.00023193268027088543,""yaw_rate_radps"":0.0}"
326,16135860688254,/odom,Odometry,1789469099061812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.3118779114961625,""x_m"":1.1536832286512557,""y_m"":0.0002479376106224731,""yaw_rad"":0.00023299271005750025,""yaw_rate_radps"":0.0}"
334,16135885419117,/odom,Odometry,1789469099086811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.4228990997552873,""x_m"":1.2378650487542302,""y_m"":0.00026755136138075284,""yaw_rad"":0.00023299271005750025,""yaw_rate_radps"":0.0}"
343,16135909257178,/odom,Odometry,1789469099110812159,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.5289232944726945,""x_m"":1.3212883273625864,""y_m"":0.00028698837749731234,""yaw_rad"":0.00023299271005750025,""yaw_rate_radps"":0.0}"
353,16135934289279,/odom,Odometry,1789469099135811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.6383691244363785,""x_m"":1.4108781131040349,""y_m"":0.0003079078368305238,""yaw_rad"":0.0002340127365987321,""yaw_rate_radps"":0.0}"
361,16135958987030,/odom,Odometry,1789469099160812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.7471216135263443,""x_m"":1.5031988578065856,""y_m"":0.000329512067337564,""yaw_rad"":0.0002340127365987321,""yaw_rate_radps"":0.0}"
370,16135984047574,/odom,Odometry,1789469099185811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.8551054060697556,""x_m"":1.5982234304277756,""y_m"":0.0003517490280266868,""yaw_rad"":0.0002340127365987321,""yaw_rate_radps"":0.0}"
379,16136010118752,/odom,Odometry,1789469099211811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.966594526553154,""x_m"":1.699906548699234,""y_m"":0.0003755441732336396,""yaw_rad"":0.0002340127365987321,""yaw_rate_radps"":0.0}"
389,16136035159409,/odom,Odometry,1789469099236812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.073240484428406,""x_m"":1.800407742211413,""y_m"":0.00039911197975858715,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
398,16136060746585,/odom,Odometry,1789469099261812159,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.179424876832963,""x_m"":1.9035654661022883,""y_m"":0.0004233532984715351,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
407,16136086047242,/odom,Odometry,1789469099286811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.284612268590928,""x_m"":2.0093633041201016,""y_m"":0.00044821502490167313,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
416,16136110094837,/odom,Odometry,1789469099310811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.384840773868562,""x_m"":2.1133964318472938,""y_m"":0.00047266205718213977,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
425,16136134278630,/odom,Odometry,1789469099335812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.488722632741929,""x_m"":2.224320625736453,""y_m"":0.0004987284401501125,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
434,16136160016831,/odom,Odometry,1789469099360812159,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.592022571301461,""x_m"":2.337827123129111,""y_m"":0.0005254016457570578,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
443,16136184533891,/odom,Odometry,1789469099385811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.694432531929017,""x_m"":2.453904930432031,""y_m"":0.0005526790905881099,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
452,16136209483115,/odom,Odometry,1789469099410812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.796099297857285,""x_m"":2.5725415530107583,""y_m"":0.0005805578384945769,""yaw_rad"":0.00023499276013860815,""yaw_rate_radps"":0.0}"
461,16136236148203,/odom,Odometry,1789469099436812359,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.901193026661874,""x_m"":2.6986053047042238,""y_m"":0.0006102411592797682,""yaw_rad"":0.0002359327809129396,""yaw_rate_radps"":0.0}"
468,16136260890147,/odom,Odometry,1789469099461811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.000034633088113,""x_m"":2.8223663978606286,""y_m"":0.0006394404586987701,""yaw_rad"":0.0002359327809129396,""yaw_rate_radps"":0.0}"
479,16136284441838,/odom,Odometry,1789469099485812159,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.0956085496902475,""x_m"":2.9435185704254927,""y_m"":0.0006680242282160078,""yaw_rad"":0.0002359327809129396,""yaw_rate_radps"":0.0}"
488,16136309337662,/odom,Odometry,1789469099510811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.195311077451707,""x_m"":3.0721518725742616,""y_m"":0.0006983730414730961,""yaw_rad"":0.0002359327809129396,""yaw_rate_radps"":0.0}"
496,16136335186742,/odom,Odometry,1789469099536811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.297308231925965,""x_m"":3.2085547890605914,""y_m"":0.0007305549614814791,""yaw_rad"":0.0002359327809129396,""yaw_rate_radps"":0.0}"
506,16136359764446,/odom,Odometry,1789469099560811559,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.390831156921387,""x_m"":3.336812081015936,""y_m"":0.0007608150616063351,""yaw_rad"":0.0002359327809129396,""yaw_rate_radps"":0.0}"
514,16136383766566,/odom,Odometry,1789469099585812559,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.488292746400834,""x_m"":3.472806832350017,""y_m"":0.0007929006820734896,""yaw_rad"":0.0002359327809129396,""yaw_rate_radps"":0.0}"
