event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
36,12603255091899,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
37,12603255894618,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
45,12603280014065,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
46,12603280300293,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
54,12603304904401,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
55,12603305179438,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
65,12603330517987,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
66,12603330624658,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
72,12603353433280,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
73,12603353676377,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
81,12603378530546,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
82,12603378749677,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
90,12603404587285,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
91,12603404818780,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
100,12603429770241,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
101,12603429917227,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
108,12603454405368,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
114,12603456873087,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
117,12603479241692,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
118,12603479484128,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
126,12603503393310,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
127,12603503626288,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
135,12603529238070,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
136,12603529417207,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
144,12603554539419,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
145,12603554781785,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
153,12603579320650,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
154,12603579551635,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
162,12603604259418,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
163,12603604484731,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
173,12603629927526,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
174,12603630069744,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
180,12603653527977,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
181,12603653795861,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
189,12603678279322,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
193,12603679750769,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
198,12603704330240,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
199,12603704605949,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
207,12603729104849,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
208,12603729311728,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
216,12603754299728,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
217,12603754568483,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
225,12603778225701,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
230,12603779878328,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
234,12603804147256,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
240,12603806498657,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
243,12603829074802,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
244,12603829304474,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
252,12603854310859,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
253,12603854552443,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
261,12603879031215,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
262,12603879243725,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
270,12603903128601,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
271,12603903401494,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
281,12603929767254,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
282,12603929914170,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
288,12603954390508,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
293,12603956628406,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
297,12603979542777,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
302,12603981542727,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
306,12604003958481,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
307,12604004217278,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
315,12604029467631,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
316,12604029675441,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
324,12604055558865,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
330,12604057922328,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
333,12604079310941,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
338,12604081359432,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
342,12604104195787,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
343,12604104423595,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
351,12604128306297,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
352,12604128532332,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
360,12604154189921,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
361,12604154430203,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
369,12604179384730,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
370,12604179602459,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
378,12604204351480,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
379,12604204586963,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
387,12604229282873,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
388,12604229481467,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
396,12604254321228,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
397,12604254561730,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
405,12604279133417,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
406,12604279358180,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
419,12604307632258,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
420,12604307792970,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
424,12604329666795,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
425,12604329807670,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
432,12604354275562,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
433,12604354477642,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
441,12604378345736,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
442,12604378602629,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
450,12604404166562,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
451,12604404408327,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
459,12604429271592,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
460,12604429490814,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
468,12604454190482,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
469,12604454410245,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
477,12604479261528,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
478,12604479457466,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
486,12604504472708,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
487,12604504705575,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
496,12604529460156,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
497,12604529588217,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
504,12604553120039,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
505,12604553314465,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
513,12604580118950,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
514,12604580380281,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
522,12604604957399,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
523,12604605214472,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
533,12604630355069,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
534,12604630522233,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
540,12604653323873,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
541,12604653613888,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
549,12604679181568,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
550,12604679447317,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
558,12604705858483,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
