event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
39,12603259119401,/autodrive/roboracer_1/imu,Imu,1789465464424732664,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0007,""ay_mps2"":-0.0001,""az_mps2"":-0.0025,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
48,12603281584277,/autodrive/roboracer_1/imu,Imu,1789465464450732684,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0001,""ay_mps2"":-0.0001,""az_mps2"":-0.003,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
57,12603306463362,/autodrive/roboracer_1/imu,Imu,1789465464475732164,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0002,""ay_mps2"":0.0002,""az_mps2"":0.0018,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
67,12603331423139,/autodrive/roboracer_1/imu,Imu,1789465464500733164,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0001,""ay_mps2"":-0.0001,""az_mps2"":0.0012,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
75,12603354773109,/autodrive/roboracer_1/imu,Imu,1789465464524733164,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.1035,""ax_mps2"":5.3418,""ay_mps2"":0.0,""az_mps2"":0.1414,""orientation_w"":0.707,""orientation_x"":0.0105,""orientation_y"":0.0105,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
84,12603379908045,/autodrive/roboracer_1/imu,Imu,1789465464549732664,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.1007,""ax_mps2"":5.3132,""ay_mps2"":-0.0006,""az_mps2"":0.1452,""orientation_w"":0.707,""orientation_x"":0.0096,""orientation_y"":0.0096,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
93,12603406127601,/autodrive/roboracer_1/imu,Imu,1789465464575732684,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0893,""ax_mps2"":5.2748,""ay_mps2"":0.0004,""az_mps2"":0.1284,""orientation_w"":0.707,""orientation_x"":0.0087,""orientation_y"":0.0087,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
102,12603430936854,/autodrive/roboracer_1/imu,Imu,1789465464600732164,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.079,""ax_mps2"":5.2396,""ay_mps2"":0.0,""az_mps2"":0.1176,""orientation_w"":0.707,""orientation_x"":0.0079,""orientation_y"":0.0079,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
110,12603455766927,/autodrive/roboracer_1/imu,Imu,1789465464625733164,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0699,""ax_mps2"":5.2042,""ay_mps2"":0.0003,""az_mps2"":0.1073,""orientation_w"":0.707,""orientation_x"":0.0073,""orientation_y"":0.0073,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
120,12603480710193,/autodrive/roboracer_1/imu,Imu,1789465464650732164,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0617,""ax_mps2"":5.171,""ay_mps2"":-0.0009,""az_mps2"":0.1029,""orientation_w"":0.7071,""orientation_x"":0.0067,""orientation_y"":0.0067,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
129,12603504922485,/autodrive/roboracer_1/imu,Imu,1789465464674732664,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0548,""ax_mps2"":5.1383,""ay_mps2"":0.0007,""az_mps2"":0.0974,""orientation_w"":0.7071,""orientation_x"":0.0062,""orientation_y"":0.0062,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
138,12603530465879,/autodrive/roboracer_1/imu,Imu,1789465464700732684,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0482,""ax_mps2"":5.1007,""ay_mps2"":-0.0002,""az_mps2"":0.0868,""orientation_w"":0.7071,""orientation_x"":0.0057,""orientation_y"":0.0057,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
