event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
284,2078834842587,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
285,2078835503967,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
293,2078860547349,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
299,2078862422861,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
302,2078885332374,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
308,2078886944240,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
311,2078910151585,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
312,2078910331040,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
320,2078935138408,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
326,2078937167856,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
329,2078959929124,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
330,2078960102017,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
338,2078984999408,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
344,2078986634388,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
347,2079010075041,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
348,2079010249597,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
356,2079035248513,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
361,2079036568388,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
365,2079060962513,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
371,2079062891117,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
374,2079085261355,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
375,2079085468633,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
383,2079110731837,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
389,2079112563335,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
392,2079134965343,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
393,2079135174235,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
401,2079159917210,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
402,2079160103117,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.8500000238418579}"
