run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
high_speed_corner_18_20260915,286,6,2078806536488,1,1,True,2078834510609,6,0.185,186,654,0.0,0.0,False,0.0,0.0,5,0.0,0.0,0.0,0.0662,0.0,0.0,0.0,0.0,0.0,-0.0226,0.0002,0.047,0.0048,0.0,-0.0119,0.0,0.0182,4.7124,0.7071,0.0064,0.0064,-0.7071,0.8001,3.159,0.0594
high_speed_corner_18_20260915,294,7,2078831354627,2,2,True,2078860087515,7,0.210000008,211,775,0.0,0.0,False,0.0,0.0,6,0.0,0.0,0.0,0.0585,0.0,0.0,0.0,0.0,0.0,-0.0215,0.0002,0.0423,0.0042,0.0,-0.0105,0.0,0.0197,4.7124,0.7071,0.007,0.007,-0.7071,0.8001,3.1589,0.0594
high_speed_corner_18_20260915,303,8,2078857100939,3,3,True,2078885027549,8,0.236000016,237,889,0.0,0.0,False,0.0,0.0,7,0.0,0.0,0.0,0.0513,0.0,0.0,0.0,0.0,0.0,-0.0191,0.0014,0.0392,0.0037,0.0,-0.0092,0.0,0.0211,4.7124,0.7071,0.0075,0.0075,-0.7071,0.8001,3.1588,0.0593
high_speed_corner_18_20260915,313,9,2078881946010,4,4,True,2078909815199,9,0.261,262,1010,0.85,0.0,False,0.85,0.0,8,0.0,0.0,0.0,0.0454,0.0,0.0,0.0,0.0,0.0,-0.0147,0.0005,0.0462,0.0033,0.0,-0.0081,0.0,0.0223,4.7124,0.7071,0.0079,0.0079,-0.7071,0.8001,3.1588,0.0593
high_speed_corner_18_20260915,321,10,2078906863119,5,5,True,2078934780831,10,0.286,287,1115,0.85,0.0,False,0.85,0.0,9,0.85,0.0,0.0,-0.0642,0.0,8.1747,8.5347,0.0,0.85,5.3587,0.0019,0.1429,0.1254,0.0,-0.0052,0.0,0.0217,4.7124,0.7071,0.0077,0.0077,-0.7071,0.8001,3.1572,0.059
high_speed_corner_18_20260915,331,11,2078931781050,6,6,True,2078959574333,11,0.31,311,1234,0.85,0.0,False,0.85,0.0,10,0.85,0.0,0.0,-0.0665,0.0,16.873,17.2362,0.0,0.85,5.3251,-0.0017,0.1361,0.2536,0.0,-0.0021,0.0,0.02,4.7124,0.7071,0.0071,0.0071,-0.7071,0.8001,3.1526,0.0586
high_speed_corner_18_20260915,339,12,2078956589961,7,7,True,2078984618727,12,0.335,336,1362,0.85,0.0,False,0.85,0.0,11,0.85,0.0,0.0001,-0.0595,0.0,25.9345,26.2978,0.0,0.85,5.2805,-0.0013,0.1058,0.3863,0.0,0.0007,0.0001,0.0185,4.7124,0.7071,0.0065,0.0065,-0.7071,0.8001,3.1445,0.0582
high_speed_corner_18_20260915,349,13,2078981569059,8,8,True,2079009708197,13,0.36,361,1481,0.85,0.0,False,0.85,0.0,12,0.85,0.0,0.0,-0.0527,0.0,34.996,35.3593,0.0,0.85,5.2589,0.0017,0.1324,0.5181,0.0,0.0032,0.0,0.0171,4.7124,0.7071,0.006,0.006,-0.7071,0.8001,3.1331,0.0578
high_speed_corner_18_20260915,357,14,2079006673097,9,9,True,2079034907438,14,0.38500002,386,1598,0.85,0.0,False,0.85,0.0,13,0.85,0.0,0.0001,-0.0465,0.0,44.0576,44.4208,0.0,0.85,5.2168,-0.0016,0.1093,0.6489,0.0,0.0054,0.0,0.0158,4.7124,0.7071,0.0056,0.0056,-0.7071,0.8002,3.1185,0.0575
high_speed_corner_18_20260915,366,15,2079031800200,10,10,True,2079060614034,15,0.410000026,411,1712,0.85,0.0,False,0.85,0.0,14,0.85,0.0,0.0001,-0.041,0.0,53.1191,53.4824,0.0,0.85,5.165,0.0011,0.0629,0.7789,0.0,0.0071,0.0,0.0147,4.7124,0.7071,0.0052,0.0052,-0.7071,0.8002,3.1005,0.0572
high_speed_corner_18_20260915,376,16,2079057078533,11,11,True,2079084886585,16,0.436000019,437,1843,0.85,0.0,False,0.85,0.0,15,0.85,0.0,0.0,-0.0361,0.0,62.5439,62.9071,0.0,0.85,5.1479,0.0001,0.1046,0.913,0.0,0.0087,0.0,0.0137,4.7124,0.7071,0.0049,0.0049,-0.7071,0.8002,3.0785,0.057
high_speed_corner_18_20260915,384,17,2079081557821,12,12,True,2079110393658,17,0.46,461,1968,0.85,0.0,False,0.85,0.0,16,0.85,0.0,0.0,-0.032,0.0,71.2422,71.6054,0.0,0.85,5.0916,0.001,0.0444,1.036,0.0,0.01,0.0,0.0129,4.7124,0.7071,0.0046,0.0046,-0.7071,0.8002,3.055,0.0567
high_speed_corner_18_20260915,394,18,2079106884217,13,13,True,2079134620852,18,0.485,486,2077,0.85,0.0,False,0.85,0.0,17,0.85,0.0,0.0,-0.0283,0.0,80.3037,80.6669,0.0,0.85,5.0721,0.0005,0.0772,1.1633,0.0,0.0112,0.0,0.0122,4.7124,0.7071,0.0043,0.0043,-0.7071,0.8002,3.0274,0.0566
high_speed_corner_18_20260915,403,19,2079131377021,14,14,True,2079159494828,19,0.51000005,511,2206,0.85,0.0,False,0.85,0.0,18,0.85,0.0,0.0,-0.025,0.0,89.3652,89.7285,0.0,0.85,5.046,0.0022,0.0931,1.2896,0.0,0.0123,0.0,0.0115,4.7124,0.7071,0.0041,0.0041,-0.7071,0.8002,2.9967,0.0564
high_speed_corner_18_20260915,412,20,2079156579990,15,15,True,2079185101382,20,0.535,536,2335,0.85,0.0,False,0.85,0.0,19,0.85,0.0,-0.0001,-0.022,0.0,98.4268,98.79,0.0,0.85,5.0033,0.0012,0.0695,1.4151,0.0,0.0132,0.0,0.0109,4.7124,0.7071,0.0039,0.0039,-0.7071,0.8002,2.9628,0.0562
high_speed_corner_18_20260915,420,21,2079181703976,16,16,True,2079210432747,21,0.56,561,2462,0.85,0.0,False,0.85,0.0,20,0.85,0.0,-0.0001,-0.0195,0.0,107.4883,107.8515,0.0,0.85,4.9571,0.0011,0.0367,1.5397,0.0,0.014,-0.0001,0.0104,4.7124,0.7071,0.0037,0.0037,-0.7071,0.8002,2.9258,0.0561
high_speed_corner_18_20260915,429,22,2079207100206,17,17,True,2079234601489,22,0.586,587,2591,0.85,0.0,False,0.85,0.0,21,0.85,0.0,0.0,-0.0172,0.0,116.9131,117.2763,0.0,0.85,4.9395,-0.0011,0.0759,1.6684,0.0,0.0148,-0.0001,0.0099,4.7124,0.7071,0.0035,0.0035,-0.7071,0.8002,2.884,0.056
high_speed_corner_18_20260915,438,23,2079231428825,18,18,True,2079259546782,23,0.61,611,2712,0.85,0.0,False,0.85,0.0,22,0.85,0.0,-0.0001,-0.0152,0.0,125.6114,125.9746,0.0,0.85,4.9038,0.001,0.0652,1.7863,0.0,0.0155,-0.0001,0.0096,4.7124,0.7071,0.0034,0.0034,-0.7071,0.8003,2.8425,0.0559
high_speed_corner_18_20260915,447,24,2079256595894,19,19,True,2079284718150,24,0.63500005,636,2832,0.85,0.0,False,0.85,0.0,23,0.85,0.0,0.0,-0.0135,0.0,134.6729,135.0361,0.0,0.85,4.8811,-0.0019,0.0888,1.9084,0.0,0.0162,-0.0001,0.0092,4.7124,0.7071,0.0033,0.0033,-0.7071,0.8003,2.7963,0.0558
high_speed_corner_18_20260915,456,25,2079281600542,20,20,True,2079310402673,25,0.66,661,2964,0.85,0.0,False,0.85,0.0,24,0.85,0.0,0.0,-0.0117,0.0,143.7344,144.0977,0.0,0.85,4.8187,0.0031,0.0164,2.0295,0.0,0.0167,-0.0001,0.0089,4.7124,0.7071,0.0031,0.0031,-0.7071,0.8003,2.747,0.0557
high_speed_corner_18_20260915,465,26,2079306867413,21,21,True,2079334633274,26,0.685000062,686,3066,0.85,0.0,False,0.85,0.0,25,0.85,0.0,0.0,-0.0105,0.0,152.7959,153.1592,0.0,0.85,4.805,-0.0001,0.0604,2.15,0.0,0.0174,-0.0001,0.0086,4.7124,0.7071,0.003,0.003,-0.7071,0.8003,2.6947,0.0556
high_speed_corner_18_20260915,474,27,2079331511578,22,22,True,2079360012681,27,0.710000038,711,3190,0.85,0.0,False,0.85,0.0,26,0.85,0.0,0.0,-0.0093,0.0,161.8575,162.2207,0.0,0.85,4.7632,0.0011,0.0374,2.2695,0.0,0.018,-0.0001,0.0084,4.7124,0.7071,0.003,0.003,-0.7071,0.8003,2.6394,0.0556
high_speed_corner_18_20260915,483,28,2079356776536,23,23,True,2079386135957,28,0.735,736,3293,0.85,0.0,False,0.85,0.0,27,0.85,0.0,-0.0001,-0.0082,0.0,170.919,171.2823,0.0,0.85,4.7367,-0.0003,0.0492,2.3883,0.0,0.0186,0.0,0.0081,4.7124,0.7071,0.0029,0.0029,-0.7071,0.8003,2.5811,0.0555
high_speed_corner_18_20260915,492,29,2079382230426,24,24,True,2079410161204,29,0.761000037,762,3420,0.85,0.0,False,0.85,0.0,28,0.85,0.0,0.0,-0.0071,0.0,180.3438,180.707,0.0,0.85,4.6888,0.0033,0.0141,2.5109,0.0,0.0192,0.0,0.0079,4.7124,0.7071,0.0028,0.0028,-0.7071,0.8003,2.5173,0.0555
