event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
47,11247431367843,/odom,Odometry,1789464107394341689,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
56,11247452532865,/odom,Odometry,1789464107419340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
65,11247477244795,/odom,Odometry,1789464107444340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
74,11247502567214,/odom,Odometry,1789464107468340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
83,11247527569901,/odom,Odometry,1789464107493340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
92,11247552097545,/odom,Odometry,1789464107519341689,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.13873861083984373,""x_m"":0.0018036696841758357,""y_m"":2.7157795480074218e-08,""yaw_rad"":3.0113934625930473e-05,""yaw_rate_radps"":0.0}"
101,11247576884748,/odom,Odometry,1789464107544340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.27156028382778163,""x_m"":0.006932180852511773,""y_m"":-4.5202876730947617e-07,""yaw_rad"":-0.00021698554147886462,""yaw_rate_radps"":0.0}"
109,11247602293939,/odom,Odometry,1789464107567341989,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.3928549946546554,""x_m"":0.014573511463463485,""y_m"":-1.9987765965192334e-06,""yaw_rad"":-0.00018785175370839005,""yaw_rate_radps"":0.0}"
119,11247627235221,/odom,Odometry,1789464107594340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.5343461378812789,""x_m"":0.027090040385629337,""y_m"":-4.1836460459062525e-06,""yaw_rad"":-0.0001612657118097438,""yaw_rate_radps"":0.0}"
128,11247652039515,/odom,Odometry,1789464107618340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.659296970462799,""x_m"":0.04141371540114769,""y_m"":-6.362901560894961e-06,""yaw_rad"":-0.00014302149043587953,""yaw_rate_radps"":0.0}"
137,11247677768999,/odom,Odometry,1789464107644341689,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.7938168562889099,""x_m"":0.06030507773064317,""y_m"":-8.90605376540457e-06,""yaw_rad"":-0.00012621819114877475,""yaw_rate_radps"":0.0}"
146,11247702866264,/odom,Odometry,1789464107669340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.922098728442192,""x_m"":0.08175308144179731,""y_m"":-1.147481932753474e-05,""yaw_rad"":-0.00011331604098230304,""yaw_rate_radps"":0.0}"
155,11247727420408,/odom,Odometry,1789464107694340589,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.049512999367714,""x_m"":0.10639808687671612,""y_m"":-1.4120835197031867e-05,""yaw_rad"":-0.00010141435267230214,""yaw_rate_radps"":0.0}"
