simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
466.906036,466.932037,466907.0,466933.0,26.0,0.026001000000007934,0.9665,-557.4802,-1.476358465062576,-29.8058,3.2956,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.88,12382.85,0.0,0.0,0.9665,-557.4802,-1.476358465062576,-29.8057,3.2956,0.0
466.932037,466.957031,466933.0,466958.0,25.0,0.02499399999999241,0.9665,-557.4802,-1.476358465062576,-29.8057,3.2956,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.88,12382.85,0.0,0.0,0.9665,-557.4802,-1.476358465062576,-29.8057,3.2955,0.0
466.957031,466.982025,466958.0,466983.0,25.0,0.024994000000049255,0.9665,-557.4802,-1.476358465062576,-29.8057,3.2955,0.0,7.0,0.85,0.0,0.0,0.0,0.0,0.0,12382.88,12382.85,0.0,0.0,0.9665,-557.4802,-1.476358465062576,-29.8057,3.2956,0.0
466.982025,467.007019,466983.0,467008.0,25.0,0.02499399999999241,0.9665,-557.4802,-1.476358465062576,-29.8057,3.2956,0.0,8.0,0.85,0.0,0.85,0.0,0.0,19.946787228940572,12391.33,12391.3,0.0,0.0,0.9665,-557.4802,-1.476358465062576,-29.8056,3.2957,0.0
467.007019,467.031036,467008.0,467032.0,24.0,0.02401699999995799,0.9665,-557.4802,-1.476358465062576,-29.8056,3.2957,0.0,9.0,0.85,0.0,0.85,0.0,0.0,21.433776075318395,12400.06,12400.02,0.0,0.0,0.9665,-557.4802,-1.476358465062576,-29.8055,3.2956,0.0
467.031036,467.057037,467032.0,467058.0,26.0,0.026001000000007934,0.9665,-557.4802,-1.476358465062576,-29.8055,3.2956,0.0,10.0,0.85,0.0,0.85,0.0,0.0,21.443406022838317,12409.51,12409.47,0.0,0.0,0.9665,-557.4802,-1.476358465062576,-29.8055,3.2956,0.0
467.057037,467.082031,467058.0,467083.0,25.0,0.02499399999999241,0.9665,-557.4802,-1.476358465062576,-29.8055,3.2956,0.0,11.0,0.85,0.0,0.85,0.0,0.0,21.46935264464183,12418.6,12418.57,0.0,0.0,0.9665,-557.4802,-1.476358465062576,-29.8055,3.2956,0.0
467.082031,467.107025,467083.0,467108.0,25.0,0.024994000000049255,0.9665,-557.4802,-1.476358465062576,-29.8055,3.2956,0.0,12.0,0.85,0.0,0.85,0.0,0.0,21.445746979232847,12427.69,12427.65,0.0,0.0,0.9666,-557.4802,-1.476358465062576,-29.8054,3.2956,0.0
467.107025,467.131,467108.0,467132.0,24.0,0.02397499999995034,0.9666,-557.4802,-1.476358465062576,-29.8054,3.2956,0.0,13.0,0.85,0.0,0.85,0.0,0.0,21.471324296184942,12436.41,12436.38,0.0,0.0,0.9666,-557.4802,-1.476358465062576,-29.8054,3.2956,0.0
467.131,467.157,467132.0,467158.0,26.0,0.02600000000001046,0.9666,-557.4802,-1.476358465062576,-29.8054,3.2956,0.0,14.0,0.85,0.0,0.85,0.0,0.0,21.444230769223793,12445.86,12445.83,0.0,0.0,0.9666,-557.4802,-1.4766009098306012,-29.8053,3.2955,0.0
