event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
28,15666528268108,/autodrive/roboracer_1/left_encoder,JointState,1789468629727811307,,"{""position"":[12382.88],""velocity"":[]}"
29,15666528501006,/autodrive/roboracer_1/right_encoder,JointState,1789468629727811307,,"{""position"":[12382.85],""velocity"":[]}"
38,15666551980327,/autodrive/roboracer_1/left_encoder,JointState,1789468629753812307,,"{""position"":[12382.88],""velocity"":[]}"
39,15666552185794,/autodrive/roboracer_1/right_encoder,JointState,1789468629753812307,,"{""position"":[12382.85],""velocity"":[]}"
47,15666577317898,/autodrive/roboracer_1/left_encoder,JointState,1789468629778806307,,"{""position"":[12382.88],""velocity"":[]}"
48,15666577590962,/autodrive/roboracer_1/right_encoder,JointState,1789468629778806307,,"{""position"":[12382.85],""velocity"":[]}"
56,15666601791341,/autodrive/roboracer_1/left_encoder,JointState,1789468629803800307,,"{""position"":[12382.88],""velocity"":[]}"
57,15666601975017,/autodrive/roboracer_1/right_encoder,JointState,1789468629803800307,,"{""position"":[12382.85],""velocity"":[]}"
64,15666627225063,/autodrive/roboracer_1/left_encoder,JointState,1789468629828794307,,"{""position"":[12391.33],""velocity"":[]}"
65,15666627444877,/autodrive/roboracer_1/right_encoder,JointState,1789468629828794307,,"{""position"":[12391.3],""velocity"":[]}"
73,15666650894963,/autodrive/roboracer_1/left_encoder,JointState,1789468629852811307,,"{""position"":[12400.06],""velocity"":[]}"
74,15666651058461,/autodrive/roboracer_1/right_encoder,JointState,1789468629852811307,,"{""position"":[12400.02],""velocity"":[]}"
82,15666677653780,/autodrive/roboracer_1/left_encoder,JointState,1789468629878812307,,"{""position"":[12409.51],""velocity"":[]}"
83,15666677913299,/autodrive/roboracer_1/right_encoder,JointState,1789468629878812307,,"{""position"":[12409.47],""velocity"":[]}"
91,15666701719325,/autodrive/roboracer_1/left_encoder,JointState,1789468629903806307,,"{""position"":[12418.6],""velocity"":[]}"
92,15666701890007,/autodrive/roboracer_1/right_encoder,JointState,1789468629903806307,,"{""position"":[12418.57],""velocity"":[]}"
101,15666727558731,/autodrive/roboracer_1/left_encoder,JointState,1789468629928800307,,"{""position"":[12427.69],""velocity"":[]}"
102,15666727771983,/autodrive/roboracer_1/right_encoder,JointState,1789468629928800307,,"{""position"":[12427.65],""velocity"":[]}"
109,15666750970725,/autodrive/roboracer_1/left_encoder,JointState,1789468629952775307,,"{""position"":[12436.41],""velocity"":[]}"
110,15666751210156,/autodrive/roboracer_1/right_encoder,JointState,1789468629952775307,,"{""position"":[12436.38],""velocity"":[]}"
119,15666777512634,/autodrive/roboracer_1/left_encoder,JointState,1789468629978775307,,"{""position"":[12445.86],""velocity"":[]}"
120,15666777739682,/autodrive/roboracer_1/right_encoder,JointState,1789468629978775307,,"{""position"":[12445.83],""velocity"":[]}"
126,15666801332006,/autodrive/roboracer_1/left_encoder,JointState,1789468630003812307,,"{""position"":[12454.95],""velocity"":[]}"
127,15666801605661,/autodrive/roboracer_1/right_encoder,JointState,1789468630003812307,,"{""position"":[12454.92],""velocity"":[]}"
136,15666825797644,/autodrive/roboracer_1/left_encoder,JointState,1789468630027799307,,"{""position"":[12463.68],""velocity"":[]}"
137,15666826027217,/autodrive/roboracer_1/right_encoder,JointState,1789468630027799307,,"{""position"":[12463.64],""velocity"":[]}"
145,15666851723293,/autodrive/roboracer_1/left_encoder,JointState,1789468630053800307,,"{""position"":[12473.13],""velocity"":[]}"
146,15666851962844,/autodrive/roboracer_1/right_encoder,JointState,1789468630053800307,,"{""position"":[12473.1],""velocity"":[]}"
154,15666876068665,/autodrive/roboracer_1/left_encoder,JointState,1789468630077775307,,"{""position"":[12481.86],""velocity"":[]}"
155,15666876426288,/autodrive/roboracer_1/right_encoder,JointState,1789468630077775307,,"{""position"":[12481.82],""velocity"":[]}"
164,15666902939083,/autodrive/roboracer_1/left_encoder,JointState,1789468630103775307,,"{""position"":[12491.31],""velocity"":[]}"
165,15666903238106,/autodrive/roboracer_1/right_encoder,JointState,1789468630103775307,,"{""position"":[12491.27],""velocity"":[]}"
172,15666926090756,/autodrive/roboracer_1/left_encoder,JointState,1789468630127805307,,"{""position"":[12500.03],""velocity"":[]}"
173,15666926279201,/autodrive/roboracer_1/right_encoder,JointState,1789468630127805307,,"{""position"":[12500.0],""velocity"":[]}"
181,15666951195629,/autodrive/roboracer_1/left_encoder,JointState,1789468630152799307,,"{""position"":[12509.12],""velocity"":[]}"
182,15666951411115,/autodrive/roboracer_1/right_encoder,JointState,1789468630152799307,,"{""position"":[12509.09],""velocity"":[]}"
191,15666977047108,/autodrive/roboracer_1/left_encoder,JointState,1789468630178800307,,"{""position"":[12518.58],""velocity"":[]}"
192,15666977266110,/autodrive/roboracer_1/right_encoder,JointState,1789468630178800307,,"{""position"":[12518.54],""velocity"":[]}"
199,15667000741043,/autodrive/roboracer_1/left_encoder,JointState,1789468630202775307,,"{""position"":[12527.3],""velocity"":[]}"
200,15667000975024,/autodrive/roboracer_1/right_encoder,JointState,1789468630202775307,,"{""position"":[12527.27],""velocity"":[]}"
