stamp_s,time_s,phase,source_event_name,source_event_count,source_event_stamp_s,target_speed_mps,target_accel_mps2,controller_speed_mps,controller_accel_mps2,controller_steering_rad,throttle_command,throttle_feedback,steering_command,steering_feedback,speed_mps,speed_rate_mps2,gt_speed_rate_mps2,ax_mps2,ay_mps2,az_mps2,imu_accel_norm_mps2,yaw_rate_radps,odom_yaw_rate_radps,imu_yaw_rate_radps,imu_yaw_rad,imu_stamp_s,odom_stamp_s,gt_odom_stamp_s,left_encoder_stamp_s,right_encoder_stamp_s,left_encoder_rad,right_encoder_rad,left_encoder_speed_radps,right_encoder_speed_radps,left_encoder_dt_s,right_encoder_dt_s,encoder_wheel_speed_mps,gt_slip_speed_mps,gt_slip_ratio,x_odom_m,y_odom_m,yaw_odom_rad,odom_raw_wheel_speed_mps,odom_corrected_wheel_speed_mps,odom_longitudinal_slip_ratio,odom_wheel_observation_confidence,odom_diagnostics_stamp_s,odom_diagnostics_speed_mps,odom_observer_version,odom_observer_source_stamp_s,odom_observer_dt_s,odom_observer_speed_pred_mps,odom_observer_body_u_mps,odom_observer_body_v_mps,odom_observer_ax_mps2,odom_observer_ay_mps2,odom_observer_yaw_rate_radps,odom_observer_wheel_update_used,odom_observer_turn_mode,odom_observer_reset_epoch,odom_observer_timing_degraded,odom_observer_packet_drop_count,odom_observer_packet_coherence_fault_count,odom_observer_x_m,odom_observer_y_m,odom_observer_yaw_rad,odom_observer_sensor_outlier,odom_observer_left_angle_rad,odom_observer_right_angle_rad,odom_observer_imu_yaw_rad,odom_observer_packet_wheel_speed_mps,odom_observer_wheel_burst_rejected,odom_observer_turn_speed_bias_mps,brake_encoder_stopped,brake_imu_stopped,brake_odom_stopped,brake_gt_stopped,brake_stop_confirmed,brake_stop_elapsed_s,speed_settled,speed_settle_rate_mps2,speed_settle_elapsed_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,gt_odom_x_m,gt_odom_y_m,gt_odom_z_m,gt_odom_yaw_rad,gt_ips_x_m,gt_ips_y_m,gt_ips_z_m,x_amcl_m,y_amcl_m,yaw_amcl_rad,amcl_xy_variance,amcl_yaw_variance,x_ekf_m,y_ekf_m,yaw_ekf_rad,ekf_xy_variance,ekf_yaw_variance,x_ekf_odom_m,y_ekf_odom_m,yaw_ekf_odom_rad,ekf_odom_xy_variance,ekf_odom_yaw_variance,ekf_odom_stamp_s,x_current_map_m,y_current_map_m,yaw_current_map_rad,current_map_xy_variance,current_map_yaw_variance,current_map_pose_stamp_s,pp_publish_stamp_s,pp_odom_event_stamp_s,pp_pose_x_m,pp_pose_y_m,pp_pose_yaw_rad,pp_velocity_mps,pp_yaw_rate_radps,pp_valid,pp_cross_track_error_m,pp_closest_distance_m,pp_heading_error_rad,pp_lookahead_distance_m,pp_closest_index,pp_target_index,pp_target_speed_mps,pp_raw_steering_rad,pp_command_steering_rad,pp_command_speed_mps,pp_target_x_m,pp_target_y_m,amcl_scan_stamp_s,amcl_scan_matched_odom_stamp_s,amcl_scan_source_error_ms,amcl_scan_accepted,amcl_scan_queued,amcl_scan_dropped,amcl_scan_bracket_before_stamp_s,amcl_scan_bracket_after_stamp_s,amcl_scan_processing_dropped,amcl_health_correction_age_s,amcl_health_correction_accepted,amcl_health_rejected_scans,amcl_health_degraded,amcl_health_xy_variance,amcl_health_yaw_variance,amcl_health_scan_correction_distance_m,amcl_health_scan_correction_yaw_rad,amcl_health_applied_xy_correction_m,amcl_health_applied_yaw_correction_rad,amcl_health_scan_correction_x_m,amcl_health_scan_correction_y_m,amcl_health_applied_x_m,amcl_health_applied_y_m,amcl_health_source_stamp_s,amcl_particle_count,lidar_rate_hz,lidar_event_count,imu_rate_hz,imu_event_count,left_encoder_rate_hz,left_encoder_event_count,right_encoder_rate_hz,right_encoder_event_count,odom_rate_hz,odom_event_count,odom_diagnostics_rate_hz,odom_diagnostics_event_count,gt_odom_rate_hz,gt_odom_event_count,gt_ips_rate_hz,gt_ips_event_count,collision_rate_hz,collision_event_count,amcl_rate_hz,amcl_event_count,ekf_rate_hz,ekf_event_count,ekf_odom_rate_hz,ekf_odom_event_count,speed_command_rate_hz,speed_command_event_count,throttle_command_rate_hz,throttle_command_event_count,steering_command_rate_hz,steering_command_event_count,throttle_feedback_rate_hz,throttle_feedback_event_count,steering_feedback_rate_hz,steering_feedback_event_count,current_map_pose_rate_hz,current_map_pose_event_count,pp_diagnostics_rate_hz,pp_diagnostics_event_count,amcl_timing_rate_hz,amcl_timing_event_count,amcl_gpu_timing_rate_hz,amcl_gpu_timing_event_count,amcl_kld_diagnostics_rate_hz,amcl_kld_diagnostics_event_count,amcl_scan_alignment_rate_hz,amcl_scan_alignment_event_count,amcl_localization_health_rate_hz,amcl_localization_health_event_count,amcl_particle_count_rate_hz,amcl_particle_count_event_count,amcl_timing_ms,amcl_gpu_transfer_ms,amcl_gpu_pf_ms,amcl_gpu_callback_ms,amcl_pose_published,amcl_cluster_weight,amcl_cluster_second_weight,amcl_kld_pre_particles,amcl_kld_bins,amcl_kld_target,amcl_kld_particles,speed_command_mps,speed_command_accel_mps2,speed_command_steering_rad,speed_command_stamp_s
1789468629.7543404,0.593432829,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4762456933254695,1789468629.7278113,1789468629.7278113,1789468629.7278113,1789468629.7278113,1789468629.7278113,12382.88,12382.85,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789468629.7278113,0.0,5.0,1789468629.7278113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.88,12382.85,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9665,-557.4802,-2906.584,-1.4762456933254695,-29.8058,3.2956,-19.7807,29.9874422550507,nan,nan,nan,nan,nan,0.0,0,0.9665,-557.4802,-2906.584,-1.4762456933254695,0.9665,-557.4802,-2906.584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,25,nan,44,nan,44,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468629.8741217,0.713214115,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,-0.004596077535367458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4762456933254695,1789468629.8528113,1789468629.8528113,1789468629.8528113,1789468629.8528113,1789468629.8528113,12400.06,12400.02,363.49107976371835,363.07470968387236,0.0240170955657959,0.0240170955657959,21.433690788703927,-8.553453283548102,-0.28523734247379895,0.0,0.0,0.0,8.106600000000086,7.82628649936208,16.21320000000017,0.0,1789468629.8528113,0.0,5.0,1789468629.8528113,0.024016857147216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12400.06,12400.02,0.0,21.433903563842296,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9665,-557.4802,-2911.07,-1.4762456933254695,-29.8055,3.2956,-19.7811,29.98714407225203,0.004163700799116717,-0.004163700799135208,0.00588836213978763,-0.004596077535367458,0.0240170955657959,0.0,0,0.9665,-557.4802,-2911.07,-1.4762456933254695,0.9665,-557.4802,-2911.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,nan,6,nan,6,nan,6,nan,6,nan,6,nan,6,nan,6,nan,6,nan,nan,nan,nan,nan,nan,nan,25,nan,49,nan,49,nan,6,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468629.9939466,0.833038892,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,-0.004245542615490299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4767095088188356,1789468629.9787753,1789468629.9787753,1789468629.9787753,1789468629.9787753,1789468629.9787753,12445.86,12445.83,363.46121850129344,363.46121850129344,0.026000022888183594,0.026000022888183594,21.444211891576312,-8.542722402212373,-0.28488148600044993,0.0,0.0,-0.00046381549336604877,21.454474815987055,20.263751463699773,42.90894963197411,0.0,1789468629.9787755,0.0,5.0,1789468629.9787755,0.026000022888183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046381549336604877,0.0,12445.86,12445.83,-0.00046381549336604877,21.44421189157631,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9666,-557.4802,-2915.592,-1.4767095088188356,-29.8053,3.2955,-19.7814,29.986934293788686,0.0038461504603218874,-0.0038461504603218874,0.005439278143914736,-0.004245542615490299,0.026000022888183594,0.0,0,0.9666,-557.4802,-2915.592,-1.4767095088188356,0.9666,-557.4802,-2915.592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11,nan,11,nan,11,nan,11,nan,11,nan,11,nan,11,nan,11,nan,11,nan,nan,nan,nan,nan,nan,nan,25,nan,54,nan,54,nan,11,nan,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468630.0939882,0.933080541,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,0.00045840937754863147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4762456933254695,1789468630.0777752,1789468630.0777752,1789468630.0777752,1789468630.0777752,1789468630.0777752,12481.86,12481.82,364.13088884032896,363.7137858747912,0.023974895477294922,0.023974895477294922,21.471417904096043,-8.515438975710481,-0.28397237529235253,0.0,0.0,0.0,21.45004000000029,20.259562780000273,42.90008000000058,0.0,1789468630.0777755,0.0,5.0,1789468630.0777755,0.023975133895874023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12481.86,12481.82,0.0,21.47120438349715,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9666,-557.4802,-2919.145,-1.4762456933254695,-29.8052,3.2957,-19.7816,29.986856879806524,0.0,0.0041710296545365375,0.0041710296545365375,0.00045840937754863147,0.023974895477294922,0.0,0,0.9666,-557.4802,-2919.145,-1.4762456933254695,0.9666,-557.4802,-2919.145,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,nan,nan,nan,nan,nan,nan,25,nan,58,nan,58,nan,15,nan,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468630.213973,1.053065411,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4767095088188356,1789468630.2027752,1789468630.2027752,1789468630.2027752,1789468630.2027752,1789468630.2027752,12527.3,12527.27,363.7137858747912,364.1308888402531,0.023974895477294922,0.023974895477294922,21.471417904093805,-8.51524018729744,-0.2839676285815273,0.0,0.0,-0.00046381549336604877,21.450039999999863,20.25956277999987,42.900079999999726,0.0,1789468630.2027755,0.0,5.0,1789468630.2027755,0.023974895477294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046381549336604877,0.0,12527.3,12527.27,-0.00046381549336604877,21.471417904093805,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9666,-557.4802,-2923.631,-1.4767095088188356,-29.805,3.2957,-19.7818,29.986658091391245,0.0,0.0,0.0,0.0,0.023974895477294922,0.0,0,0.9666,-557.4802,-2923.631,-1.4767095088188356,0.9666,-557.4802,-2923.631,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,nan,nan,nan,nan,nan,nan,25,nan,63,nan,63,nan,20,nan,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468630.3341093,1.173201696,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4767095088188356,1789468630.3277752,1789468630.3277752,1789468630.3277752,1789468630.3277752,1789468630.3277752,12572.75,12572.71,364.1308888402531,363.7137858747912,0.023974895477294922,0.023974895477294922,21.471417904093805,-8.515030408435639,-0.28396261937022216,0.0,0.0,-0.00046381549336604877,21.450080912782365,20.259601422122945,42.90016182556473,0.0,1789468630.3277752,0.0,5.0,1789468630.3277752,0.023974895477294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046381549336604877,0.0,12572.75,12572.71,-0.00046381549336604877,21.471417904093805,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9667,-557.4802,-2928.117,-1.4767095088188356,-29.8048,3.2956,-19.7822,29.986448312529443,0.0,0.0,0.0,0.0,0.023974895477294922,0.0,0,0.9667,-557.4802,-2928.117,-1.4767095088188356,0.9667,-557.4802,-2928.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,nan,25,nan,25,nan,25,nan,25,nan,25,nan,25,nan,25,nan,24,nan,nan,nan,nan,nan,nan,nan,25,nan,67,nan,67,nan,25,nan,25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468630.4358816,1.274974024,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,-0.00042269562582590315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4767095088188356,1789468630.4288003,1789468630.4288003,1789468630.4288003,1789468630.4288003,1789468630.4288003,12609.46,12609.43,363.4478873239017,363.44788732397166,0.0260009765625,0.0260009765625,21.443425352112264,-8.54292356618721,-0.284893755804122,0.0,0.0,-0.00046381549336604877,21.442046610435973,20.252013023556778,42.88409322087195,0.0,1789468630.4288003,0.0,5.0,1789468630.4288003,0.0260009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046381549336604877,0.0,12609.46,12609.43,-0.00046381549336604877,21.44342535211226,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9667,-557.4802,-2931.742,-1.4767095088188356,-29.8047,3.2956,-19.7823,29.986348918299473,0.0,-0.003846009389679478,0.003846009389679478,-0.00042269562582590315,0.0260009765625,0.0,0,0.9667,-557.4802,-2931.742,-1.4767095088188356,0.9667,-557.4802,-2931.742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,nan,29,nan,29,nan,29,nan,29,nan,29,nan,29,nan,29,nan,28,nan,nan,nan,nan,nan,nan,nan,25,nan,71,nan,71,nan,29,nan,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468630.5543456,1.393438079,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4767095088188356,1789468630.5277994,1789468630.5277994,1789468630.5277994,1789468630.5277994,1789468630.5277994,12645.46,12645.42,363.9463061952526,363.5294146646647,0.0239870548248291,0.0239870548248291,21.46053376536756,-8.525704768499939,-0.2843205812183049,0.0,0.0,-0.00046381549336604877,21.450039999999863,20.25956277999987,42.900079999999726,0.0,1789468630.5277994,0.0,5.0,1789468630.5277994,0.02398681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046381549336604877,0.0,12645.46,12645.42,-0.00046381549336604877,21.460747073790007,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9667,-557.4802,-2935.295,-1.4767095088188356,-29.8046,3.2955,-19.7824,29.9862385338675,0.0,0.0,0.0,0.0,0.0239870548248291,0.0,0,0.9667,-557.4802,-2935.295,-1.4767095088188356,0.9667,-557.4802,-2935.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33,nan,33,nan,33,nan,33,nan,33,nan,33,nan,33,nan,33,nan,33,nan,nan,nan,nan,nan,nan,nan,25,nan,76,nan,76,nan,33,nan,33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468630.6741056,1.513198186,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,-0.00414366531857159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4767095088188356,1789468630.6527994,1789468630.6527994,1789468630.6527994,1789468630.6527994,1789468630.6527994,12690.9,12690.87,363.9463061952526,363.9463061953284,0.0239870548248291,0.0239870548248291,21.472832065522137,-8.513185700263303,-0.2839051776317225,0.0,0.0,-0.00046381549336604877,21.451141869711694,20.260603495942696,42.90228373942339,0.0,1789468630.6527994,0.0,5.0,1789468630.6527994,0.0239870548248291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046381549336604877,0.0,12690.9,12690.87,-0.00046381549336604877,21.47283206552214,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9667,-557.4802,-2939.781,-1.4767095088188356,-29.8044,3.2953,-19.7828,29.98601776578544,0.004168915305778036,0.0,0.004168915305778036,-0.00414366531857159,0.0239870548248291,0.0,0,0.9667,-557.4802,-2939.781,-1.4767095088188356,0.9667,-557.4802,-2939.781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38,nan,38,nan,38,nan,38,nan,38,nan,38,nan,38,nan,38,nan,38,nan,nan,nan,nan,nan,nan,nan,25,nan,81,nan,81,nan,38,nan,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
1789468630.793981,1.633073419,replay_00_t0.850_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,-0.0035370355685183526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4767095088188356,1789468630.7788062,1789468630.7788062,1789468630.7788062,1789468630.7788062,1789468630.7788062,12736.71,12736.67,363.68879120872424,363.68879120879706,0.024993896484375,0.024993896484375,21.45763868131688,-8.52830166978767,-0.28441001249018777,0.0,0.0,-0.00046381549336604877,21.447548096365026,20.257209177016765,42.89509619273005,0.0,1789468630.7788064,0.0,5.0,1789468630.7788064,0.0249941349029541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046381549336604877,0.0,12736.71,12736.67,-0.00046381549336604877,21.4574339973082,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9668,-557.4802,-2944.303,-1.4767095088188356,-29.8043,3.2955,-19.7829,29.98594035110455,0.004000976800967476,0.004000976800985244,0.005658235654680888,-0.0035370355685183526,0.024993896484375,0.0,0,0.9668,-557.4802,-2944.303,-1.4767095088188356,0.9668,-557.4802,-2944.303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43,nan,43,nan,43,nan,43,nan,43,nan,43,nan,43,nan,43,nan,43,nan,nan,nan,nan,nan,nan,nan,25,nan,86,nan,86,nan,43,nan,43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468629.7374065
