simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
351.537018,351.561,351538.0,351562.0,24.0,0.02398199999998951,0.9325,3.1591,-1.5709377943740872,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9325,3.1591,-1.5709377943740872,0.0,0.0,0.0
351.561,351.586029,351562.0,351587.0,25.0,0.02502900000001773,0.9325,3.1591,-1.5709377943740872,0.0,0.0,0.0,6.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9325,3.1591,-1.5709377943740872,0.0,0.0,0.0
351.586029,351.611023,351587.0,351612.0,25.0,0.02499399999999241,0.9325,3.1591,-1.5709377943740872,0.0,0.0,0.0,7.0,0.9,0.0,0.9,0.0,0.0,21.34400656158126,9.0419,9.0419,0.0,0.0,0.9325,3.1575,-1.5709377901143071,0.1271,0.0,0.0
351.611023,351.636017,351612.0,351637.0,25.0,0.02499399999999241,0.9325,3.1575,-1.5709377901143071,0.1271,0.0,0.0,8.0,0.9,0.0,0.9,0.0,0.0,22.64939985597231,18.6368,18.6368,0.0,0.0,0.9325,3.1526,-1.5709377850453627,0.2603,0.0,0.0
351.636017,351.662018,351637.0,351663.0,26.0,0.026001000000007934,0.9325,3.1526,-1.5709377850453627,0.2603,0.0,0.0,9.0,0.9,0.0,0.9,0.0,0.0,22.648775047106653,28.618,28.618,0.0,0.0,0.9325,3.1439,-1.570937780924813,0.3979,0.0,0.0
351.662018,351.686,351663.0,351687.0,24.0,0.02398199999998951,0.9325,3.1439,-1.570937780924813,0.3979,0.0,0.0,10.0,0.9,0.0,0.9,0.0,0.0,22.66316403970635,37.83,37.83,0.0,0.0,0.9326,3.1328,-1.5709377771667188,0.5241,0.0,0.0
351.686,351.711029,351687.0,351712.0,25.0,0.02502900000001773,0.9326,3.1328,-1.5709377771667188,0.5241,0.0,0.0,11.0,0.9,0.0,0.9,0.0,0.0,22.625506412545395,47.4282,47.4282,0.0,0.0,0.9326,3.118,-1.5709377745859743,0.6547,0.0,0.0
351.711029,351.735016,351712.0,351736.0,24.0,0.023986999999976888,0.9326,3.118,-1.5709377745859743,0.6547,0.0,0.0,12.0,0.9,0.0,0.9,0.0,0.0,22.65868595491408,56.6403,56.6403,0.0,0.0,0.9326,3.1007,-1.5709377722090565,0.7792,0.0,0.0
351.735016,351.761017,351736.0,351762.0,26.0,0.026001000000007934,0.9326,3.1007,-1.5709377722090565,0.7792,0.0,0.0,13.0,0.9,0.0,0.9,0.0,0.0,22.648548132757192,66.6214,66.6214,0.0,0.0,0.9326,3.0786,-1.5707963267948966,0.9132,0.0,0.0
351.761017,351.786,351762.0,351787.0,25.0,0.024983000000020184,0.9326,3.0786,-1.5707963267948966,0.9132,0.0,0.0,14.0,0.9,0.0,0.9,0.0,0.0,22.659608533784677,76.2164,76.2164,0.0,0.0,0.9326,3.0541,-1.5707963267948966,1.0411,0.0,0.0
351.786,351.810028,351787.0,351811.0,24.0,0.02402799999998706,0.9326,3.0541,-1.5707963267948966,1.0411,0.0,0.0,15.0,0.9,0.0,0.9,0.0,0.0,22.619776926930783,85.4284,85.4284,0.0,0.0,0.9326,3.0275,-1.5707963267948966,1.1631,0.0,0.0
351.810028,351.836029,351811.0,351837.0,26.0,0.026001000000007934,0.9326,3.0275,-1.5707963267948966,1.1631,0.0,0.0,16.0,0.9,0.0,0.9,0.0,0.0,22.64854813275721,95.4095,95.4095,0.0,0.0,0.9326,2.9955,-1.5707963267948966,1.2944,0.0,0.0
351.836029,351.860016,351837.0,351861.0,24.0,0.023986999999976888,0.9326,2.9955,-1.5707963267948966,1.2944,0.0,0.0,17.0,0.9,0.0,0.9,0.0,0.0,22.662744403240254,104.6216,104.6249,0.0,0.0,0.9326,2.9629,-1.5707963267948966,1.4147,0.0,0.0
351.860016,351.886017,351861.0,351887.0,26.0,0.026001000000007934,0.9326,2.9629,-1.5707963267948966,1.4147,0.0,0.0,18.0,0.9,0.0,0.9,0.0,0.0,22.644804045991318,114.6027,114.6027,0.0,0.0,0.9326,2.9244,-1.5707963267948966,1.5442,0.0,0.0
351.886017,351.912018,351887.0,351913.0,26.0,0.026001000000007934,0.9326,2.9244,-1.5707963267948966,1.5442,0.0,0.0,19.0,0.9,0.0,0.9,0.0,0.0,22.64854813275721,124.5838,124.5838,0.0,0.0,0.9326,2.8825,-1.5707963267948966,1.6728,0.0,0.0
351.912018,351.936,351913.0,351937.0,24.0,0.02398199999998951,0.9326,2.8825,-1.5707963267948966,1.6728,0.0,0.0,20.0,0.9,0.0,0.9,0.0,0.0,22.66341005755305,133.7959,133.7959,0.0,0.0,0.9326,2.8409,-1.5707963267948966,1.7907,0.0,0.0
351.936,351.961029,351937.0,351962.0,25.0,0.02502900000001773,0.9326,2.8409,-1.5707963267948966,1.7907,0.0,0.0,21.0,0.9,0.0,0.9,0.0,0.0,22.625506412545445,143.3941,143.3941,0.0,0.0,0.9326,2.7945,-1.5707963267948966,1.9126,0.0,0.0
351.961029,351.985016,351962.0,351986.0,24.0,0.023986999999976888,0.9326,2.7945,-1.5707963267948966,1.9126,0.0,0.0,22.0,0.9,0.0,0.9,0.0,0.0,22.658439988348814,152.6061,152.6061,0.0,0.0,0.9326,2.7471,-1.5707963267948966,2.0289,0.0,0.0
351.985016,352.011017,351986.0,352012.0,26.0,0.026001000000007934,0.9326,2.7471,-1.5707963267948966,2.0289,0.0,0.0,23.0,0.9,0.0,0.9,0.0,0.0,22.64854813275721,162.5872,162.5872,0.0,0.0,0.9326,2.6927,-1.5707963267948966,2.1541,0.0,0.0
352.011017,352.036,352012.0,352037.0,25.0,0.024983000000020184,0.9326,2.6927,-1.5707963267948966,2.1541,0.0,0.0,24.0,0.9,0.0,0.9,0.0,0.0,22.66350518350648,172.1822,172.1855,0.0,0.0,0.9326,2.6373,-1.5707963267948966,2.2735,0.0,0.0
352.036,352.061,352037.0,352062.0,25.0,0.024999999999977263,0.9326,2.6373,-1.5707963267948966,2.2735,0.0,0.0,25.0,0.9,0.0,0.9,0.0,0.0,22.647858000020584,181.7804,181.7804,0.0,0.0,0.9326,2.5789,-1.5707963267948966,2.3922,0.0,0.0
