event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
58,15551156883861,/autodrive/roboracer_1/left_encoder,JointState,1789468514356876864,,"{""position"":[0.0],""velocity"":[]}"
59,15551157097082,/autodrive/roboracer_1/right_encoder,JointState,1789468514356876864,,"{""position"":[0.0],""velocity"":[]}"
68,15551179626604,/autodrive/roboracer_1/left_encoder,JointState,1789468514380858864,,"{""position"":[0.0],""velocity"":[]}"
69,15551179820729,/autodrive/roboracer_1/right_encoder,JointState,1789468514380858864,,"{""position"":[0.0],""velocity"":[]}"
77,15551204383759,/autodrive/roboracer_1/left_encoder,JointState,1789468514405887864,,"{""position"":[0.0],""velocity"":[]}"
78,15551204538711,/autodrive/roboracer_1/right_encoder,JointState,1789468514405887864,,"{""position"":[0.0],""velocity"":[]}"
86,15551229495782,/autodrive/roboracer_1/left_encoder,JointState,1789468514430881864,,"{""position"":[9.0419],""velocity"":[]}"
87,15551229673637,/autodrive/roboracer_1/right_encoder,JointState,1789468514430881864,,"{""position"":[9.0419],""velocity"":[]}"
95,15551254294305,/autodrive/roboracer_1/left_encoder,JointState,1789468514455875864,,"{""position"":[18.6368],""velocity"":[]}"
96,15551254467090,/autodrive/roboracer_1/right_encoder,JointState,1789468514455875864,,"{""position"":[18.6368],""velocity"":[]}"
104,15551280145639,/autodrive/roboracer_1/left_encoder,JointState,1789468514481876864,,"{""position"":[28.618],""velocity"":[]}"
105,15551280316381,/autodrive/roboracer_1/right_encoder,JointState,1789468514481876864,,"{""position"":[28.618],""velocity"":[]}"
112,15551304031494,/autodrive/roboracer_1/left_encoder,JointState,1789468514505858864,,"{""position"":[37.83],""velocity"":[]}"
113,15551304185394,/autodrive/roboracer_1/right_encoder,JointState,1789468514505858864,,"{""position"":[37.83],""velocity"":[]}"
122,15551329174425,/autodrive/roboracer_1/left_encoder,JointState,1789468514530887864,,"{""position"":[47.4282],""velocity"":[]}"
123,15551329322815,/autodrive/roboracer_1/right_encoder,JointState,1789468514530887864,,"{""position"":[47.4282],""velocity"":[]}"
131,15551354278934,/autodrive/roboracer_1/left_encoder,JointState,1789468514554874864,,"{""position"":[56.6403],""velocity"":[]}"
132,15551354451098,/autodrive/roboracer_1/right_encoder,JointState,1789468514554874864,,"{""position"":[56.6403],""velocity"":[]}"
140,15551379588028,/autodrive/roboracer_1/left_encoder,JointState,1789468514580875864,,"{""position"":[66.6214],""velocity"":[]}"
141,15551379822940,/autodrive/roboracer_1/right_encoder,JointState,1789468514580875864,,"{""position"":[66.6214],""velocity"":[]}"
148,15551404787315,/autodrive/roboracer_1/left_encoder,JointState,1789468514605858864,,"{""position"":[76.2164],""velocity"":[]}"
149,15551404954440,/autodrive/roboracer_1/right_encoder,JointState,1789468514605858864,,"{""position"":[76.2164],""velocity"":[]}"
158,15551429357448,/autodrive/roboracer_1/left_encoder,JointState,1789468514629886864,,"{""position"":[85.4284],""velocity"":[]}"
159,15551429550241,/autodrive/roboracer_1/right_encoder,JointState,1789468514629886864,,"{""position"":[85.4284],""velocity"":[]}"
167,15551454453782,/autodrive/roboracer_1/left_encoder,JointState,1789468514655887864,,"{""position"":[95.4095],""velocity"":[]}"
168,15551454657605,/autodrive/roboracer_1/right_encoder,JointState,1789468514655887864,,"{""position"":[95.4095],""velocity"":[]}"
175,15551479477318,/autodrive/roboracer_1/left_encoder,JointState,1789468514679874864,,"{""position"":[104.6216],""velocity"":[]}"
176,15551479639904,/autodrive/roboracer_1/right_encoder,JointState,1789468514679874864,,"{""position"":[104.6249],""velocity"":[]}"
184,15551504625870,/autodrive/roboracer_1/left_encoder,JointState,1789468514705875864,,"{""position"":[114.6027],""velocity"":[]}"
185,15551504842307,/autodrive/roboracer_1/right_encoder,JointState,1789468514705875864,,"{""position"":[114.6027],""velocity"":[]}"
194,15551531299583,/autodrive/roboracer_1/left_encoder,JointState,1789468514731876864,,"{""position"":[124.5838],""velocity"":[]}"
195,15551531455326,/autodrive/roboracer_1/right_encoder,JointState,1789468514731876864,,"{""position"":[124.5838],""velocity"":[]}"
202,15551554070919,/autodrive/roboracer_1/left_encoder,JointState,1789468514755858864,,"{""position"":[133.7959],""velocity"":[]}"
203,15551554301934,/autodrive/roboracer_1/right_encoder,JointState,1789468514755858864,,"{""position"":[133.7959],""velocity"":[]}"
212,15551579138489,/autodrive/roboracer_1/left_encoder,JointState,1789468514780887864,,"{""position"":[143.3941],""velocity"":[]}"
213,15551579329939,/autodrive/roboracer_1/right_encoder,JointState,1789468514780887864,,"{""position"":[143.3941],""velocity"":[]}"
220,15551604039474,/autodrive/roboracer_1/left_encoder,JointState,1789468514804874864,,"{""position"":[152.6061],""velocity"":[]}"
221,15551604211739,/autodrive/roboracer_1/right_encoder,JointState,1789468514804874864,,"{""position"":[152.6061],""velocity"":[]}"
229,15551629231428,/autodrive/roboracer_1/left_encoder,JointState,1789468514830875864,,"{""position"":[162.5872],""velocity"":[]}"
230,15551629457103,/autodrive/roboracer_1/right_encoder,JointState,1789468514830875864,,"{""position"":[162.5872],""velocity"":[]}"
238,15551654414595,/autodrive/roboracer_1/left_encoder,JointState,1789468514855858864,,"{""position"":[172.1822],""velocity"":[]}"
239,15551654586048,/autodrive/roboracer_1/right_encoder,JointState,1789468514855858864,,"{""position"":[172.1855],""velocity"":[]}"
248,15551679857501,/autodrive/roboracer_1/left_encoder,JointState,1789468514880858864,,"{""position"":[181.7804],""velocity"":[]}"
249,15551680064280,/autodrive/roboracer_1/right_encoder,JointState,1789468514880858864,,"{""position"":[181.7804],""velocity"":[]}"
256,15551705048392,/autodrive/roboracer_1/left_encoder,JointState,1789468514906858864,,"{""position"":[191.7615],""velocity"":[]}"
258,15551706023087,/autodrive/roboracer_1/right_encoder,JointState,1789468514906858864,,"{""position"":[191.7615],""velocity"":[]}"
265,15551729169009,/autodrive/roboracer_1/left_encoder,JointState,1789468514930881864,,"{""position"":[200.9736],""velocity"":[]}"
266,15551729354478,/autodrive/roboracer_1/right_encoder,JointState,1789468514930881864,,"{""position"":[200.9736],""velocity"":[]}"
275,15551754737772,/autodrive/roboracer_1/left_encoder,JointState,1789468514955875864,,"{""position"":[210.5685],""velocity"":[]}"
276,15551754895969,/autodrive/roboracer_1/right_encoder,JointState,1789468514955875864,,"{""position"":[210.5718],""velocity"":[]}"
284,15551779738174,/autodrive/roboracer_1/left_encoder,JointState,1789468514980858864,,"{""position"":[220.1667],""velocity"":[]}"
285,15551779920237,/autodrive/roboracer_1/right_encoder,JointState,1789468514980858864,,"{""position"":[220.1667],""velocity"":[]}"
293,15551804763895,/autodrive/roboracer_1/left_encoder,JointState,1789468515005858864,,"{""position"":[229.7617],""velocity"":[]}"
294,15551804942882,/autodrive/roboracer_1/right_encoder,JointState,1789468515005858864,,"{""position"":[229.7617],""velocity"":[]}"
301,15551828849476,/autodrive/roboracer_1/left_encoder,JointState,1789468515030887864,,"{""position"":[239.3599],""velocity"":[]}"
302,15551829009237,/autodrive/roboracer_1/right_encoder,JointState,1789468515030887864,,"{""position"":[239.3599],""velocity"":[]}"
310,15551853909121,/autodrive/roboracer_1/left_encoder,JointState,1789468515055881864,,"{""position"":[248.9549],""velocity"":[]}"
311,15551854109398,/autodrive/roboracer_1/right_encoder,JointState,1789468515055881864,,"{""position"":[248.9549],""velocity"":[]}"
320,15551878843229,/autodrive/roboracer_1/left_encoder,JointState,1789468515079858864,,"{""position"":[258.1669],""velocity"":[]}"
321,15551878986198,/autodrive/roboracer_1/right_encoder,JointState,1789468515079858864,,"{""position"":[258.1702],""velocity"":[]}"
328,15551905075662,/autodrive/roboracer_1/left_encoder,JointState,1789468515106876864,,"{""position"":[268.5309],""velocity"":[]}"
329,15551905245111,/autodrive/roboracer_1/right_encoder,JointState,1789468515106876864,,"{""position"":[268.5342],""velocity"":[]}"
337,15551929009617,/autodrive/roboracer_1/left_encoder,JointState,1789468515130858864,,"{""position"":[277.7462],""velocity"":[]}"
338,15551929182673,/autodrive/roboracer_1/right_encoder,JointState,1789468515130858864,,"{""position"":[277.7462],""velocity"":[]}"
346,15551953861891,/autodrive/roboracer_1/left_encoder,JointState,1789468515155887864,,"{""position"":[287.3412],""velocity"":[]}"
347,15551954035098,/autodrive/roboracer_1/right_encoder,JointState,1789468515155887864,,"{""position"":[287.3412],""velocity"":[]}"
355,15551979967095,/autodrive/roboracer_1/left_encoder,JointState,1789468515181888864,,"{""position"":[297.3223],""velocity"":[]}"
356,15551980115293,/autodrive/roboracer_1/right_encoder,JointState,1789468515181888864,,"{""position"":[297.3223],""velocity"":[]}"
364,15552004470652,/autodrive/roboracer_1/left_encoder,JointState,1789468515205875864,,"{""position"":[306.5344],""velocity"":[]}"
365,15552004628830,/autodrive/roboracer_1/right_encoder,JointState,1789468515205875864,,"{""position"":[306.5344],""velocity"":[]}"
373,15552028667162,/autodrive/roboracer_1/left_encoder,JointState,1789468515229858864,,"{""position"":[315.7464],""velocity"":[]}"
374,15552028834587,/autodrive/roboracer_1/right_encoder,JointState,1789468515229858864,,"{""position"":[315.7464],""velocity"":[]}"
382,15552055965902,/autodrive/roboracer_1/left_encoder,JointState,1789468515256858864,,"{""position"":[326.1104],""velocity"":[]}"
383,15552056179744,/autodrive/roboracer_1/right_encoder,JointState,1789468515256858864,,"{""position"":[326.1104],""velocity"":[]}"
391,15552079943680,/autodrive/roboracer_1/left_encoder,JointState,1789468515281858864,,"{""position"":[335.7054],""velocity"":[]}"
392,15552080150409,/autodrive/roboracer_1/right_encoder,JointState,1789468515281858864,,"{""position"":[335.7086],""velocity"":[]}"
400,15552104884401,/autodrive/roboracer_1/left_encoder,JointState,1789468515306888864,,"{""position"":[345.3036],""velocity"":[]}"
401,15552105062606,/autodrive/roboracer_1/right_encoder,JointState,1789468515306888864,,"{""position"":[345.3036],""velocity"":[]}"
408,15552129408768,/autodrive/roboracer_1/left_encoder,JointState,1789468515331882864,,"{""position"":[354.8985],""velocity"":[]}"
409,15552129590360,/autodrive/roboracer_1/right_encoder,JointState,1789468515331882864,,"{""position"":[354.9018],""velocity"":[]}"
418,15552154306658,/autodrive/roboracer_1/left_encoder,JointState,1789468515355858864,,"{""position"":[364.1106],""velocity"":[]}"
419,15552154485715,/autodrive/roboracer_1/right_encoder,JointState,1789468515355858864,,"{""position"":[364.1139],""velocity"":[]}"
428,15552180887677,/autodrive/roboracer_1/left_encoder,JointState,1789468515381858864,,"{""position"":[374.0917],""velocity"":[]}"
429,15552181131436,/autodrive/roboracer_1/right_encoder,JointState,1789468515381858864,,"{""position"":[374.095],""velocity"":[]}"
437,15552204243464,/autodrive/roboracer_1/left_encoder,JointState,1789468515405887864,,"{""position"":[383.3038],""velocity"":[]}"
438,15552204414756,/autodrive/roboracer_1/right_encoder,JointState,1789468515405887864,,"{""position"":[383.307],""velocity"":[]}"
444,15552228350816,/autodrive/roboracer_1/left_encoder,JointState,1789468515430881864,,"{""position"":[392.902],""velocity"":[]}"
445,15552228502481,/autodrive/roboracer_1/right_encoder,JointState,1789468515430881864,,"{""position"":[392.902],""velocity"":[]}"
455,15552254020429,/autodrive/roboracer_1/left_encoder,JointState,1789468515454858864,,"{""position"":[402.1141],""velocity"":[]}"
456,15552254165282,/autodrive/roboracer_1/right_encoder,JointState,1789468515454858864,,"{""position"":[402.1141],""velocity"":[]}"
464,15552280061591,/autodrive/roboracer_1/left_encoder,JointState,1789468515481876864,,"{""position"":[412.478],""velocity"":[]}"
465,15552280223746,/autodrive/roboracer_1/right_encoder,JointState,1789468515481876864,,"{""position"":[412.478],""velocity"":[]}"
473,15552305231443,/autodrive/roboracer_1/left_encoder,JointState,1789468515506858864,,"{""position"":[422.073],""velocity"":[]}"
474,15552305383530,/autodrive/roboracer_1/right_encoder,JointState,1789468515506858864,,"{""position"":[422.0763],""velocity"":[]}"
480,15552328728026,/autodrive/roboracer_1/left_encoder,JointState,1789468515530887864,,"{""position"":[431.2851],""velocity"":[]}"
481,15552328902274,/autodrive/roboracer_1/right_encoder,JointState,1789468515530887864,,"{""position"":[431.2883],""velocity"":[]}"
491,15552354212350,/autodrive/roboracer_1/left_encoder,JointState,1789468515555881864,,"{""position"":[440.8833],""velocity"":[]}"
492,15552354364606,/autodrive/roboracer_1/right_encoder,JointState,1789468515555881864,,"{""position"":[440.8833],""velocity"":[]}"
499,15552380096617,/autodrive/roboracer_1/left_encoder,JointState,1789468515581882864,,"{""position"":[450.8611],""velocity"":[]}"
500,15552380315128,/autodrive/roboracer_1/right_encoder,JointState,1789468515581882864,,"{""position"":[450.8611],""velocity"":[]}"
509,15552404040541,/autodrive/roboracer_1/left_encoder,JointState,1789468515604858864,,"{""position"":[459.6903],""velocity"":[]}"
510,15552404226010,/autodrive/roboracer_1/right_encoder,JointState,1789468515604858864,,"{""position"":[459.6903],""velocity"":[]}"
518,15552430215235,/autodrive/roboracer_1/left_encoder,JointState,1789468515630858864,,"{""position"":[469.6681],""velocity"":[]}"
519,15552430435870,/autodrive/roboracer_1/right_encoder,JointState,1789468515630858864,,"{""position"":[469.6714],""velocity"":[]}"
527,15552454223210,/autodrive/roboracer_1/left_encoder,JointState,1789468515654880864,,"{""position"":[478.8802],""velocity"":[]}"
528,15552454434067,/autodrive/roboracer_1/right_encoder,JointState,1789468515654880864,,"{""position"":[478.8835],""velocity"":[]}"
536,15552478629344,/autodrive/roboracer_1/left_encoder,JointState,1789468515679874864,,"{""position"":[488.4751],""velocity"":[]}"
537,15552478809433,/autodrive/roboracer_1/right_encoder,JointState,1789468515679874864,,"{""position"":[488.4784],""velocity"":[]}"
544,15552504157250,/autodrive/roboracer_1/left_encoder,JointState,1789468515705875864,,"{""position"":[498.4562],""velocity"":[]}"
545,15552504370933,/autodrive/roboracer_1/right_encoder,JointState,1789468515705875864,,"{""position"":[498.4562],""velocity"":[]}"
554,15552529285434,/autodrive/roboracer_1/left_encoder,JointState,1789468515730858864,,"{""position"":[508.0512],""velocity"":[]}"
555,15552529468599,/autodrive/roboracer_1/right_encoder,JointState,1789468515730858864,,"{""position"":[508.0545],""velocity"":[]}"
563,15552554256682,/autodrive/roboracer_1/left_encoder,JointState,1789468515755858864,,"{""position"":[517.6494],""velocity"":[]}"
564,15552554467810,/autodrive/roboracer_1/right_encoder,JointState,1789468515755858864,,"{""position"":[517.6494],""velocity"":[]}"
571,15552579987951,/autodrive/roboracer_1/left_encoder,JointState,1789468515780887864,,"{""position"":[527.2443],""velocity"":[]}"
572,15552580156479,/autodrive/roboracer_1/right_encoder,JointState,1789468515780887864,,"{""position"":[527.2443],""velocity"":[]}"
