event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
60,10383730267329,/autodrive/roboracer_1/left_encoder,JointState,1789463243716584503,,"{""position"":[0.0],""velocity"":[]}"
62,10383731651973,/autodrive/roboracer_1/right_encoder,JointState,1789463243716584503,,"{""position"":[0.0],""velocity"":[]}"
70,10383751524895,/autodrive/roboracer_1/left_encoder,JointState,1789463243741584503,,"{""position"":[0.0],""velocity"":[]}"
71,10383751747343,/autodrive/roboracer_1/right_encoder,JointState,1789463243741584503,,"{""position"":[0.0],""velocity"":[]}"
79,10383775882849,/autodrive/roboracer_1/left_encoder,JointState,1789463243766589503,,"{""position"":[0.0],""velocity"":[]}"
80,10383776168076,/autodrive/roboracer_1/right_encoder,JointState,1789463243766589503,,"{""position"":[0.0],""velocity"":[]}"
88,10383800293713,/autodrive/roboracer_1/left_encoder,JointState,1789463243791591503,,"{""position"":[6.0181],""velocity"":[]}"
89,10383800540467,/autodrive/roboracer_1/right_encoder,JointState,1789463243791591503,,"{""position"":[6.0181],""velocity"":[]}"
96,10383825701912,/autodrive/roboracer_1/left_encoder,JointState,1789463243816592503,,"{""position"":[12.4028],""velocity"":[]}"
97,10383825987670,/autodrive/roboracer_1/right_encoder,JointState,1789463243816592503,,"{""position"":[12.4028],""velocity"":[]}"
106,10383850701954,/autodrive/roboracer_1/left_encoder,JointState,1789463243841584503,,"{""position"":[18.7907],""velocity"":[]}"
107,10383850898784,/autodrive/roboracer_1/right_encoder,JointState,1789463243841584503,,"{""position"":[18.7907],""velocity"":[]}"
115,10383875204140,/autodrive/roboracer_1/left_encoder,JointState,1789463243866584503,,"{""position"":[25.1753],""velocity"":[]}"
116,10383875419675,/autodrive/roboracer_1/right_encoder,JointState,1789463243866584503,,"{""position"":[25.1753],""velocity"":[]}"
124,10383900514785,/autodrive/roboracer_1/left_encoder,JointState,1789463243891589503,,"{""position"":[31.5632],""velocity"":[]}"
125,10383900763212,/autodrive/roboracer_1/right_encoder,JointState,1789463243891589503,,"{""position"":[31.5632],""velocity"":[]}"
133,10383927193082,/autodrive/roboracer_1/left_encoder,JointState,1789463243916591503,,"{""position"":[37.9511],""velocity"":[]}"
134,10383927403438,/autodrive/roboracer_1/right_encoder,JointState,1789463243916591503,,"{""position"":[37.9511],""velocity"":[]}"
140,10383949673818,/autodrive/roboracer_1/left_encoder,JointState,1789463243941592503,,"{""position"":[44.3357],""velocity"":[]}"
141,10383949905413,/autodrive/roboracer_1/right_encoder,JointState,1789463243941592503,,"{""position"":[44.3357],""velocity"":[]}"
151,10383974689278,/autodrive/roboracer_1/left_encoder,JointState,1789463243966584503,,"{""position"":[50.7236],""velocity"":[]}"
152,10383974886128,/autodrive/roboracer_1/right_encoder,JointState,1789463243966584503,,"{""position"":[50.7236],""velocity"":[]}"
160,10384000808384,/autodrive/roboracer_1/left_encoder,JointState,1789463243991584503,,"{""position"":[57.1083],""velocity"":[]}"
161,10384001161878,/autodrive/roboracer_1/right_encoder,JointState,1789463243991584503,,"{""position"":[57.1115],""velocity"":[]}"
169,10384024780974,/autodrive/roboracer_1/left_encoder,JointState,1789463244016589503,,"{""position"":[63.4962],""velocity"":[]}"
170,10384024955562,/autodrive/roboracer_1/right_encoder,JointState,1789463244016589503,,"{""position"":[63.4962],""velocity"":[]}"
178,10384049768151,/autodrive/roboracer_1/left_encoder,JointState,1789463244041591503,,"{""position"":[69.8841],""velocity"":[]}"
179,10384049970702,/autodrive/roboracer_1/right_encoder,JointState,1789463244041591503,,"{""position"":[69.8841],""velocity"":[]}"
187,10384075147797,/autodrive/roboracer_1/left_encoder,JointState,1789463244066592503,,"{""position"":[76.2687],""velocity"":[]}"
188,10384075400993,/autodrive/roboracer_1/right_encoder,JointState,1789463244066592503,,"{""position"":[76.2687],""velocity"":[]}"
195,10384099368052,/autodrive/roboracer_1/left_encoder,JointState,1789463244091584503,,"{""position"":[82.6566],""velocity"":[]}"
196,10384099539795,/autodrive/roboracer_1/right_encoder,JointState,1789463244091584503,,"{""position"":[82.6566],""velocity"":[]}"
204,10384124705849,/autodrive/roboracer_1/left_encoder,JointState,1789463244116584503,,"{""position"":[89.0412],""velocity"":[]}"
205,10384124906496,/autodrive/roboracer_1/right_encoder,JointState,1789463244116584503,,"{""position"":[89.0445],""velocity"":[]}"
214,10384150083390,/autodrive/roboracer_1/left_encoder,JointState,1789463244141589503,,"{""position"":[95.4292],""velocity"":[]}"
215,10384150291522,/autodrive/roboracer_1/right_encoder,JointState,1789463244141589503,,"{""position"":[95.4292],""velocity"":[]}"
223,10384174684913,/autodrive/roboracer_1/left_encoder,JointState,1789463244166591503,,"{""position"":[101.8171],""velocity"":[]}"
224,10384174899276,/autodrive/roboracer_1/right_encoder,JointState,1789463244166591503,,"{""position"":[101.8171],""velocity"":[]}"
