event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
40,10522339735488,/autodrive/roboracer_1/left_encoder,JointState,1789463382300086303,,"{""position"":[0.0],""velocity"":[]}"
41,10522339993663,/autodrive/roboracer_1/right_encoder,JointState,1789463382300086303,,"{""position"":[0.0],""velocity"":[]}"
49,10522359066051,/autodrive/roboracer_1/left_encoder,JointState,1789463382326084903,,"{""position"":[0.0],""velocity"":[]}"
50,10522359340847,/autodrive/roboracer_1/right_encoder,JointState,1789463382326084903,,"{""position"":[0.0],""velocity"":[]}"
58,10522383334086,/autodrive/roboracer_1/left_encoder,JointState,1789463382350084903,,"{""position"":[0.0],""velocity"":[]}"
59,10522383514836,/autodrive/roboracer_1/right_encoder,JointState,1789463382350084903,,"{""position"":[0.0],""velocity"":[]}"
67,10522408141496,/autodrive/roboracer_1/left_encoder,JointState,1789463382375084903,,"{""position"":[0.0],""velocity"":[]}"
68,10522408452912,/autodrive/roboracer_1/right_encoder,JointState,1789463382375084903,,"{""position"":[0.0],""velocity"":[]}"
76,10522433455278,/autodrive/roboracer_1/left_encoder,JointState,1789463382400086703,,"{""position"":[6.0181],""velocity"":[]}"
77,10522433674049,/autodrive/roboracer_1/right_encoder,JointState,1789463382400086703,,"{""position"":[6.0181],""velocity"":[]}"
85,10522458415765,/autodrive/roboracer_1/left_encoder,JointState,1789463382425086303,,"{""position"":[12.4028],""velocity"":[]}"
86,10522458621091,/autodrive/roboracer_1/right_encoder,JointState,1789463382425086303,,"{""position"":[12.4028],""velocity"":[]}"
94,10522483507640,/autodrive/roboracer_1/left_encoder,JointState,1789463382450085903,,"{""position"":[18.7907],""velocity"":[]}"
95,10522483723826,/autodrive/roboracer_1/right_encoder,JointState,1789463382450085903,,"{""position"":[18.7907],""velocity"":[]}"
103,10522508373620,/autodrive/roboracer_1/left_encoder,JointState,1789463382475084903,,"{""position"":[25.1753],""velocity"":[]}"
104,10522508608100,/autodrive/roboracer_1/right_encoder,JointState,1789463382475084903,,"{""position"":[25.1753],""velocity"":[]}"
112,10522534134903,/autodrive/roboracer_1/left_encoder,JointState,1789463382500084903,,"{""position"":[31.5632],""velocity"":[]}"
113,10522534373020,/autodrive/roboracer_1/right_encoder,JointState,1789463382500084903,,"{""position"":[31.5632],""velocity"":[]}"
120,10522558166424,/autodrive/roboracer_1/left_encoder,JointState,1789463382525086703,,"{""position"":[37.9511],""velocity"":[]}"
121,10522558366279,/autodrive/roboracer_1/right_encoder,JointState,1789463382525086703,,"{""position"":[37.9511],""velocity"":[]}"
130,10522583184580,/autodrive/roboracer_1/left_encoder,JointState,1789463382550086303,,"{""position"":[44.3357],""velocity"":[]}"
131,10522583387992,/autodrive/roboracer_1/right_encoder,JointState,1789463382550086303,,"{""position"":[44.3357],""velocity"":[]}"
139,10522608189641,/autodrive/roboracer_1/left_encoder,JointState,1789463382575085903,,"{""position"":[50.7236],""velocity"":[]}"
140,10522608409234,/autodrive/roboracer_1/right_encoder,JointState,1789463382575085903,,"{""position"":[50.7236],""velocity"":[]}"
148,10522633366625,/autodrive/roboracer_1/left_encoder,JointState,1789463382600084903,,"{""position"":[57.1083],""velocity"":[]}"
149,10522633596898,/autodrive/roboracer_1/right_encoder,JointState,1789463382600084903,,"{""position"":[57.1115],""velocity"":[]}"
157,10522658094395,/autodrive/roboracer_1/left_encoder,JointState,1789463382625084903,,"{""position"":[63.4962],""velocity"":[]}"
