event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
39,10522339427279,/autodrive/roboracer_1/imu,Imu,1789463382300086303,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0001,""ax_mps2"":-0.0002,""ay_mps2"":0.0003,""az_mps2"":0.0075,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
48,10522358786074,/autodrive/roboracer_1/imu,Imu,1789463382326084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0001,""ax_mps2"":0.0001,""ay_mps2"":-0.0003,""az_mps2"":0.0002,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
57,10522383073496,/autodrive/roboracer_1/imu,Imu,1789463382350084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0001,""ax_mps2"":0.0001,""ay_mps2"":-0.0003,""az_mps2"":-0.0047,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
66,10522407809462,/autodrive/roboracer_1/imu,Imu,1789463382375084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0004,""ay_mps2"":0.0002,""az_mps2"":0.0091,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
75,10522433191141,/autodrive/roboracer_1/imu,Imu,1789463382400086703,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.104,""ax_mps2"":5.3379,""ay_mps2"":0.0003,""az_mps2"":0.1346,""orientation_w"":0.7071,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
84,10522458162990,/autodrive/roboracer_1/imu,Imu,1789463382425086303,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.1003,""ax_mps2"":5.3108,""ay_mps2"":0.0001,""az_mps2"":0.1424,""orientation_w"":0.7071,""orientation_x"":0.0095,""orientation_y"":0.0095,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
93,10522483227203,/autodrive/roboracer_1/imu,Imu,1789463382450085903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0893,""ax_mps2"":5.2779,""ay_mps2"":-0.0002,""az_mps2"":0.1361,""orientation_w"":0.7071,""orientation_x"":0.0087,""orientation_y"":0.0087,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
102,10522508096108,/autodrive/roboracer_1/imu,Imu,1789463382475084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.079,""ax_mps2"":5.2409,""ay_mps2"":-0.0004,""az_mps2"":0.1207,""orientation_w"":0.7071,""orientation_x"":0.0079,""orientation_y"":0.0079,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
111,10522533840078,/autodrive/roboracer_1/imu,Imu,1789463382500084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0698,""ax_mps2"":5.2063,""ay_mps2"":0.0,""az_mps2"":0.1125,""orientation_w"":0.7071,""orientation_x"":0.0073,""orientation_y"":0.0073,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
119,10522557865338,/autodrive/roboracer_1/imu,Imu,1789463382525086703,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0617,""ax_mps2"":5.168,""ay_mps2"":0.0001,""az_mps2"":0.0955,""orientation_w"":0.7071,""orientation_x"":0.0067,""orientation_y"":0.0067,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
129,10522582934049,/autodrive/roboracer_1/imu,Imu,1789463382550086303,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0546,""ax_mps2"":5.1311,""ay_mps2"":-0.0008,""az_mps2"":0.0826,""orientation_w"":0.7071,""orientation_x"":0.0062,""orientation_y"":0.0062,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
138,10522607912189,/autodrive/roboracer_1/imu,Imu,1789463382575085903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0482,""ax_mps2"":5.1017,""ay_mps2"":-0.0003,""az_mps2"":0.0893,""orientation_w"":0.7071,""orientation_x"":0.0057,""orientation_y"":0.0057,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
147,10522633078243,/autodrive/roboracer_1/imu,Imu,1789463382600084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0426,""ax_mps2"":5.0611,""ay_mps2"":-0.0006,""az_mps2"":0.0678,""orientation_w"":0.7071,""orientation_x"":0.0053,""orientation_y"":0.0053,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
156,10522657835158,/autodrive/roboracer_1/imu,Imu,1789463382625084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0377,""ax_mps2"":5.0263,""ay_mps2"":0.0,""az_mps2"":0.0615,""orientation_w"":0.7071,""orientation_x"":0.005,""orientation_y"":0.005,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
165,10522683131657,/autodrive/roboracer_1/imu,Imu,1789463382650086703,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0333,""ax_mps2"":4.9969,""ay_mps2"":0.0002,""az_mps2"":0.068,""orientation_w"":0.7071,""orientation_x"":0.0047,""orientation_y"":0.0047,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
174,10522707584150,/autodrive/roboracer_1/imu,Imu,1789463382675086303,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0294,""ax_mps2"":4.9616,""ay_mps2"":-0.001,""az_mps2"":0.0608,""orientation_w"":0.7071,""orientation_x"":0.0044,""orientation_y"":0.0044,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
184,10522734476920,/autodrive/roboracer_1/imu,Imu,1789463382700085903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.026,""ax_mps2"":4.926,""ay_mps2"":-0.0008,""az_mps2"":0.0524,""orientation_w"":0.7071,""orientation_x"":0.0042,""orientation_y"":0.0042,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
192,10522757259042,/autodrive/roboracer_1/imu,Imu,1789463382725084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.023,""ax_mps2"":4.8986,""ay_mps2"":-0.001,""az_mps2"":0.0637,""orientation_w"":0.7071,""orientation_x"":0.0039,""orientation_y"":0.0039,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
201,10522782742693,/autodrive/roboracer_1/imu,Imu,1789463382750084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0203,""ax_mps2"":4.8628,""ay_mps2"":0.0011,""az_mps2"":0.0539,""orientation_w"":0.7071,""orientation_x"":0.0037,""orientation_y"":0.0037,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
210,10522807879813,/autodrive/roboracer_1/imu,Imu,1789463382775086703,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.018,""ax_mps2"":4.8331,""ay_mps2"":0.0013,""az_mps2"":0.059,""orientation_w"":0.7071,""orientation_x"":0.0036,""orientation_y"":0.0036,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
218,10522831782922,/autodrive/roboracer_1/imu,Imu,1789463382800086303,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0159,""ax_mps2"":4.7981,""ay_mps2"":-0.0013,""az_mps2"":0.052,""orientation_w"":0.7071,""orientation_x"":0.0034,""orientation_y"":0.0034,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
227,10522857853577,/autodrive/roboracer_1/imu,Imu,1789463382825085903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0141,""ax_mps2"":4.7599,""ay_mps2"":-0.0006,""az_mps2"":0.036,""orientation_w"":0.7071,""orientation_x"":0.0033,""orientation_y"":0.0033,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
236,10522882807913,/autodrive/roboracer_1/imu,Imu,1789463382850084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0124,""ax_mps2"":4.7242,""ay_mps2"":-0.0005,""az_mps2"":0.0272,""orientation_w"":0.7071,""orientation_x"":0.0032,""orientation_y"":0.0032,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
246,10522907612537,/autodrive/roboracer_1/imu,Imu,1789463382875084903,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0109,""ax_mps2"":4.6981,""ay_mps2"":-0.0014,""az_mps2"":0.0401,""orientation_w"":0.7071,""orientation_x"":0.0031,""orientation_y"":0.0031,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
