event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
42,10522340929984,/odom,Odometry,1789463382300086303,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
51,10522359790393,/odom,Odometry,1789463382326084903,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
60,10522383871958,/odom,Odometry,1789463382350084903,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
69,10522408895574,/odom,Odometry,1789463382375084903,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
78,10522434140707,/odom,Odometry,1789463382400086703,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.13345819029808045,""x_m"":0.0016683610179678602,""y_m"":2.5110342038566556e-08,""yaw_rad"":3.0101808620841566e-05,""yaw_rate_radps"":0.0}"
87,10522459060808,/odom,Odometry,1789463382425086303,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.26622489819526673,""x_m"":0.006664275738939213,""y_m"":2.6499610180084953e-07,""yaw_rad"":6.593095934093185e-05,""yaw_rate_radps"":0.0}"
96,10522484129770,/odom,Odometry,1789463382450085903,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.39817164318561554,""x_m"":0.014969184957951681,""y_m"":9.334892461883772e-07,""yaw_rad"":9.505650610019956e-05,""yaw_rate_radps"":0.0}"
105,10522508992964,/odom,Odometry,1789463382475084903,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.5291883953571319,""x_m"":0.02656067684202605,""y_m"":2.189291727290714e-06,""yaw_rad"":0.0001216200854461391,""yaw_rate_radps"":0.0}"
114,10522534760569,/odom,Odometry,1789463382500084903,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.6593463918685912,""x_m"":0.04141741822912812,""y_m"":4.13167556286497e-06,""yaw_rad"":0.00013986172592783674,""yaw_rate_radps"":0.0}"
122,10522558823639,/odom,Odometry,1789463382525086703,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.7885555097579955,""x_m"":0.059517469065367756,""y_m"":6.815228702859788e-06,""yaw_rad"":0.00015666264791081025,""yaw_rate_radps"":0.0}"
