event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
47,11170499454034,/odom,Odometry,1789464030460616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
56,11170519522494,/odom,Odometry,1789464030485616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
65,11170544777326,/odom,Odometry,1789464030509616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
74,11170569145019,/odom,Odometry,1789464030536616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
83,11170595665830,/odom,Odometry,1789464030560617494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.12816598892211914,""x_m"":0.0015380637373599217,""y_m"":1.9942617458991863e-08,""yaw_rad"":2.59321079789654e-05,""yaw_rate_radps"":0.0}"
92,11170619863043,/odom,Odometry,1789464030586616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.26624184570312504,""x_m"":0.0066651820094231415,""y_m"":-4.698341589496778e-07,""yaw_rad"":-0.00021698554147886462,""yaw_rate_radps"":0.0}"
101,11170644837828,/odom,Odometry,1789464030611618094,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.39819364066123963,""x_m"":0.014971053135982508,""y_m"":-2.151097382437088e-06,""yaw_rad"":-0.00018785175370839005,""yaw_rate_radps"":0.0}"
110,11170669586828,/odom,Odometry,1789464030636617694,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.529167891216278,""x_m"":0.02656300577776298,""y_m"":-4.174660593156956e-06,""yaw_rad"":-0.00016128065783571624,""yaw_rate_radps"":0.0}"
119,11170695536085,/odom,Odometry,1789464030660617894,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.6542519659996032,""x_m"":0.040764143216509244,""y_m"":-6.335466723379779e-06,""yaw_rad"":-0.0001430338554020417,""yaw_rate_radps"":0.0}"
128,11170719887869,/odom,Odometry,1789464030686616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.7887634832382202,""x_m"":0.05952232827553489,""y_m"":-8.86080659699714e-06,""yaw_rad"":-0.00012621819114877475,""yaw_rate_radps"":0.0}"
137,11170744453975,/odom,Odometry,1789464030711616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.9171127488136291,""x_m"":0.08084565900947414,""y_m"":-1.1414640436123583e-05,""yaw_rad"":-0.00011331604098230304,""yaw_rate_radps"":0.0}"
146,11170768807562,/odom,Odometry,1789464030736618094,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.0447855408668518,""x_m"":0.10537088429873373,""y_m"":-1.404779608665659e-05,""yaw_rad"":-0.00010141435267230214,""yaw_rate_radps"":0.0}"
155,11170793830267,/odom,Odometry,1789464030760616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.1663067398309708,""x_m"":0.13190233202255475,""y_m"":-1.6650105075906738e-05,""yaw_rad"":-9.475353141707998e-05,""yaw_rate_radps"":0.0}"
164,11170819532069,/odom,Odometry,1789464030786616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.296952852845192,""x_m"":0.16392502842913295,""y_m"":-1.9551139805787718e-05,""yaw_rad"":-8.643263011731683e-05,""yaw_rate_radps"":0.0}"
172,11170843395655,/odom,Odometry,1789464030811616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.4218871379613875,""x_m"":0.1979103337290845,""y_m"":-2.2389672581515905e-05,""yaw_rad"":-8.06120819472067e-05,""yaw_rate_radps"":0.0}"
182,11170869058002,/odom,Odometry,1789464030835616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.5410491875648498,""x_m"":0.2334654649775459,""y_m"":-2.515877218534702e-05,""yaw_rad"":-7.51516292809562e-05,""yaw_rate_radps"":0.0}"
190,11170894561711,/odom,Odometry,1789464030861618094,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.6690893185853957,""x_m"":0.2751999809304134,""y_m"":-2.8223400382207363e-05,""yaw_rad"":-7.171137470418643e-05,""yaw_rate_radps"":0.0}"
200,11170918934644,/odom,Odometry,1789464030886617694,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.7914512844800947,""x_m"":0.3184556657905953,""y_m"":-3.122020679165732e-05,""yaw_rad"":-6.685105538295488e-05,""yaw_rate_radps"":0.0}"
209,11170943891055,/odom,Odometry,1789464030911616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.9129309550523756,""x_m"":0.364758412340773,""y_m"":-3.424521002702208e-05,""yaw_rad"":-6.381087966156332e-05,""yaw_rate_radps"":0.0}"
218,11170970242257,/odom,Odometry,1789464030936616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.0335614152193067,""x_m"":0.41408975505444023,""y_m"":-3.7357072604882455e-05,""yaw_rad"":-6.235080183958353e-05,""yaw_rate_radps"":0.0}"
227,11170993975759,/odom,Odometry,1789464030961616494,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.153380729603767,""x_m"":0.46642623229407476,""y_m"":-4.054701926865948e-05,""yaw_rad"":-5.955066452090208e-05,""yaw_rate_radps"":0.0}"
236,11171019274182,/odom,Odometry,1789464030986618094,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.2724741336584087,""x_m"":0.5217533222512473,""y_m"":-4.3804713430633244e-05,""yaw_rad"":-5.821060435229341e-05,""yaw_rate_radps"":0.0}"
245,11171043580029,/odom,Odometry,1789464031011617694,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.3906873298406595,""x_m"":0.5800419510209599,""y_m"":-4.7159840531990465e-05,""yaw_rad"":-5.691054941192597e-05,""yaw_rate_radps"":0.0}"
253,11171069199606,/odom,Odometry,1789464031035617894,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.5035373980045312,""x_m"":0.6387724749647202,""y_m"":-5.046522522132125e-05,""yaw_rad"":-5.565049938804912e-05,""yaw_rate_radps"":0.0}"
