event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
248,5293700639988,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
249,5293700900764,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
257,5293722503974,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
258,5293722647452,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
266,5293747467504,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
267,5293747635447,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
275,5293772658869,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
276,5293772818667,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
284,5293797950491,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
285,5293798129114,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
293,5293822053566,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
298,5293823622323,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
302,5293847404789,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
308,5293849221579,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
311,5293872719865,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
317,5293874770140,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
320,5293898137422,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
321,5293898358184,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
329,5293922983032,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
330,5293923217589,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
338,5293948826774,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
344,5293950513040,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
347,5293972015793,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
348,5293972197352,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
356,5293997727599,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
357,5293997907545,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
365,5294022258502,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
369,5294023323359,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
374,5294047651705,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
375,5294047868009,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
383,5294072594508,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.699999988079071}"
