event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
255,5353989724730,/autodrive/roboracer_1/imu,Imu,1789487749948810234,,"{""angular_velocity_x_radps"":-0.002,""angular_velocity_y_radps"":0.5716,""ax_mps2"":-5.0104,""ay_mps2"":-0.0109,""az_mps2"":27.8682,""orientation_w"":0.7071,""orientation_x"":0.0075,""orientation_y"":0.0075,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
263,5354013318389,/autodrive/roboracer_1/imu,Imu,1789487749973810223,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0645,""ax_mps2"":-0.3904,""ay_mps2"":-0.002,""az_mps2"":2.1206,""orientation_w"":0.707,""orientation_x"":0.0094,""orientation_y"":0.0094,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
273,5354038287821,/autodrive/roboracer_1/imu,Imu,1789487749999810233,,"{""angular_velocity_x_radps"":0.0003,""angular_velocity_y_radps"":0.0223,""ax_mps2"":-0.0413,""ay_mps2"":-0.0023,""az_mps2"":0.38,""orientation_w"":0.707,""orientation_x"":0.0097,""orientation_y"":0.0097,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
281,5354063744554,/autodrive/roboracer_1/imu,Imu,1789487750024810239,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0172,""ax_mps2"":-0.0135,""ay_mps2"":0.0004,""az_mps2"":0.2329,""orientation_w"":0.707,""orientation_x"":0.0098,""orientation_y"":0.0099,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
291,5354089395570,/autodrive/roboracer_1/imu,Imu,1789487750049810223,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":-0.0912,""ax_mps2"":5.4404,""ay_mps2"":-0.0023,""az_mps2"":0.3894,""orientation_w"":0.707,""orientation_x"":0.0093,""orientation_y"":0.0094,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
300,5354113424685,/autodrive/roboracer_1/imu,Imu,1789487750074810251,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":-0.0888,""ax_mps2"":5.386,""ay_mps2"":0.0005,""az_mps2"":0.3288,""orientation_w"":0.7071,""orientation_x"":0.0085,""orientation_y"":0.0085,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
308,5354138503151,/autodrive/roboracer_1/imu,Imu,1789487750099810223,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":-0.0789,""ax_mps2"":5.3385,""ay_mps2"":-0.0015,""az_mps2"":0.2867,""orientation_w"":0.7071,""orientation_x"":0.0078,""orientation_y"":0.0078,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
317,5354164053980,/autodrive/roboracer_1/imu,Imu,1789487750124810223,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":-0.0696,""ax_mps2"":5.3025,""ay_mps2"":0.0026,""az_mps2"":0.2745,""orientation_w"":0.7071,""orientation_x"":0.0071,""orientation_y"":0.0071,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
326,5354188264042,/autodrive/roboracer_1/imu,Imu,1789487750149810239,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":-0.0613,""ax_mps2"":5.245,""ay_mps2"":-0.0001,""az_mps2"":0.2097,""orientation_w"":0.7071,""orientation_x"":0.0065,""orientation_y"":0.0066,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
336,5354213937079,/autodrive/roboracer_1/imu,Imu,1789487750173810223,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":-0.0542,""ax_mps2"":5.2165,""ay_mps2"":0.0019,""az_mps2"":0.2151,""orientation_w"":0.7071,""orientation_x"":0.0061,""orientation_y"":0.0061,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
