regime,speed_mps,steering_rad,v_error_mps,r_error_radps
low_speed,0.0182,0,-0.00851690038,-0.00459023457
low_speed,0.0042,0,0,0
low_speed,0.0027,0,0,0
low_speed,0.0024,0,0,0
low_speed,0.0021,0,0,0
low_speed,0.0019,0,0,0
low_speed,0.0017,0,0,0
low_speed,0.0015,0,0,0
low_speed,0.0013,0,0,0
low_speed,0.0011,0,0,0
low_speed,0.001,0,0,0
low_speed,0.0009,0,0,0
low_speed,0.0008,0,0,0
low_speed,0.0007,0,0,0
low_speed,0.0006,0,0,0
low_speed,0.0005,0,0,0
low_speed,0.0005,0,0,0
low_speed,0.0004,0,0,0
low_speed,0.0004,0,0,0
low_speed,0.0003,0,0,0
low_speed,0.0003,0,0,0
low_speed,0.0003,0,0,0
low_speed,0.0002,0,0,0
low_speed,0.0002,0,0,0
low_speed,0.0002,0,0,0
low_speed,0.0002,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0.0001,0,0,0
low_speed,0,0,0,0
low_speed,0,0,0,0
low_speed,0,0,0,0
low_speed,0,0,0,0
low_speed,0,0,0,0
low_speed,0,0,0,0
low_speed,0,0,0,0
low_speed,0.1272,0,0,0
low_speed,0.2657,0,0,0
low_speed,0.398,0,0,0
straight_acceleration,0.5242,0,0,0
straight_acceleration,0.66,0,0,0
straight_acceleration,0.7845,0,0,0
straight_acceleration,0.9185,0,0,0
straight_acceleration,1.0413,0,0,0
straight_acceleration,1.1734,0,0,0
straight_acceleration,1.2996,0,0,0
straight_acceleration,1.4199,0,0,0
straight_acceleration,1.5494,0,0,0
straight_acceleration,1.668,0,0,0
straight_acceleration,1.7957,0,0,0
straight_acceleration,1.9128,0,0,0
straight_acceleration,2.0339,0,0,0
straight_acceleration,2.1542,0,0,0
straight_acceleration,2.2737,0,0,0
straight_acceleration,2.3971,0,0,0
straight_acceleration,2.5149,0,0,0
straight_acceleration,2.6273,0,0,0
straight_acceleration,2.7436,0,0,0
straight_acceleration,2.859,0,0,0
straight_acceleration,2.9783,0,0,0
straight_acceleration,3.0876,0,0,0
straight_acceleration,3.2007,0,0,0
straight_acceleration,3.3131,0,0,0
straight_acceleration,3.4291,0,0,0
straight_acceleration,3.5355,0,0,0
straight_acceleration,3.65,0,0,0
straight_acceleration,3.7552,0,0,0
straight_acceleration,3.8727,0,0,0
straight_acceleration,4.0161,0,0,0
straight_acceleration,4.1966,0,0,0
straight_acceleration,4.3612,0,0,0
straight_acceleration,4.4892,0,0,0
straight_acceleration,4.6153,0,0,0
straight_acceleration,4.7006,0,0,0
straight_acceleration,4.7584,0,0,0
straight_acceleration,4.8029,0,0,0
straight_acceleration,4.8354,0,0,0
straight_acceleration,4.8592,0,0,0
straight_acceleration,4.8773,0,0,0
straight_acceleration,4.8899,0,0,0
straight_acceleration,4.8989,0,0,0
straight_acceleration,4.9055,0,0,0
straight_acceleration,4.9107,0,0,0
straight_acceleration,4.9145,0,0,0
straight_acceleration,4.9169,0,0,0
straight_acceleration,4.9189,0,0,0
straight_acceleration,4.9202,0,0,0
straight_acceleration,4.9211,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9221,0,0,0
straight_acceleration,4.9224,0,0,0
straight_acceleration,4.9225,0,0,0
straight_acceleration,4.9226,0,0,0
straight_acceleration,4.9226,0,0,0
straight_acceleration,4.9226,0,0,0
straight_acceleration,4.9225,0,0,0
straight_acceleration,4.9225,0,0,0
straight_acceleration,4.9224,0,0,0
straight_acceleration,4.9224,0,0,0
straight_acceleration,4.9223,0,0,0
straight_acceleration,4.9222,0,0,0
straight_acceleration,4.9221,0,0,0
straight_acceleration,4.9221,0,0,0
straight_acceleration,4.922,0,0,0
straight_acceleration,4.922,0,0,0
straight_acceleration,4.922,0,0,0
straight_acceleration,4.9219,0,0,0
straight_acceleration,4.9219,0,0,0
straight_acceleration,4.9219,0,0,0
straight_acceleration,4.9218,0,0,0
straight_acceleration,4.9218,0,0,0
straight_acceleration,4.9218,0,0,0
straight_acceleration,4.9218,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9217,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
straight_acceleration,4.9216,0,0,0
cornering,4.9216,0.0524,-0.00703515028,-0.173318728
cornering,4.9161,0.0524,0.015869641,0.00241410877
cornering,4.9121,0.0524,0.0139079638,0.00291543264
cornering,4.9105,0.0524,0.0129786596,0.00337517567
cornering,4.9093,0.0524,0.0121566458,0.00359471204
cornering,4.9085,0.0524,0.0114420909,0.00397549733
cornering,4.9079,0.0524,0.0108307738,0.0041825449
cornering,4.9075,0.0524,0.0102236774,0.00442455381
cornering,4.9072,0.0524,0.00971808766,0.00457869284
cornering,4.907,0.0524,0.00931447118,0.00484909648
cornering,4.9069,0.0524,0.00891264241,0.00503411656
cornering,4.9068,0.0524,0.00851081365,0.00511913689
cornering,4.9067,0.0524,0.00820898475,0.00530415629
cornering,4.9067,0.0524,0.00800899128,0.00540421415
cornering,4.9067,0.0524,0.00770899564,0.00550425289
cornering,4.9067,0.0524,0.00750900214,0.00560431051
cornering,4.9067,0.0524,0.00730900624,0.00570434684
cornering,4.9067,0.0524,0.00710901033,0.00580438312
cornering,4.9067,0.0524,0.00700901432,0.00580441843
cornering,4.9068,0.0524,0.00681091041,0.00591999488
cornering,4.9068,0.0524,0.00671076143,0.00591867457
cornering,4.9068,0.0524,0.00661086077,0.00601955471
cornering,4.9068,0.0524,0.00651086255,0.00601957043
cornering,4.9068,0.0524,0.00641091547,0.00612003975
cornering,4.9068,0.0524,0.00641077539,0.00611879824
cornering,4.9069,0.0524,0.0063127047,0.00613466883
cornering,4.9069,0.0524,0.00621272811,0.00623487652
cornering,4.9069,0.0524,0.00621270833,0.006234701
cornering,4.9069,0.0524,0.00611262046,0.00623392245
cornering,4.9069,0.0524,0.00611271032,0.00623471864
cornering,4.9069,0.0524,0.0060127103,0.00623471852
cornering,4.9069,0.0524,0.0060127122,0.00633473531
cornering,4.9069,0.0524,0.00601271195,0.00633473308
cornering,4.9069,0.0524,0.0059125779,0.00633354475
cornering,4.9069,0.0524,0.00591276875,0.00633523691
cornering,4.9069,0.0524,0.00591271386,0.00633475004
cornering,4.9069,0.0524,0.00591271383,0.00633474977
cornering,4.9069,0.0524,0.00591271385,0.00633474999
cornering,4.9069,0.0524,0.00581271385,0.00633474999
cornering,4.907,0.0524,0.00581455416,0.00634983225
cornering,4.907,0.0524,0.00581455414,0.00634983214
cornering,4.9069,0.0524,0.00581271572,0.00633476652
cornering,4.9069,0.0524,0.00581271574,0.00633476673
cornering,4.907,0.0524,0.00581455414,0.00644983209
cornering,4.907,0.0524,0.00581455388,0.00634982984
cornering,4.907,0.0524,0.00581455414,0.00634983214
cornering,4.907,0.0524,0.00581455411,0.00634983188
cornering,4.907,0.0524,0.00581455414,0.00644983209
cornering,4.907,0.0524,0.00581455387,0.00644982968
cornering,4.907,0.0524,0.00581455388,0.00644982984
cornering,4.907,0.0524,0.0058145734,0.00645000304
cornering,4.907,0.0524,0.00581455387,0.00644982973
cornering,4.907,0.0524,0.00571453206,0.00644963613
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455576,0.00644984645
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571455572,0.00644984608
cornering,4.907,0.0524,0.00581455574,0.00644984629
cornering,4.907,0.0524,0.00571455387,0.00644982968
cornering,4.907,0.0524,0.0057145999,0.00645023794
cornering,4.907,0.0524,0.00571455576,0.00644984646
cornering,4.907,0.0524,0.0057145344,0.00644965696
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455576,0.00644984645
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571455572,0.00644984608
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455576,0.00644984645
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571455575,0.00644984634
cornering,4.907,0.0524,0.00571455571,0.00644984603
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455576,0.00644984645
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571455575,0.00644984634
cornering,4.907,0.0524,0.00571455571,0.00644984603
cornering,4.907,0.0524,0.0057145999,0.00645023794
cornering,4.907,0.0524,0.00571447551,0.00644913529
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571455575,0.00644984634
cornering,4.907,0.0524,0.00571455571,0.00644984603
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455576,0.00644984645
cornering,4.907,0.0524,0.00571457487,0.00645001602
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571455571,0.00644984607
cornering,4.907,0.0524,0.00571447547,0.006449135
cornering,4.907,0.0524,0.00571455576,0.00644984645
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571455575,0.00644984634
cornering,4.907,0.0524,0.00571455571,0.00644984603
cornering,4.907,0.0524,0.00571455574,0.00644984629
cornering,4.907,0.0524,0.00571455576,0.00644984645
cornering,4.907,0.0524,0.00571455574,0.00644984634
cornering,4.907,0.0524,0.00571457487,0.00645001602
cornering,4.907,0.0524,0.00571455575,0.00644984634
cornering,4.907,0.0524,0.00571453439,0.00644965683
cornering,4.907,0.0524,0.0057145999,0.00645023794
cornering,4.907,0.0524,0.00521447552,-0.0297508646
cornering,4.999,0.0524,0.00569043703,-0.029809451
cornering,5.0994,0.0524,0.00648215253,-0.0303545946
cornering,5.199,0.0524,0.007118667,-0.0314727284
cornering,5.302,0.0524,0.00786692177,-0.030854402
cornering,5.3963,0.0524,0.00832368279,-0.0320804165
cornering,5.4939,0.0524,0.00888483021,-0.0327917139
cornering,5.5907,0.0524,0.00937848685,-0.0335996957
cornering,5.6869,0.0524,0.00990305978,-0.0344834771
cornering,5.7824,0.0524,0.0102507984,-0.0354698414
cornering,5.8772,0.0524,0.0106816196,-0.0349111907
cornering,5.9601,0.0524,0.0107804517,-0.039824686
cornering,6.0686,0.0524,0.0110645633,-0.038543916
cornering,6.1577,0.0524,0.0111121141,-0.0410064301
cornering,6.2535,0.0524,0.0110826571,-0.0420039288
cornering,6.3451,0.0524,0.0108689878,-0.0429377973
cornering,6.4323,0.0524,0.0105808289,-0.0449175013
cornering,6.5225,0.0524,0.00991810957,-0.0462477296
cornering,6.6121,0.0524,0.00916586631,-0.0479591403
cornering,6.7046,0.0524,0.0075700547,-0.0472719683
cornering,6.7928,0.0524,0.00570477056,-0.0467979263
cornering,6.8805,0.0524,0.00327356424,-0.0441476046
cornering,6.9641,0.0524,0.000926955629,-0.0437878451
cornering,7.0505,0.0524,-0.00223829331,-0.0427388761
cornering,7.1398,0.0524,-0.00562992802,-0.0374481669
cornering,7.2215,0.0524,-0.00941621681,-0.0372395391
cornering,7.3095,0.0524,-0.0129455211,-0.032309085
cornering,7.3901,0.0524,-0.0171577827,-0.0325267654
cornering,7.4747,0.0524,-0.0204228331,-0.0313425715
cornering,7.5617,0.0524,-0.0217909517,-0.026857646
cornering,7.6388,0.0524,-0.02490421,-0.0257425399
cornering,7.7154,0.0524,-0.0268767147,-0.0251855023
cornering,7.7889,0.0524,-0.0251858117,-0.03029077
cornering,7.8622,0.0524,-0.0206221014,-0.032700228
cornering,7.9379,0.0524,-0.0160753488,-0.0346434962
cornering,8.0194,0.0524,-0.00978320056,-0.0331663187
cornering,8.0972,0.0524,-0.00289544965,-0.0360155442
cornering,8.1811,0.0524,0.00675956499,-0.0376137
cornering,8.2688,0.0524,0.0199894298,-0.0391136485
cornering,8.3606,0.0524,0.0374867086,-0.0391136422
cornering,8.4568,0.0524,0.0553364619,-0.0306136464
cornering,8.5551,0.0524,0.0605303984,-0.00641364624
cornering,8.649,0.0524,0.0554823841,0.00538634209
cornering,8.7335,0.0524,0.0518418955,0.0102863518
cornering,8.8061,0.0524,0.0485647528,0.0181863578
cornering,8.867,0.0524,0.0453282066,0.0294863536
cornering,8.9167,0.0524,0.0422876211,0.0379863538
cornering,8.957,0.0524,0.0410740118,0.0466058063
cornering,8.991,0.0524,0.0357183831,0.0478668876
cornering,9.0169,0.0524,0.0362100748,0.0558058059
cornering,9.0404,0.0524,0.0321124291,0.0542669055
cornering,9.0592,0.0524,0.0315065093,0.0587863538
cornering,9.0771,0.0524,0.0304707217,0.0578863536
cornering,9.0938,0.0524,0.0300185294,0.0556863403
cornering,9.1099,0.0524,0.0295258992,0.0532863578
cornering,9.1257,0.0524,0.0292404236,0.0508863536
cornering,9.1416,0.0524,0.028945261,0.0487863538
cornering,9.1578,0.0524,0.0287023525,0.0465863536
cornering,9.1744,0.0524,0.0285851468,0.0444863403
cornering,9.1915,0.0524,0.028412838,0.0423863578
cornering,9.2091,0.0524,0.0284845977,0.0403863536
cornering,9.2272,0.0524,0.0285223253,0.0385863538
cornering,9.2456,0.0524,0.0286746151,0.0369863536
cornering,9.2642,0.0524,0.0289868395,0.0352863403
cornering,9.2828,0.0524,0.029241087,0.0337863578
cornering,9.3015,0.0524,0.0296753968,0.0321863536
cornering,9.3201,0.0524,0.0300699672,0.0306863538
cornering,9.3385,0.0524,0.0304465929,0.0292863536
cornering,9.3567,0.0524,0.030924162,0.0278863403
cornering,9.3746,0.0524,0.0315084656,0.0264863578
cornering,9.3921,0.0524,0.0320898903,0.0251863536
cornering,9.4091,0.0524,0.0338236789,0.0249058063
cornering,9.4262,0.0524,0.0319951468,0.0218668896
cornering,9.4415,0.0524,0.0337377071,0.0216863713
cornering,9.4568,0.0524,0.0358291407,0.0213058059
cornering,9.4721,0.0524,0.0352590747,0.0194863324
cornering,9.4861,0.0524,0.0345345926,0.0177669075
cornering,9.4988,0.0524,0.0366339426,0.0175863421
cornering,9.5115,0.0524,0.0373014203,0.0166863713
cornering,9.5234,0.0524,0.038053821,0.0158863324
cornering,9.5347,0.0524,0.0389448173,0.0149863518
cornering,9.5452,0.0524,0.0411849466,0.0148058059
cornering,9.5555,0.0524,0.0388872616,0.0130668977
cornering,9.5644,0.0524,0.0413376023,0.0129863713
cornering,9.5729,0.0524,0.042065704,0.0121863324
cornering,9.5809,0.0524,0.0429275971,0.0117863518
cornering,9.5882,0.0524,0.04369913,0.0110863615
cornering,9.5949,0.0524,0.0463454844,0.0110058063
cornering,9.6013,0.0524,0.0436538051,0.00966690708
cornering,9.6067,0.0524,0.0479054726,0.0107058059
cornering,9.612,0.0524,0.0407783219,0.0246668977
cornering,9.6165,0.0524,0.0274997963,0.0731863421
cornering,9.6215,0.0524,-0.00273147987,0.166986342
cornering,9.6278,0.0524,-0.0547040979,0.292405806
cornering,9.6358,0.0524,-0.00334640056,0.00689066428
cornering,9.64,0.0524,-0.00549047797,-0.0624815131
cornering,9.639,0.0524,0.00245785564,-0.155845266
cornering,9.634,0.0524,-0.014246438,-0.139645359
cornering,9.6265,0.0524,-0.0416032916,-0.0578105921
cornering,9.6186,0.0524,-0.0564246464,-0.0214033893
cornering,9.6108,-0.0308,-0.0518690701,0.147898675
cornering,9.6132,-0.0524,-0.0236625616,0.170343148
cornering,9.6157,-0.0524,-0.0270314796,0.234749867
cornering,9.6131,-0.0524,0.0222643168,0.113647609
cornering,9.6081,-0.0524,0.0466839608,0.0431610146
cornering,9.6026,-0.0524,0.0563634944,0.0159363982
cornering,9.5974,-0.0524,0.0598070235,0.00553509384
cornering,9.5929,-0.0524,0.0635044362,0.0020908215
cornering,9.5887,-0.0524,0.0614551121,0.00136889017
cornering,9.5853,-0.0524,0.0613865658,0.00112287565
cornering,9.5823,-0.0524,0.0591985747,0.000697502941
cornering,9.5797,-0.0524,0.0615784037,0.000532007091
cornering,9.5773,-0.0524,0.0616647957,0.000186604676
cornering,9.5752,-0.0524,0.0618912847,-5.96591808e-05
cornering,9.5734,-0.0524,0.0641901499,-0.000136308138
cornering,9.5716,-0.0524,0.0593362927,-0.000241564599
cornering,9.5702,-0.0524,0.0619249309,-0.000401772711
cornering,9.5689,-0.0524,0.0618739094,-0.00064881371
cornering,9.5677,-0.0524,0.061879818,-0.000691578127
cornering,9.5666,-0.0524,0.0618790097,-0.000731781197
cornering,9.5656,-0.0524,0.0618895451,-0.000968903023
cornering,9.5648,-0.0524,0.0620485694,-0.00110442137
cornering,9.564,-0.0524,0.0618905088,-0.000848811013
cornering,9.5633,-0.0524,0.0619056042,-0.00117922307
cornering,9.5626,-0.0524,0.0618397734,-0.00120807667
cornering,9.5621,-0.0524,0.0620872249,-0.00123140988
cornering,9.5616,-0.0524,0.0618311955,-0.00116886375
cornering,9.5611,-0.0524,0.0619951585,-0.00128523588
