fixed_step,fixed_time_s,speed_mps,body_vx_mps,body_vy_mps,applied_steering_rad,applied_throttle_norm,recovered_front_force_n,recovered_rear_force_n,front_proxy_n,rear_proxy_n,front_load_n,rear_load_n,max_abs_forward_slip,max_abs_sideways_slip,front_forward_curve_demand,rear_forward_curve_demand,front_sideways_curve_demand,rear_sideways_curve_demand,front_combined_curve_demand,rear_combined_curve_demand,wheel0_load_n,wheel0_sideways_slip,wheel0_forward_slip,wheel0_sideways_curve,wheel0_forward_curve,wheel1_load_n,wheel1_sideways_slip,wheel1_forward_slip,wheel1_sideways_curve,wheel1_forward_curve,wheel2_load_n,wheel2_sideways_slip,wheel2_forward_slip,wheel2_sideways_curve,wheel2_forward_curve,wheel3_load_n,wheel3_sideways_slip,wheel3_forward_slip,wheel3_sideways_curve,wheel3_forward_curve
6522,6.52100039,5.936626344,-0.1388224426,0.04082993451,0.06283185,0.25,5.641400108,5.676361906,7.257064927,8.056026118,13.8755996,20.18475966,0.07380259,0.00550029147,0.2074364371,0.2207423561,0.5230091049,0.3991142948,0.5626441142,0.4560914471,3.274574,0.00550029147,0.07380259,0.550029147,0.354252432,10.6010256,0.00514662825,0.0337679423,0.514662825,0.162086123,6.36079836,0.00410446664,0.07298071,0.410446664,0.350307408,13.8239613,0.00393899949,0.0335678719,0.393899949,0.1611257851
6523,6.52200031,5.938100993,-0.1388586341,0.04109514176,0.06283185,0.25,5.646997002,5.677777244,7.259469255,8.044253318,13.87855526,20.1489653,0.07358561,0.005501261,0.2064133559,0.2196818699,0.5230709623,0.3992390278,0.5623252662,0.4556884081,3.27401066,0.005501261,0.07358561,0.5501261,0.353210928,10.6045446,0.00514718052,0.0335607454,0.514718052,0.1610915779,6.33779,0.00410608575,0.0727793947,0.410608575,0.3493410946,13.8111753,0.00394021673,0.0333714038,0.394021673,0.1601827382
6524,6.52300024,5.939564053,-0.1389024779,0.04137380804,0.06283185,0.25,5.652340965,5.677374083,7.279451947,8.057919429,13.9098637,20.1624317,0.0733740255,0.00550360931,0.2055006853,0.2187992985,0.523330214,0.3996501785,0.5622321981,0.4556241853,3.286896,0.00550360931,0.0733740255,0.550360931,0.3521953224,10.6229677,0.00514966529,0.03335652,0.514966529,0.160111296,6.3461504,0.00411027437,0.07258864,0.411027437,0.348425472,13.8162813,0.0039442433,0.033178933,0.39442433,0.1592588784
6525,6.524,5.941007324,-0.1389371112,0.04163749876,0.06283185,0.25,5.657879375,5.679445253,7.269661645,8.042946676,13.89197754,20.1221105,0.07315875,0.00550340954,0.2043909659,0.2177339195,0.5232992656,0.3997069132,0.5617987081,0.4551633511,3.27443814,0.00550340954,0.07315875,0.550340954,0.351162,10.6175394,0.00514959637,0.033151444,0.514959637,0.1591269312,6.320161,0.004111068,0.07238787,0.4111068,0.347461776,13.8019495,0.003944867,0.03298525,0.3944867,0.1583292
6526,6.525,5.942439001,-0.1389729329,0.04191177126,0.06283185,0.25,5.663063767,5.679376181,7.290906317,8.04908248,13.92627221,20.12205414,0.07295653,0.00550585147,0.2035632708,0.2168424961,0.5235361055,0.4000129621,0.5617188434,0.4550066351,3.29183221,0.00550585147,0.07295653,0.550585147,0.350191344,10.63444,0.00515163224,0.0329532,0.515163224,0.15817536,6.32104874,0.004114466,0.07220165,0.4114466,0.34656792,13.8010054,0.003947762,0.0327971838,0.3947762,0.1574264822
6527,6.5260005,5.943857715,-0.139017994,0.04219616026,0.06283185,0.25,5.668297365,5.679155423,7.307582386,8.05849434,13.95326014,20.1294759,0.07274571,0.005507565,0.202640798,0.2159037374,0.5237186372,0.400333043,0.5615554327,0.4548416967,3.30182624,0.005507565,0.07274571,0.5507565,0.349179408,10.6514339,0.005153372,0.03275322,0.5153372,0.157215456,6.320433,0.004117589,0.0720088258,0.4117589,0.3456423638,13.8090429,0.003951034,0.03260876,0.3951034,0.156522048
6528,6.52700043,5.945256588,-0.1390458441,0.04245909513,0.06283185,0.25,5.673929557,5.681551327,7.291347823,8.037813124,13.92501761,20.07713,0.0725359842,0.00550701469,0.2015303681,0.2148841169,0.5236149804,0.4003467191,0.5610589425,0.4543706408,3.28496861,0.00550701469,0.0725359842,0.550701469,0.3481727242,10.640049,0.005152524,0.03255345,0.5152524,0.15625656,6.292937,0.00411816034,0.07181516,0.411816034,0.344712768,13.784193,0.003951106,0.03241939,0.3951106,0.155613072
6529,6.52800035,5.946644395,-0.1390860174,0.04273644917,0.06283185,0.25,5.678884398,5.681173528,7.315666857,8.052680915,13.96090769,20.0903756,0.0723419,0.00551078236,0.2007348178,0.2140314978,0.5240108322,0.4008228156,0.5611433145,0.4543879527,3.30242229,0.00551078236,0.0723419,0.551078236,0.34724112,10.6584854,0.00515624275,0.03236278,0.515624275,0.155341344,6.298247,0.004123087,0.0716362149,0.4123087,0.3438538315,13.7921286,0.00395577727,0.0322390534,0.395577727,0.1547474563
6530,6.52900028,5.948018477,-0.1391248164,0.0430164734,0.06283185,0.25,5.684128467,5.681513773,7.325482303,8.051648152,13.97749378,20.07979246,0.07213808,0.00551182963,0.1998356414,0.2130964281,0.5240912583,0.4009826381,0.5608974332,0.4540893785,3.30949378,0.00551182963,0.07213808,0.551182963,0.346262784,10.668,0.005156867,0.03216877,0.5156867,0.154410096,6.29016066,0.00412486633,0.07144765,0.412486633,0.34294872,13.7896318,0.00395735074,0.0320550241,0.395735074,0.1538641157
6531,6.53,5.949379433,-0.1391635665,0.04329976911,0.06283185,0.25,5.68928761,5.681828951,7.334507823,8.052988546,13.9926728,20.0736418,0.07193647,0.00551225664,0.1989319882,0.2121895556,0.5241677504,0.4011722749,0.5606476313,0.4538321294,3.315112,0.00551225664,0.07193647,0.551225664,0.345295056,10.6775608,0.00515766954,0.0319770761,0.515766954,0.1534899653,6.2850256,0.004126582,0.07126298,0.4126582,0.342062304,13.7886162,0.00395936845,0.0318733156,0.395936845,0.1529919149
