fixed_step,fixed_time_s,speed_mps,body_vx_mps,body_vy_mps,applied_steering_rad,applied_throttle_norm,recovered_front_force_n,recovered_rear_force_n,front_proxy_n,rear_proxy_n,front_load_n,rear_load_n,max_abs_forward_slip,max_abs_sideways_slip,front_forward_curve_demand,rear_forward_curve_demand,front_sideways_curve_demand,rear_sideways_curve_demand,front_combined_curve_demand,rear_combined_curve_demand,runtime_body_yaw_inertia_kgm2,wheel0_load_n,wheel0_sideways_slip,wheel0_forward_slip,wheel0_sideways_curve,wheel0_forward_curve,wheel0_omega_radps,wheel0_domega_radps2,wheel0_effective_inertia_kgm2,wheel0_forward_force_from_torque_n,wheel0_motor_torque_nm,wheel0_brake_torque_nm,wheel0_steer_angle_deg,wheel0_sprung_mass_kg,wheel0_world_pose_y_m,wheel1_load_n,wheel1_sideways_slip,wheel1_forward_slip,wheel1_sideways_curve,wheel1_forward_curve,wheel1_omega_radps,wheel1_domega_radps2,wheel1_effective_inertia_kgm2,wheel1_forward_force_from_torque_n,wheel1_motor_torque_nm,wheel1_brake_torque_nm,wheel1_steer_angle_deg,wheel1_sprung_mass_kg,wheel1_world_pose_y_m,wheel2_load_n,wheel2_sideways_slip,wheel2_forward_slip,wheel2_sideways_curve,wheel2_forward_curve,wheel2_omega_radps,wheel2_domega_radps2,wheel2_effective_inertia_kgm2,wheel2_forward_force_from_torque_n,wheel2_motor_torque_nm,wheel2_brake_torque_nm,wheel2_steer_angle_deg,wheel2_sprung_mass_kg,wheel2_world_pose_y_m,wheel3_load_n,wheel3_sideways_slip,wheel3_forward_slip,wheel3_sideways_curve,wheel3_forward_curve,wheel3_omega_radps,wheel3_domega_radps2,wheel3_effective_inertia_kgm2,wheel3_forward_force_from_torque_n,wheel3_motor_torque_nm,wheel3_brake_torque_nm,wheel3_steer_angle_deg,wheel3_sprung_mass_kg,wheel3_world_pose_y_m
6535,6.5340004,5.808991474,-0.2060966382,0.04068434719,0.104719758,0.25,7.675671779,9.003407108,13.42948104,13.29949181,13.8046016,20.29582788,0.104873277,0.0165385921,0.2227989751,0.2638192438,0.9728264119,0.6552820553,0.9980133321,0.7063958985,0.09584946,1.20228,0.0165385921,0.104393266,0.9636744883,0.5010876768,106.6480008,0.07296982011,0.000366,1.491069325,26.75,0,-6.23696661,0.817194164,0.05882167,12.6023216,0.0147340866,0.04088538,0.9736995189,0.196249824,106.2706097,3.776629066,0.000366,3.067209117,26.75,0,-5.780321,0.816020966,0.0587982424,4.34034348,0.006891054,0.104873277,0.6891054,0.5033917296,106.2341651,1.868763664,0.000366,3.23347049,26.75,0,0,0.9189901,0.05883274,15.9554844,0.00646081148,0.0413851552,0.646081148,0.198648745,106.0367034,5.988973449,0.000366,4.044613192,26.75,0,0,0.9177948,0.05880889
6536,6.53500032,5.81069226,-0.20614292,0.04085573814,0.104719758,0.25,7.68769113,9.00560908,13.39014398,13.24689656,13.76392559,20.2278099,0.104620181,0.0165393613,0.2210302494,0.2622974539,0.9728433864,0.6548853597,0.9976365197,0.7054606925,0.09585174,1.17239189,0.0165393613,0.104125835,0.963670215,0.499804008,106.6494899,0.07653568895,0.000366,1.484737396,26.75,0,-6.23696661,0.817193747,0.0588208735,12.5915337,0.0147344507,0.0406403653,0.9736974961,0.1950737534,106.2748435,3.754383557,0.000366,3.0494072,26.75,0,-5.780321,0.816027462,0.05879757,4.298912,0.00688763661,0.104620181,0.688763661,0.5021768688,106.2374051,1.861837855,0.000366,3.219784516,26.75,0,0,0.9189836,0.0588320568,15.9288979,0.00645742239,0.0411580168,0.645742239,0.1975584806,106.0431332,5.934566843,0.000366,4.017705812,26.75,0,0,0.9177951,0.05880827
6537,6.53600025,5.812386546,-0.206215431,0.04105539205,0.104719758,0.25,7.696909192,9.001447811,13.45403967,13.28237511,13.83050393,20.26397421,0.104393221,0.0165473633,0.2205664556,0.261365966,0.9727801487,0.6554674306,0.9974721946,0.7056555256,0.09585241,1.20804393,0.0165473633,0.1038845,0.9636257594,0.4986456,106.6482825,0.08006210672,0.000366,1.489831701,26.75,0,-6.23696661,0.8171956,0.05882051,12.62246,0.01474187,0.0404068,0.9736562778,0.19395264,106.2781641,3.732235578,0.000366,3.035473985,26.75,0,-5.780321,0.8160127,0.05879716,4.31403351,0.00689418241,0.104393221,0.689418241,0.5010874608,106.2383706,1.854862836,0.000366,3.215736615,26.75,0,0,0.918998361,0.0588316768,15.9499407,0.00646284642,0.04094327,0.646284642,0.196527696,106.0484059,5.880727667,0.000366,3.995698103,26.75,0,0,0.9177933,0.0588079356
6538,6.537,5.814062774,-0.2062777078,0.04124720926,0.104719758,0.25,7.70802721,9.001301434,13.44349695,13.26217516,13.8195734,20.23932936,0.104146764,0.0165486373,0.2190908371,0.2601080519,0.9727866815,0.6552675203,0.9971533095,0.7050047672,0.09585212,1.1931591,0.0165486373,0.103620768,0.9636186817,0.4973796864,106.6488511,0.08358471845,0.000366,1.487400408,26.75,0,-6.23696661,0.8171949,0.0588199459,12.6264143,0.0147424545,0.0401652828,0.9736530306,0.1927933574,106.2819351,3.710043744,0.000366,3.019633013,26.75,0,-5.780321,0.816019237,0.0587966964,4.29813766,0.006891986,0.104146764,0.6891986,0.4999044672,106.2401216,1.847585858,0.000366,3.208362628,26.75,0,0,0.9189918,0.0588312522,15.9411917,0.00646118866,0.0407193825,0.646118866,0.195453036,106.0541843,5.827254017,0.000366,3.971544923,26.75,0,0,0.917794,0.0588075258
6539,6.538,5.815721537,-0.206330543,0.04143032293,0.104719758,0.25,7.719030298,9.001423944,13.43855277,13.24213073,13.81472155,20.20544533,0.103911527,0.0165524073,0.217906024,0.258828299,0.9727704407,0.6553743566,0.9968778087,0.7046329794,0.09585044,1.19014025,0.0165524073,0.103375174,0.9635977372,0.4962008352,106.6494899,0.08690446339,0.000366,1.484673074,26.75,0,-6.23696661,0.8171939,0.05881931,12.6245813,0.01474567,0.0399313979,0.9736351667,0.1916707099,106.2859752,3.687772214,0.000366,3.002652154,26.75,0,-5.780321,0.8160253,0.05879609,4.27602863,0.006893971,0.103911527,0.6893971,0.4987753296,106.2427102,1.840163715,0.000366,3.19743972,26.75,0,0,0.918985665,0.0588307,15.9294167,0.00646241428,0.0405037254,0.646241428,0.1944178819,106.0601408,5.774151761,0.000366,3.946635101,26.75,0,0,0.917795062,0.0588070638
6540,6.53900051,5.81736796,-0.2063915959,0.04162028453,0.104719758,0.25,7.72891025,8.999847187,13.46956085,13.2437836,13.84712446,20.1968075,0.103685006,0.0165583771,0.2170036811,0.2577374951,0.9727334283,0.6557364869,0.9966448315,0.7045700509,0.0958475247,1.20203626,0.0165583771,0.103132881,0.9635645717,0.4950378288,106.649292,0.09039799308,0.000366,1.485490048,26.75,0,-6.23696661,0.817196846,0.05881886,12.6450882,0.0147510972,0.0397028923,0.9736050156,0.190573883,106.2894844,3.665633897,0.000366,2.987920169,26.75,0,-5.780321,0.8160098,0.0587956943,4.27027,0.00689773541,0.103685006,0.689773541,0.4976880288,106.2446475,1.832678174,0.000366,3.189277192,26.75,0,0,0.9190011,0.05883025,15.9265375,0.00646610372,0.0402919278,0.646610372,0.1934012534,106.0658679,5.721584607,0.000366,3.922693723,26.75,0,0,0.917792,0.05880666
6541,6.54000044,5.818998702,-0.2064478935,0.04180900362,0.104719758,0.25,7.739384169,8.999203628,13.46748684,13.24088667,13.84515605,20.1883223,0.103454553,0.0165614188,0.2157886219,0.2565985935,0.9727219245,0.6558685993,0.9963697465,0.7042772591,0.0958475247,1.19763315,0.0165614188,0.102884963,0.9635476733,0.4938478224,106.6496753,0.09306545356,0.000366,1.483849457,26.75,0,-6.23696661,0.817196846,0.0588182732,12.6475229,0.0147536807,0.0394704863,0.9735906628,0.1894583342,106.2933003,3.643200598,0.000366,2.971889891,26.75,0,-5.780321,0.8160098,0.05879517,4.26176,0.006899127,0.103454553,0.6899127,0.4965818544,106.2464236,1.824257446,0.000366,3.181803806,26.75,0,0,0.9190011,0.0588297658,15.9265623,0.006467588,0.0400795639,0.6467588,0.1923819067,106.0714159,5.669112531,0.000366,3.89951053,26.75,0,0,0.917792,0.0588062368
6542,6.54100037,5.820615859,-0.2065037477,0.04199974307,0.104719758,0.25,7.749599775,8.998054777,13.48562303,13.23507613,13.8641752,20.17373321,0.103226051,0.0165662672,0.2147941818,0.2554625303,0.9726956589,0.6560548803,0.9961292012,0.7040377194,0.09583829,1.2036432,0.0165662672,0.102644995,0.9635207378,0.492695976,106.6497077,0.09602341735,0.000366,1.483693552,26.75,0,-6.23696661,0.8171939,0.05881759,12.660532,0.0147577738,0.0392445661,0.9735679233,0.1883739173,106.2968922,3.620896535,0.000366,2.956808389,26.75,0,-5.780321,0.8160213,0.05879455,4.25160551,0.006901657,0.103226051,0.6901657,0.4954850448,106.2482646,1.815991874,0.000366,3.174054346,26.75,0,0,0.9189897,0.0588291436,15.9221277,0.0064694644,0.03986886,0.64694644,0.191370528,106.0769828,5.617201052,0.000366,3.876243989,26.75,0,0,0.917794943,0.0588056371
6543,6.54200029,5.822225167,-0.2065784841,0.04221292528,0.104719758,0.25,7.75902302,8.994408739,13.53132318,13.26072687,13.9116979,20.20380545,0.102999754,0.016571,0.2141020947,0.2545287572,0.972657923,0.6563479788,0.9959433428,0.7039726966,0.09583202,1.2260679,0.016571,0.102403872,0.9634944444,0.4915385856,106.6486532,0.09926355262,0.000366,1.488141791,26.75,0,-6.23696661,0.817193747,0.05881732,12.68563,0.0147621566,0.0390182957,0.9735435744,0.1872878194,106.3000946,3.598791386,0.000366,2.943376321,26.75,0,-5.780321,0.8160219,0.0587942377,4.26370955,0.006904991,0.102999754,0.6904991,0.4943988192,106.2487442,1.808141807,0.000366,3.17207077,26.75,0,0,0.9189889,0.0588289462,15.9400959,0.00647213124,0.0396599,0.647213124,0.19036752,106.0818921,5.56598159,0.000366,3.855759765,26.75,0,0,0.9177953,0.0588054135
6544,6.543,5.823811289,-0.2066277625,0.04240100224,0.104719758,0.25,7.77017754,8.996648384,13.49809762,13.21125949,13.8772532,20.1400824,0.1027627,0.0165712181,0.2125089093,0.2530808551,0.9726779085,0.6559684924,0.9956215899,0.7030964246,0.0958246,1.200895,0.0165712181,0.102154449,0.9634932328,0.4903413552,106.6498868,0.102020333,0.000366,1.482897577,26.75,0,-6.23696661,0.817195952,0.0588167273,12.6763582,0.0147613566,0.03878926,0.9735480189,0.186188448,106.3040697,3.576478173,0.000366,2.926670832,26.75,0,-5.780321,0.8160101,0.0587937348,4.2237854,0.00690183835,0.1027627,0.690183835,0.49326096,106.2517737,1.799564421,0.000366,3.159286935,26.75,0,0,0.919001,0.05882843,15.916297,0.006468886,0.0394464768,0.6468886,0.1893430886,106.0877658,5.514891814,0.000366,3.831188004,26.75,0,0,0.917792857,0.0588049926
