event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
1,53869884907659,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,53869885079412,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
12,53869910095092,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
13,53869910308433,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
23,53869935140638,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
24,53869935366603,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
34,53869960530090,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
35,53869960731699,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
45,53869984910957,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
46,53869985137383,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
56,53870010307523,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
57,53870010511166,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
67,53870035794108,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
68,53870035984686,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
78,53870060661199,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
79,53870060874329,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
89,53870085305571,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
90,53870085483525,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
100,53870110516718,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
101,53870110696636,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
111,53870135626956,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
112,53870135809078,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
122,53870161844624,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
123,53870162059779,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
133,53870186026978,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
134,53870186244287,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
144,53870210422843,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
145,53870210620244,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
155,53870235449815,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
156,53870235626226,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
166,53870260370666,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
167,53870260569159,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
177,53870285717128,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
178,53870285913527,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
188,53870310366129,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
189,53870310608464,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
199,53870336585791,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
200,53870336752745,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
210,53870360095651,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
211,53870360269899,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
221,53870385461820,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
222,53870385675401,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
232,53870411664250,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
233,53870411846392,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
243,53870435827889,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
244,53870436084251,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
254,53870460494673,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
255,53870460660916,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
265,53870485061359,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
266,53870485301741,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
276,53870510475488,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
277,53870510677768,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
287,53870535697876,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
288,53870535879628,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
298,53870560363609,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
299,53870560606726,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
309,53870584884008,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
310,53870585100635,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
320,53870610730429,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
321,53870610939642,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
331,53870637475339,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
332,53870637724297,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
342,53870660825810,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
343,53870661069939,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
353,53870685595307,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
354,53870685826311,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
364,53870713374060,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
365,53870713586729,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
375,53870735413717,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
376,53870735579869,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
386,53870760167164,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
387,53870760330040,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
397,53870785119004,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
398,53870785285537,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
408,53870810503548,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
409,53870810693775,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
