event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
5,53869888542901,/autodrive/roboracer_1/left_encoder,JointState,1789590125304456370,,"{""position"":[0.0],""velocity"":[]}"
6,53869888729030,/autodrive/roboracer_1/right_encoder,JointState,1789590125304456370,,"{""position"":[0.0],""velocity"":[]}"
16,53869911787011,/autodrive/roboracer_1/left_encoder,JointState,1789590125329456370,,"{""position"":[0.0],""velocity"":[]}"
17,53869911980054,/autodrive/roboracer_1/right_encoder,JointState,1789590125329456370,,"{""position"":[0.0],""velocity"":[]}"
27,53869936763257,/autodrive/roboracer_1/left_encoder,JointState,1789590125354456370,,"{""position"":[0.0],""velocity"":[]}"
28,53869936931032,/autodrive/roboracer_1/right_encoder,JointState,1789590125354456370,,"{""position"":[0.0],""velocity"":[]}"
38,53869962149443,/autodrive/roboracer_1/left_encoder,JointState,1789590125379456370,,"{""position"":[0.0],""velocity"":[]}"
39,53869962376450,/autodrive/roboracer_1/right_encoder,JointState,1789590125379456370,,"{""position"":[0.0],""velocity"":[]}"
49,53869986622824,/autodrive/roboracer_1/left_encoder,JointState,1789590125404456382,,"{""position"":[0.0],""velocity"":[]}"
50,53869986795158,/autodrive/roboracer_1/right_encoder,JointState,1789590125404456382,,"{""position"":[0.0],""velocity"":[]}"
60,53870012213595,/autodrive/roboracer_1/left_encoder,JointState,1789590125428456386,,"{""position"":[0.0],""velocity"":[]}"
61,53870012492729,/autodrive/roboracer_1/right_encoder,JointState,1789590125428456386,,"{""position"":[0.0],""velocity"":[]}"
71,53870037558764,/autodrive/roboracer_1/left_encoder,JointState,1789590125454456379,,"{""position"":[0.0],""velocity"":[]}"
72,53870037760804,/autodrive/roboracer_1/right_encoder,JointState,1789590125454456379,,"{""position"":[0.0],""velocity"":[]}"
82,53870062517156,/autodrive/roboracer_1/left_encoder,JointState,1789590125479456370,,"{""position"":[0.0],""velocity"":[]}"
83,53870062726490,/autodrive/roboracer_1/right_encoder,JointState,1789590125479456370,,"{""position"":[0.0],""velocity"":[]}"
93,53870086919544,/autodrive/roboracer_1/left_encoder,JointState,1789590125505456393,,"{""position"":[0.0],""velocity"":[]}"
94,53870087175234,/autodrive/roboracer_1/right_encoder,JointState,1789590125505456393,,"{""position"":[0.0],""velocity"":[]}"
104,53870112169023,/autodrive/roboracer_1/left_encoder,JointState,1789590125529456370,,"{""position"":[0.0],""velocity"":[]}"
105,53870112380280,/autodrive/roboracer_1/right_encoder,JointState,1789590125529456370,,"{""position"":[0.0],""velocity"":[]}"
115,53870137323153,/autodrive/roboracer_1/left_encoder,JointState,1789590125554456388,,"{""position"":[0.0],""velocity"":[]}"
116,53870137543768,/autodrive/roboracer_1/right_encoder,JointState,1789590125554456388,,"{""position"":[0.0],""velocity"":[]}"
126,53870163494615,/autodrive/roboracer_1/left_encoder,JointState,1789590125579456394,,"{""position"":[0.0],""velocity"":[]}"
127,53870163700221,/autodrive/roboracer_1/right_encoder,JointState,1789590125579456394,,"{""position"":[0.0],""velocity"":[]}"
137,53870187850946,/autodrive/roboracer_1/left_encoder,JointState,1789590125604456400,,"{""position"":[0.0],""velocity"":[]}"
138,53870188082792,/autodrive/roboracer_1/right_encoder,JointState,1789590125604456400,,"{""position"":[0.0],""velocity"":[]}"
148,53870212281797,/autodrive/roboracer_1/left_encoder,JointState,1789590125629456370,,"{""position"":[0.0],""velocity"":[]}"
149,53870212568255,/autodrive/roboracer_1/right_encoder,JointState,1789590125629456370,,"{""position"":[0.0],""velocity"":[]}"
159,53870237096840,/autodrive/roboracer_1/left_encoder,JointState,1789590125653456395,,"{""position"":[0.0],""velocity"":[]}"
