event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,48973310605357,/amcl_particle_count,Int32,,,"{""value"":2500}"
1,48992123898828,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,48992124069482,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
3,48992126430509,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.086,"{""applied_command_sequence"":4,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":48992123518395,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":1,""request_monotonic_ns"":48992091772086,""request_sequence"":5,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":79,""simulation_physics_step"":87,""simulation_render_frame"":79,""simulation_time_s"":0.086,""simulator_angular_velocity_x"":0.0,""simulator_angular_velocity_y"":0.1077,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0369,""simulator_linear_acceleration_y"":-0.0021,""simulator_linear_acceleration_z"":0.1046,""simulator_linear_velocity_x"":0.0076,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0199,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0097,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0034,""simulator_orientation_quaternion_y"":0.0034,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8,""simulator_position_y"":3.1595,""simulator_position_z"":0.0596,""telemetry_sequence"":5}"
4,48992127323897,/autodrive/roboracer_1/imu,Imu,1789585247541155201,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.1077,""ax_mps2"":-0.0369,""ay_mps2"":-0.0021,""az_mps2"":0.1046,""orientation_w"":0.7071,""orientation_x"":0.0034,""orientation_y"":0.0034,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
5,48992127620220,/autodrive/roboracer_1/left_encoder,JointState,1789585247541155201,,"{""position"":[0.0],""velocity"":[]}"
6,48992127779062,/autodrive/roboracer_1/right_encoder,JointState,1789585247541155201,,"{""position"":[0.0],""velocity"":[]}"
7,48992128600142,/odom,Odometry,1789585247541155201,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
8,48992129017656,/ekf_odom,Odometry,1789585247541155201,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
9,48992129322956,/cmd/speed,AckermannDriveStamped,1789585247576853641,,"{""acceleration_mps2"":0.0,""speed_mps"":0.0,""steering_angle_rad"":0.0}"
