simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,throttle_k_norm,steering_k_rad,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.0,0.024,1.0,25.0,24.0,0.024,0.0,0.0,-1.5707963267948968,0.0,0.0,0.0,2.0,0.0,0.0,-0.0003,-0.1036,-1.572967242038047,-0.0078,0.0236,-0.0018
0.024,0.052,25.0,53.0,28.0,0.027999999999999997,-0.0003,-0.1036,-1.572967242038047,-0.0078,0.0236,-0.0018,3.0,0.0,0.0,-0.0644,-0.163,-1.680179551026889,-0.0958,-0.0154,-5.813
0.052,0.07700001,53.0,78.0,25.0,0.025000009999999996,-0.0644,-0.163,-1.680179551026889,-0.0958,-0.0154,-5.813,4.0,0.0,0.0,-0.1698,-0.1463,-1.8398898623986295,-0.1773,-0.09,-6.8116
0.07700001,0.102000006,78.0,103.0,25.0,0.02499999600000001,-0.1698,-0.1463,-1.8398898623986295,-0.1773,-0.09,-6.8116,5.0,0.0,0.0,-0.273,-0.1029,-1.9942858579882,-0.181,-0.1973,-6.8774
0.102000006,0.126,103.0,127.0,24.0,0.023999993999999997,-0.273,-0.1029,-1.9942858579882,-0.181,-0.1973,-6.8774,6.0,0.0,0.0,-0.3598,-0.0467,-2.1350376115068705,-0.1277,-0.295,-6.8754
0.126,0.15200001,127.0,153.0,26.0,0.02600000999999999,-0.3598,-0.0467,-2.1350376115068705,-0.1277,-0.295,-6.8754,7.0,0.0,0.0,-0.4451,0.0318,-2.2857433860221383,-0.0569,-0.3846,-6.8928
0.15200001,0.177,153.0,178.0,25.0,0.02499999,-0.4451,0.0318,-2.2857433860221383,-0.0569,-0.3846,-6.8928,8.0,0.0,0.0,-0.4868,0.1067,-2.3795764168092246,-0.0001,-0.4358,0.3066
0.177,0.202,178.0,203.0,25.0,0.025000000000000022,-0.4868,0.1067,-2.3795764168092246,-0.0001,-0.4358,0.3066,9.0,0.0,0.0,-0.479,0.1298,-2.3914886005038736,0.026,-0.4296,-6.968
0.202,0.227000013,203.0,228.0,25.0,0.025000012999999988,-0.479,0.1298,-2.3914886005038736,0.026,-0.4296,-6.968,10.0,0.0,0.0,-0.482,0.1463,-2.3859332966468743,0.0115,-0.4297,6.8373
0.227000013,0.252,228.0,253.0,25.0,0.024999987,-0.482,0.1463,-2.3859332966468743,0.0115,-0.4297,6.8373,11.0,0.0,0.0,-0.4727,0.1643,-2.3946371638690125,0.0104,-0.4253,-6.9532
