event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
15,62733418798208,/autodrive/roboracer_1/imu,Imu,1789105464225271558,,"{""angular_velocity_x_radps"":-0.5275,""angular_velocity_y_radps"":-0.3979,""ax_mps2"":-0.9472,""ay_mps2"":-0.6671,""az_mps2"":-1.5994,""orientation_w"":0.3627,""orientation_x"":-0.0482,""orientation_y"":-0.0197,""orientation_z"":-0.9304,""yaw_rate_radps"":-6.9687}"
24,62733441659949,/autodrive/roboracer_1/imu,Imu,1789105464244987556,,"{""angular_velocity_x_radps"":-0.5227,""angular_velocity_y_radps"":-0.3912,""ax_mps2"":-0.867,""ay_mps2"":-0.6855,""az_mps2"":-1.6991,""orientation_w"":0.3627,""orientation_x"":-0.0476,""orientation_y"":-0.0195,""orientation_z"":-0.9305,""yaw_rate_radps"":-6.9695}"
34,62733468434565,/autodrive/roboracer_1/imu,Imu,1789105464270086824,,"{""angular_velocity_x_radps"":0.5408,""angular_velocity_y_radps"":0.6217,""ax_mps2"":-1.6003,""ay_mps2"":1.1651,""az_mps2"":-1.0849,""orientation_w"":0.3659,""orientation_x"":-0.0459,""orientation_y"":-0.0191,""orientation_z"":-0.9293,""yaw_rate_radps"":6.9513}"
44,62733496169186,/autodrive/roboracer_1/imu,Imu,1789105464294730063,,"{""angular_velocity_x_radps"":0.4678,""angular_velocity_y_radps"":0.5944,""ax_mps2"":0.2669,""ay_mps2"":-4.8378,""az_mps2"":-0.8091,""orientation_w"":0.3658,""orientation_x"":-0.0445,""orientation_y"":-0.0185,""orientation_z"":-0.9294,""yaw_rate_radps"":6.959}"
57,62733523028952,/autodrive/roboracer_1/imu,Imu,1789105464320203684,,"{""angular_velocity_x_radps"":-0.521,""angular_velocity_y_radps"":-0.6377,""ax_mps2"":1.6413,""ay_mps2"":-2.5005,""az_mps2"":2.6242,""orientation_w"":0.3626,""orientation_x"":-0.0469,""orientation_y"":-0.0193,""orientation_z"":-0.9305,""yaw_rate_radps"":-6.9514}"
65,62733552931948,/autodrive/roboracer_1/imu,Imu,1789105464344928758,,"{""angular_velocity_x_radps"":0.5363,""angular_velocity_y_radps"":0.5665,""ax_mps2"":0.7388,""ay_mps2"":0.2876,""az_mps2"":-2.3448,""orientation_w"":0.3659,""orientation_x"":-0.0473,""orientation_y"":-0.0195,""orientation_z"":-0.9292,""yaw_rate_radps"":6.9564}"
76,62733584317311,/autodrive/roboracer_1/imu,Imu,1789105464370076155,,"{""angular_velocity_x_radps"":0.5289,""angular_velocity_y_radps"":0.5714,""ax_mps2"":-0.3743,""ay_mps2"":1.1812,""az_mps2"":-1.3544,""orientation_w"":0.3659,""orientation_x"":-0.0462,""orientation_y"":-0.0192,""orientation_z"":-0.9293,""yaw_rate_radps"":6.9566}"
84,62733590907367,/autodrive/roboracer_1/imu,Imu,1789105464394905776,,"{""angular_velocity_x_radps"":-0.4914,""angular_velocity_y_radps"":-0.4248,""ax_mps2"":1.4682,""ay_mps2"":5.2804,""az_mps2"":-1.6456,""orientation_w"":0.3626,""orientation_x"":-0.0455,""orientation_y"":-0.0189,""orientation_z"":-0.9306,""yaw_rate_radps"":-6.9698}"
95,62733615427275,/autodrive/roboracer_1/imu,Imu,1789105464419967502,,"{""angular_velocity_x_radps"":0.4887,""angular_velocity_y_radps"":0.4591,""ax_mps2"":1.6385,""ay_mps2"":-0.5757,""az_mps2"":0.1449,""orientation_w"":0.3658,""orientation_x"":-0.0448,""orientation_y"":-0.0186,""orientation_z"":-0.9294,""yaw_rate_radps"":6.9678}"
106,62733640577839,/autodrive/roboracer_1/imu,Imu,1789105464445399254,,"{""angular_velocity_x_radps"":-0.5154,""angular_velocity_y_radps"":-0.656,""ax_mps2"":1.5571,""ay_mps2"":-3.0106,""az_mps2"":5.2485,""orientation_w"":0.3626,""orientation_x"":-0.0466,""orientation_y"":-0.0192,""orientation_z"":-0.9306,""yaw_rate_radps"":-6.9501}"
119,62733683453619,/autodrive/roboracer_1/imu,Imu,1789105464469887273,,"{""angular_velocity_x_radps"":0.5292,""angular_velocity_y_radps"":0.5399,""ax_mps2"":1.0636,""ay_mps2"":0.1506,""az_mps2"":-2.368,""orientation_w"":0.3659,""orientation_x"":-0.0472,""orientation_y"":-0.0195,""orientation_z"":-0.9292,""yaw_rate_radps"":6.9591}"
126,62733706465733,/autodrive/roboracer_1/imu,Imu,1789105464495173201,,"{""angular_velocity_x_radps"":-0.5156,""angular_velocity_y_radps"":-0.4469,""ax_mps2"":1.2133,""ay_mps2"":-0.1998,""az_mps2"":-2.4464,""orientation_w"":0.3626,""orientation_x"":-0.0469,""orientation_y"":-0.0194,""orientation_z"":-0.9305,""yaw_rate_radps"":-6.9667}"
137,62733731061975,/autodrive/roboracer_1/imu,Imu,1789105464520562332,,"{""angular_velocity_x_radps"":0.5199,""angular_velocity_y_radps"":0.5423,""ax_mps2"":-0.3528,""ay_mps2"":0.9291,""az_mps2"":-1.1708,""orientation_w"":0.3659,""orientation_x"":-0.0461,""orientation_y"":-0.0192,""orientation_z"":-0.9293,""yaw_rate_radps"":6.9596}"
147,62733755140984,/autodrive/roboracer_1/imu,Imu,1789105464545048407,,"{""angular_velocity_x_radps"":-0.4942,""angular_velocity_y_radps"":-0.443,""ax_mps2"":1.4054,""ay_mps2"":5.2664,""az_mps2"":-1.7544,""orientation_w"":0.3626,""orientation_x"":-0.0458,""orientation_y"":-0.019,""orientation_z"":-0.9306,""yaw_rate_radps"":-6.9685}"
156,62733780516601,/autodrive/roboracer_1/imu,Imu,1789105464569675917,,"{""angular_velocity_x_radps"":0.4856,""angular_velocity_y_radps"":0.5261,""ax_mps2"":1.1251,""ay_mps2"":-4.48,""az_mps2"":-0.6092,""orientation_w"":0.3658,""orientation_x"":-0.045,""orientation_y"":-0.0187,""orientation_z"":-0.9294,""yaw_rate_radps"":6.9633}"
170,62733805690308,/autodrive/roboracer_1/imu,Imu,1789105464594720512,,"{""angular_velocity_x_radps"":0.5101,""angular_velocity_y_radps"":0.4083,""ax_mps2"":1.2454,""ay_mps2"":2.6091,""az_mps2"":3.1415,""orientation_w"":0.3659,""orientation_x"":-0.0462,""orientation_y"":-0.0192,""orientation_z"":-0.9293,""yaw_rate_radps"":6.9694}"
178,62733831271070,/autodrive/roboracer_1/imu,Imu,1789105464619939454,,"{""angular_velocity_x_radps"":-0.5184,""angular_velocity_y_radps"":-0.5679,""ax_mps2"":1.9916,""ay_mps2"":-2.7458,""az_mps2"":2.8704,""orientation_w"":0.3627,""orientation_x"":-0.0474,""orientation_y"":-0.0195,""orientation_z"":-0.9305,""yaw_rate_radps"":-6.9576}"
188,62733856632901,/autodrive/roboracer_1/imu,Imu,1789105464644962327,,"{""angular_velocity_x_radps"":-0.5175,""angular_velocity_y_radps"":-0.4566,""ax_mps2"":-0.6522,""ay_mps2"":-0.3709,""az_mps2"":-2.2301,""orientation_w"":0.3627,""orientation_x"":-0.0474,""orientation_y"":-0.0195,""orientation_z"":-0.9305,""yaw_rate_radps"":-6.9659}"
