run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
open_plane_40hz_steering_20260911,12,,,1,1,True,62733416318266,1,14.3600006,14361,4867,,,,0.0,0.0,0,0.0,0.0,-0.5275,-0.3979,-6.9687,32.3093,45.9294,0.0,0.0,-0.9472,-0.6671,-1.5994,0.3001,0.8363,0.0226,0.0017,6.179,3.8849,0.3627,-0.0482,-0.0197,-0.9304,4.2246,-10.4122,0.1086
open_plane_40hz_steering_20260911,21,1,62733437449455,2,2,True,62733440357260,2,14.3720007,14373,4868,0.0,0.0,False,0.0,0.0,0,0.0,0.0,-0.5227,-0.3912,-6.9695,32.3355,45.9818,0.0,0.0,-0.867,-0.6855,-1.6991,0.2892,0.8297,-0.005,0.0018,6.1803,3.8848,0.3627,-0.0476,-0.0195,-0.9305,4.2296,-10.4212,0.1084
open_plane_40hz_steering_20260911,33,2,62733462495873,3,3,True,62733467133690,3,14.3990011,14400,4869,0.23,0.0,False,0.23,0.0,1,0.0,0.0,0.5408,0.6217,6.9513,32.3911,46.0472,0.0,0.0,-1.6003,1.1651,-1.0849,0.2763,0.8303,-0.0573,0.0018,6.1838,3.8916,0.3659,-0.0459,-0.0191,-0.9293,4.238,-10.4386,0.1069
open_plane_40hz_steering_20260911,43,3,62733487162937,4,4,True,62733494569238,4,14.427001,14428,4870,0.23,0.0,False,0.23,0.0,2,0.23,0.0,0.4678,0.5944,6.959,32.4697,46.1716,0.0,0.23,0.2669,-4.8378,-0.8091,0.2775,0.8665,-0.0983,0.0019,6.1869,3.8914,0.3658,-0.0445,-0.0185,-0.9294,4.2505,-10.4596,0.1036
open_plane_40hz_steering_20260911,53,4,62733512651857,5,5,True,62733521319749,5,14.454,14455,4871,0.23,0.0,False,0.23,0.0,3,0.23,0.0,-0.521,-0.6377,-6.9514,32.6006,46.3581,0.0,0.23,1.6413,-2.5005,2.6242,0.3077,0.8434,-0.0151,0.0018,6.1817,3.8847,0.3626,-0.0469,-0.0193,-0.9305,4.2605,-10.4871,0.105
open_plane_40hz_steering_20260911,64,5,62733537417076,6,6,True,62733551630321,6,14.4810009,14482,4872,0.23,0.0,False,0.23,0.0,4,0.23,0.0,0.5363,0.5665,6.9564,32.9049,46.6952,0.0,0.23,0.7388,0.2876,-2.3448,0.3449,0.8321,-0.0035,0.0016,6.1808,3.8918,0.3659,-0.0473,-0.0195,-0.9292,4.2655,-10.508,0.1073
open_plane_40hz_steering_20260911,75,6,62733562517675,7,7,True,62733582859921,7,14.5110006,14512,4873,0.23,0.0,False,0.23,0.0,5,0.23,0.0,0.5289,0.5714,6.9566,33.3271,47.0944,0.0,0.23,-0.3743,1.1812,-1.3544,0.3825,0.8392,-0.065,0.0019,6.1831,3.8916,0.3659,-0.0462,-0.0192,-0.9293,4.2761,-10.5325,0.106
open_plane_40hz_steering_20260911,83,7,62733587330374,8,8,True,62733589873815,8,14.536,14537,4873,0.23,0.0,False,0.23,0.0,6,0.23,0.0,-0.4914,-0.4248,-6.9698,33.6445,47.425,0.0,0.23,1.4682,5.2804,-1.6456,0.4026,0.8886,-0.1076,0.0021,6.1846,3.8845,0.3626,-0.0455,-0.0189,-0.9306,4.2875,-10.5565,0.1035
open_plane_40hz_steering_20260911,94,8,62733612407690,9,9,True,62733614070906,9,14.555,14556,4874,0.23,0.0,False,0.23,0.0,7,0.23,0.0,0.4887,0.4591,6.9678,33.8539,47.654,0.0,0.23,1.6385,-0.5757,0.1449,0.4273,0.8818,-0.128,0.0018,6.1862,3.8914,0.3658,-0.0448,-0.0186,-0.9294,4.2908,-10.5709,0.1016
open_plane_40hz_steering_20260911,103,9,62733637828081,10,10,True,62733639684810,10,14.588,14589,4875,0.23,0.0,False,0.23,0.0,8,0.23,0.0,-0.5154,-0.656,-6.9501,34.2565,48.086,0.0,0.23,1.5571,-3.0106,5.2485,0.4757,0.8682,-0.0258,0.0019,6.1823,3.8847,0.3626,-0.0466,-0.0192,-0.9306,4.3004,-10.6067,0.1018
open_plane_40hz_steering_20260911,115,10,62733662295540,11,11,True,62733681889650,11,14.619,14620,4877,0.23,0.0,False,0.23,0.0,9,0.23,0.0,0.5292,0.5399,6.9591,34.6753,48.5114,0.0,0.23,1.0636,0.1506,-2.368,0.5382,0.8586,0.0127,0.0017,6.181,3.8918,0.3659,-0.0472,-0.0195,-0.9292,4.303,-10.6356,0.1053
open_plane_40hz_steering_20260911,125,11,62733687578252,12,12,True,62733705492835,12,14.6420012,14643,4878,0.23,0.0,False,0.23,0.0,10,0.23,0.0,-0.5156,-0.4469,-6.9667,35.0059,48.8256,0.0,0.23,1.2133,-0.1998,-2.4464,0.5627,0.8684,-0.0375,0.002,6.1816,3.8847,0.3626,-0.0469,-0.0194,-0.9305,4.3109,-10.6608,0.1054
open_plane_40hz_steering_20260911,136,12,62733712987722,13,13,True,62733729874312,13,14.6650009,14666,4879,0.23,0.0,False,0.23,0.0,11,0.23,0.0,0.5199,0.5423,6.9596,35.3135,49.143,0.0,0.23,-0.3528,0.9291,-1.1708,0.5787,0.8752,-0.0796,0.0019,6.1833,3.8916,0.3659,-0.0461,-0.0192,-0.9293,4.3126,-10.6812,0.105
open_plane_40hz_steering_20260911,146,13,62733737469679,14,14,True,62733753442432,14,14.6900005,14691,4880,0.23,0.0,False,0.23,0.0,12,0.23,0.0,-0.4942,-0.443,-6.9685,35.5851,49.4768,0.0,0.23,1.4054,5.2664,-1.7544,0.5994,0.9159,-0.1221,0.0022,6.1841,3.8845,0.3626,-0.0458,-0.019,-0.9306,4.3206,-10.7096,0.103
open_plane_40hz_steering_20260911,155,14,62733762080478,15,15,True,62733779438515,15,14.713,14714,4881,0.23,0.0,False,0.23,0.0,13,0.23,0.0,0.4856,0.5261,6.9633,35.8076,49.7255,0.0,0.23,1.1251,-4.48,-0.6092,0.6292,0.9086,-0.1486,0.0019,6.1857,3.8914,0.3658,-0.045,-0.0187,-0.9294,4.3221,-10.7314,0.1009
