event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
12,63250371235585,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
13,63250371792652,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
22,63250394971104,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
23,63250395229370,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
32,63250418130260,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
38,63250419516345,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
43,63250443056397,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
47,63250444143992,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
53,63250468162222,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
59,63250469755617,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
63,63250493089461,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
64,63250493255554,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
73,63250518199855,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
79,63250519578627,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
84,63250543187087,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
89,63250544436285,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
95,63250569460136,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
96,63250569539335,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
104,63250593212006,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
110,63250594718669,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
114,63250618091035,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
120,63250619647581,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
125,63250642769206,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
129,63250643633110,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
136,63250669491650,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
137,63250669584344,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
145,63250692942975,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
150,63250694156426,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
155,63250717957649,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
161,63250719615685,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
166,63250742781183,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
170,63250743669353,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
176,63250767977819,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
182,63250769539264,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
186,63250792993965,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
191,63250794193380,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
196,63250818136489,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
202,63250819910775,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
207,63250842909208,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
211,63250843844336,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
217,63250867947847,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
219,63250868629278,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
227,63250892980795,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
233,63250894471016,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
237,63250918128789,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
238,63250918320099,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
248,63250942943096,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
252,63250943863597,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
258,63250968083386,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
259,63250968239499,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
268,63250993896220,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
269,63250994050139,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
278,63251018139354,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
284,63251019535198,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
289,63251042869051,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
293,63251043809309,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
299,63251068031222,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
300,63251068214567,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
309,63251092978329,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
310,63251093155763,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
319,63251118122997,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
320,63251118265625,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
330,63251142851954,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
334,63251143817288,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
340,63251167960694,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
346,63251169483507,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
350,63251192963866,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
356,63251194282605,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
360,63251217770058,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
361,63251217908428,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
371,63251243065840,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
376,63251244175967,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
381,63251267996165,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
382,63251268167738,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
391,63251293189094,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
392,63251293331101,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
402,63251320030542,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
406,63251320886762,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
412,63251343902277,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
416,63251344739060,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
422,63251368067374,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
423,63251368213799,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
432,63251393090313,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
433,63251393231949,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
442,63251418201398,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
443,63251418358734,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
453,63251443147503,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
454,63251443332330,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
463,63251468146447,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
464,63251468306999,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
473,63251492941297,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
474,63251493081681,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
483,63251517978543,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
484,63251518123937,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
494,63251542719352,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
498,63251543707460,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
504,63251567988625,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
505,63251568151881,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
514,63251592983090,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.23000000417232513}"
520,63251594346523,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
524,63251618129502,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
