event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
18,63250374905254,/odom,Odometry,1789105981180557680,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
28,63250396949934,/odom,Odometry,1789105981198757453,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
37,63250419431967,/odom,Odometry,1789105981223204610,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
49,63250444837365,/odom,Odometry,1789105981248432004,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.13477059993743898,""x_m"":0.001699965801115434,""y_m"":2.5599949472308064e-08,""yaw_rate_radps"":0.0}"
58,63250469638778,/odom,Odometry,1789105981273410700,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.2674284152030945,""x_m"":0.006723205481481834,""y_m"":2.669055207507493e-07,""yaw_rate_radps"":0.0}"
69,63250494516434,/odom,Odometry,1789105981298370009,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.3988405061244965,""x_m"":0.015037937564798605,""y_m"":9.36444128394135e-07,""yaw_rate_radps"":0.0}"
78,63250519491583,/odom,Odometry,1789105981323427534,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.530558435393979,""x_m"":0.08932605493717968,""y_m"":8.987553865330221e-06,""yaw_rate_radps"":0.0}"
90,63250545134668,/odom,Odometry,1789105981348173201,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.609337715273193,""x_m"":0.22715833312747832,""y_m"":2.7014054078682175e-05,""yaw_rate_radps"":0.0}"
100,63250570595130,/odom,Odometry,1789105981373665383,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.647193902288453,""x_m"":0.37063381843377574,""y_m"":4.8293191218602455e-05,""yaw_rate_radps"":0.0}"
109,63250594593243,/odom,Odometry,1789105981398740831,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.56079463082881,""x_m"":0.511156414112389,""y_m"":7.122181811414261e-05,""yaw_rate_radps"":0.0}"
119,63250619526313,/odom,Odometry,1789105981423493041,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.564238080392621,""x_m"":0.6488419220350813,""y_m"":9.539577857475613e-05,""yaw_rate_radps"":0.0}"
131,63250644269346,/odom,Odometry,1789105981448342133,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.560532631930688,""x_m"":0.787061288428167,""y_m"":0.00012109479554536719,""yaw_rate_radps"":0.0}"
141,63250670641782,/odom,Odometry,1789105981472922290,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.576519376715638,""x_m"":0.9239383205304459,""y_m"":0.00014756956026429214,""yaw_rate_radps"":0.0}"
151,63250694671154,/odom,Odometry,1789105981498425963,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.540257087847517,""x_m"":1.065696099412524,""y_m"":0.00017583899142626313,""yaw_rate_radps"":0.0}"
160,63250719475392,/odom,Odometry,1789105981523276909,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.580936581718785,""x_m"":1.2038816284292975,""y_m"":0.0002041754776948015,""yaw_rate_radps"":0.0}"
172,63250744349782,/odom,Odometry,1789105981547975098,,"{""lateral_speed_mps"":0.0,""speed_mps"":5.588821438768119,""x_m"":1.3418197365421825,""y_m"":0.00023307510092864794,""yaw_rate_radps"":0.0}"
