event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
13,63352892958288,/autodrive/roboracer_1/imu,Imu,1789106083699264444,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0001,""ax_mps2"":0.0001,""ay_mps2"":-0.0003,""az_mps2"":-0.0084,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
22,63352914215178,/autodrive/roboracer_1/imu,Imu,1789106083717909824,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0003,""ay_mps2"":0.0,""az_mps2"":0.0042,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
33,63352939628912,/autodrive/roboracer_1/imu,Imu,1789106083742852974,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0003,""ay_mps2"":0.0004,""az_mps2"":-0.0013,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
43,63352964998614,/autodrive/roboracer_1/imu,Imu,1789106083767158746,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0003,""ay_mps2"":0.0002,""az_mps2"":0.0013,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
52,63352990152901,/autodrive/roboracer_1/imu,Imu,1789106083793152671,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0005,""ay_mps2"":-0.0006,""az_mps2"":0.0083,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
63,63353014207620,/autodrive/roboracer_1/imu,Imu,1789106083817668538,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0004,""ay_mps2"":0.0,""az_mps2"":0.0007,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
73,63353040521437,/autodrive/roboracer_1/imu,Imu,1789106083843527739,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.0001,""ax_mps2"":0.0001,""ay_mps2"":-0.0004,""az_mps2"":-0.0005,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
84,63353063868015,/autodrive/roboracer_1/imu,Imu,1789106083867427097,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0006,""ay_mps2"":-0.0007,""az_mps2"":-0.0171,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
94,63353089116980,/autodrive/roboracer_1/imu,Imu,1789106083892669740,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0001,""ax_mps2"":0.0003,""ay_mps2"":0.0001,""az_mps2"":0.0002,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
104,63353114113049,/autodrive/roboracer_1/imu,Imu,1789106083917916300,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0003,""ay_mps2"":-0.0006,""az_mps2"":0.001,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
