s_m,v_ref_mps,kappa_radpm,ax_ref_mps2,ay_ref_mps2,delta_ff_rad,d_left_m,d_right_m,core_bin_id
0.0,2.232174,1.749235,-0.015033,8.7157396513968,0.5156137031526014,2.1,3.1625,s2_k69
0.019999,2.23204,1.629987,-0.015031,8.1205994093747,0.48588642650460584,1.925,3.2,s2_k65
0.039998,2.231905,1.617795,-0.01503,8.058883898177,0.48279265053708414,1.7125,3.2375,s2_k64
0.059997,2.23177,1.68116,-0.015028,8.373517244178164,0.49876180041130513,1.6125,3.275,s2_k67
0.079996,2.231635,1.629882,-0.015026,8.11712981737351,0.4858598252764254,1.525,3.3,s2_k65
0.099996,2.231501,1.534733,-0.015024,7.642351402134164,0.4614479896355336,1.45,3.275,s2_k61
0.119995,2.231366,1.457463,-0.015024,7.256699861544509,0.44117603785544107,1.4,3.2375,s2_k58
0.139994,2.231232,1.404683,1.221369,6.993068562535329,0.42710131110457733,1.3625,3.1625,s2_k56
0.159993,2.242152,1.345017,2.573167,6.761730783209927,0.4109704869967428,1.3375,3.125,s2_k53
0.179992,2.264988,1.288265,3.149611,6.609019279725109,0.39541398656495436,1.3125,3.0375,s2_k51
0.199991,2.292629,1.207091,3.931665,6.344648621534264,0.37280831418496974,1.2875,3.0,s2_k48
0.21999,2.326673,1.181755,2.793805,6.397321083458092,0.36566872076112705,0.65,2.975,s2_k47
0.239989,2.350565,1.138869,1.624472,6.292428682684956,0.3534943764203838,0.65,2.8875,s2_k45
0.259989,2.364346,1.144564,1.713529,6.398263851279454,0.35511745713560894,0.65,2.8125,s2_k45
0.279988,2.378796,1.141588,1.792189,6.45987023557271,0.3542695372740391,0.65,2.7375,s2_k45
0.299987,2.393816,1.183013,1.86727,6.779084509131193,0.36602415003052047,0.65,2.6625,s2_k47
0.319986,2.409365,1.2114,0.779987,7.032225096486766,0.37401864047303907,0.65,2.6,s2_k48
0.339985,2.415831,1.281998,-0.017609,7.48204726468036,0.39368350085827536,0.6625,2.5375,s2_k51
0.359984,2.415685,1.331314,-0.017607,7.768928137270511,0.40723324148032836,0.6625,2.4875,s2_k53
0.379983,2.415539,1.37551,-0.017604,8.02586517083324,0.41924329477141486,0.6625,2.425,s2_k55
0.399983,2.415394,1.366845,-0.017602,7.974348925680451,0.4168986030833734,0.6625,2.375,s2_k54
0.419982,2.415248,1.303876,-0.0176,7.606060119121429,0.39971373540722954,0.675,2.325,s2_k52
0.439981,2.415102,1.235109,-0.0176,7.204042089175014,0.38065750245787255,0.675,2.2625,s2_k49
0.45998,2.414956,1.155885,2.656627,6.741135747682594,0.3583381530339376,0.675,2.225,s2_k46
0.479979,2.436858,1.100728,3.383334,6.536427668972454,0.34257423435327355,0.675,2.175,s2_k44
0.499978,2.464468,1.04063,3.991982,6.320372993534465,0.3251942911012756,0.6875,2.1125,s2_k41
0.519977,2.496653,1.056325,3.228713,6.584365484509686,0.3297533472993747,0.6875,2.075,s2_k42
0.539976,2.522383,1.066998,2.451787,6.788685145769166,0.3328455274052909,0.6875,2.05,s2_k42
0.559975,2.541748,1.113413,-0.019492,7.1931856421317955,0.3462156679252826,0.7,2.0125,s2_k44
0.579975,2.541595,1.154494,-0.01949,7.457690830545999,0.3579428462120898,0.7,1.9625,s2_k46
0.599974,2.541442,1.184596,-0.019488,7.651219608960837,0.36647126566388516,0.7,1.9,s2_k47
0.619973,2.541288,1.207146,-0.019485,7.795923540751455,0.37282376999862227,0.7,1.85,s2_k48
0.639972,2.541135,1.215147,-0.019483,7.846650245155345,0.37507017654881003,0.7,1.7875,s2_k48
0.659971,2.540982,1.205148,-0.01948,7.7811459520600215,0.37226218257083876,0.7125,1.7625,s2_k48
0.67997,2.540828,1.190251,-0.019478,7.68403064898328,0.3680672571738097,0.7125,1.7,s2_k47
0.699969,2.540675,1.153992,-0.019476,7.449052351555603,0.35780015464152815,0.7125,1.675,s2_k46
0.719969,2.540522,1.098717,-0.019476,7.091396430374723,0.3419960720471643,0.7125,1.6125,s2_k43
0.739968,2.540368,1.045554,2.62874,6.747450928462865,0.32662612540825287,0.7125,1.6,s2_k41
0.759967,2.56098,0.985346,3.603746,6.462508564015898,0.3090243720771712,0.7125,1.575,s2_k39
0.779966,2.588969,0.925444,4.277539,6.203029472393361,0.2913135369461487,0.7125,1.525,s2_k37
0.799965,2.621804,0.872039,4.734123,5.994270699363114,0.27536307665490223,0.725,1.5125,s2_k34
0.819964,2.65767,0.821325,5.107987,5.801190812721292,0.26008195650637417,0.725,1.5,s2_k32
0.839963,2.695834,0.769513,5.471218,5.592451853072765,0.24434064334468145,0.725,1.4625,s2_k30
0.859962,2.736121,0.71879,5.8035,5.381119357848284,0.22880951443156086,0.725,1.45,s2_k28
0.879961,2.778217,0.674674,6.053845,5.207464319243172,0.2152091776546128,0.7375,1.4375,s2_k26
0.899961,2.821459,0.663575,5.94697,5.282475641956495,0.21177453512995204,0.7375,1.425,s2_k26
0.91996,2.863303,0.658308,5.777222,5.3971408171878235,0.21014285328679633,0.7375,1.3875,s2_k26
0.939959,2.903374,0.658296,5.5386,5.549159180043235,0.21013913446549476,0.7625,1.375,s2_k26
0.959958,2.941278,0.594233,6.142599,5.140778776422371,0.19020409720673928,0.7625,1.375,s2_k23
0.979957,2.982752,0.474964,7.183019,4.225664224272633,0.15269053497794277,0.775,1.3625,s2_k18
0.999956,3.030531,0.360154,7.923398,3.3076968852998214,0.11616454422074014,0.775,1.325,s3_k14
1.019955,3.082375,0.251941,8.438243,2.393700420334703,0.0814483001938454,0.775,1.325,s3_k10
1.039954,3.136647,0.208697,8.58128,2.0532767881612903,0.06751505637017963,0.775,1.325,s3_k8
1.059954,3.190892,0.189539,8.626511,1.929846627576799,0.061333611593843,0.7875,1.3125,s3_k7
1.079953,3.244508,0.170056,8.674108,1.790150970151956,0.05504248958943957,0.7875,1.3125,s3_k6
1.099952,3.297542,0.150757,8.72121,1.6392989401786153,0.0488064775203503,0.7875,1.3,s3_k6
1.119951,3.350017,0.171009,8.627225,1.9191679804745212,0.05535032182382753,0.7875,1.275,s3_k6
1.13995,3.401131,0.224613,8.333439,2.5982540209765896,0.0726465437697805,0.8,1.275,s3_k8
