event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,7779532554277,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
1,7779533508827,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,7779534699489,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.126,"{""applied_command_sequence"":4,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":7779531989538,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":1,""request_monotonic_ns"":7779505065729,""request_sequence"":5,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":370,""simulation_physics_step"":127,""simulation_render_frame"":370,""simulation_time_s"":0.126,""simulator_angular_velocity_x"":-0.0003,""simulator_angular_velocity_y"":0.194,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0048,""simulator_linear_acceleration_y"":0.0082,""simulator_linear_acceleration_z"":24.4705,""simulator_linear_velocity_x"":0.0002,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-1.1809,""simulator_orientation_euler_x"":0.0,""simulator_orientation_euler_y"":0.0002,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0001,""simulator_orientation_quaternion_y"":0.0001,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8036,""simulator_position_y"":3.1605,""simulator_position_z"":0.0832,""telemetry_sequence"":5}"
3,7779535572486,/autodrive/roboracer_1/imu,Imu,1789460496475879023,,"{""angular_velocity_x_radps"":-0.0003,""angular_velocity_y_radps"":0.194,""ax_mps2"":-0.0048,""ay_mps2"":0.0082,""az_mps2"":24.4705,""orientation_w"":0.7071,""orientation_x"":0.0001,""orientation_y"":0.0001,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
4,7779535820331,/autodrive/roboracer_1/left_encoder,JointState,1789460496475879023,,"{""position"":[0.0],""velocity"":[]}"
5,7779535968228,/autodrive/roboracer_1/right_encoder,JointState,1789460496475879023,,"{""position"":[0.0],""velocity"":[]}"
6,7779537075264,/odom,Odometry,1789460496475879023,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
7,7779537345661,/odom/diagnostics,Float64MultiArray,,,"{""data"":[5.0,1789460496.475879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]}"
8,7779538135712,/autodrive/roboracer_1/lidar,LaserScan,1789460496475879023,,"{""angle_increment_rad"":0.004363323096185923,""angle_min_rad"":-2.3561899662017822,""finite_range_count"":0,""range_count"":1081}"
9,7779557019918,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
10,7779557443021,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
11,7779558200862,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.15200001,"{""applied_command_sequence"":5,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":7779556517636,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":2,""request_monotonic_ns"":7779530283219,""request_sequence"":6,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":480,""simulation_physics_step"":153,""simulation_render_frame"":480,""simulation_time_s"":0.15200001,""simulator_angular_velocity_x"":-0.0011,""simulator_angular_velocity_y"":0.284,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-2.326,""simulator_linear_acceleration_y"":-0.011,""simulator_linear_acceleration_z"":12.7545,""simulator_linear_velocity_x"":0.0246,""simulator_linear_velocity_y"":0.0001,""simulator_linear_velocity_z"":-0.1761,""simulator_orientation_euler_x"":0.0031,""simulator_orientation_euler_y"":0.0241,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.7071,""simulator_orientation_quaternion_x"":0.0085,""simulator_orientation_quaternion_y"":0.0085,""simulator_orientation_quaternion_z"":-0.7071,""simulator_position_x"":0.8036,""simulator_position_y"":3.1592,""simulator_position_z"":0.0719,""telemetry_sequence"":6}"
12,7779558607654,/autodrive/roboracer_1/imu,Imu,1789460496501879033,,"{""angular_velocity_x_radps"":-0.0011,""angular_velocity_y_radps"":0.284,""ax_mps2"":-2.326,""ay_mps2"":-0.011,""az_mps2"":12.7545,""orientation_w"":0.7071,""orientation_x"":0.0085,""orientation_y"":0.0085,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
13,7779558901776,/autodrive/roboracer_1/left_encoder,JointState,1789460496501879033,,"{""position"":[0.0],""velocity"":[]}"
14,7779559080872,/autodrive/roboracer_1/right_encoder,JointState,1789460496501879033,,"{""position"":[0.0],""velocity"":[]}"
15,7779559452629,/odom,Odometry,1789460496501879033,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-0.00014450088295592248,""yaw_rate_radps"":0.0}"
16,7779559709570,/odom/diagnostics,Float64MultiArray,,,"{""data"":[5.0,1789460496.5018792,0.026000261306762695,0.0,0.0,0.0,0.0,0.0,0.0,-2.326,-0.011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014450088295592245,0.0,0.0,0.0,-0.00014450088295592245,0.0,0.0,0.0]}"
17,7779560709665,/autodrive/roboracer_1/lidar,LaserScan,1789460496501879033,,"{""angle_increment_rad"":0.004363323096185923,""angle_min_rad"":-2.3561899662017822,""finite_range_count"":0,""range_count"":1081}"
18,7779582386467,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
19,7779583147444,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.176000014,"{""applied_command_sequence"":6,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":7779581913090,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":3,""request_monotonic_ns"":7779555114135,""request_sequence"":7,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":566,""simulation_physics_step"":177,""simulation_render_frame"":566,""simulation_time_s"":0.176000014,""simulator_angular_velocity_x"":0.0001,""simulator_angular_velocity_y"":0.044,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.2152,""simulator_linear_acceleration_y"":-0.0014,""simulator_linear_acceleration_z"":1.246,""simulator_linear_velocity_x"":0.0049,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0677,""simulator_orientation_euler_x"":0.0035,""simulator_orientation_euler_y"":0.0268,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.707,""simulator_orientation_quaternion_x"":0.0095,""simulator_orientation_quaternion_y"":0.0095,""simulator_orientation_quaternion_z"":-0.707,""simulator_position_x"":0.8037,""simulator_position_y"":3.1591,""simulator_position_z"":0.07,""telemetry_sequence"":7}"
20,7779583463987,/autodrive/roboracer_1/imu,Imu,1789460496525879037,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":0.044,""ax_mps2"":-0.2152,""ay_mps2"":-0.0014,""az_mps2"":1.246,""orientation_w"":0.707,""orientation_x"":0.0095,""orientation_y"":0.0095,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
21,7779583654835,/autodrive/roboracer_1/left_encoder,JointState,1789460496525879037,,"{""position"":[0.0],""velocity"":[]}"
22,7779583803744,/autodrive/roboracer_1/right_encoder,JointState,1789460496525879037,,"{""position"":[0.0],""velocity"":[]}"
23,7779584123394,/odom,Odometry,1789460496525879037,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.00010239828357416776,""yaw_rate_radps"":0.0}"
24,7779584245933,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
25,7779584421412,/odom/diagnostics,Float64MultiArray,,,"{""data"":[5.0,1789460496.5258791,0.023999929428100586,0.0,0.0,0.0,0.0,0.0,0.0,-0.2152,-0.0014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010239828357416775,0.0,0.0,0.0,0.00010239828357416775,0.0,0.0,0.0]}"
26,7779585502780,/autodrive/roboracer_1/lidar,LaserScan,1789460496525879037,,"{""angle_increment_rad"":0.004363323096185923,""angle_min_rad"":-2.3561899662017822,""finite_range_count"":0,""range_count"":1081}"
27,7779607288917,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
28,7779607494241,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
29,7779608165690,/autodrive/roboracer_1/bridge_packet_timing,std_msgs/String,,0.201,"{""applied_command_sequence"":7,""applied_steering_norm"":0.0,""applied_throttle_norm"":0.0,""bridge_arrival_monotonic_ns"":7779606866575,""commanded_steering_norm"":0.0,""commanded_throttle_norm"":0.0,""connection_generation"":2,""packet_sequence"":4,""request_monotonic_ns"":7779580031422,""request_sequence"":8,""schema_version"":2,""sent_reset"":""False"",""sent_steering_norm"":0.0,""sent_throttle_norm"":0.0,""simulation_frame"":666,""simulation_physics_step"":202,""simulation_render_frame"":666,""simulation_time_s"":0.201,""simulator_angular_velocity_x"":0.0002,""simulator_angular_velocity_y"":0.0204,""simulator_angular_velocity_z"":0.0,""simulator_encoder_angles_left"":0.0,""simulator_encoder_angles_right"":0.0,""simulator_feedback_steering_norm"":0.0,""simulator_feedback_throttle_norm"":0.0,""simulator_linear_acceleration_x"":-0.0304,""simulator_linear_acceleration_y"":-0.0002,""simulator_linear_acceleration_z"":0.3466,""simulator_linear_velocity_x"":0.0029,""simulator_linear_velocity_y"":0.0,""simulator_linear_velocity_z"":-0.0529,""simulator_orientation_euler_x"":0.0032,""simulator_orientation_euler_y"":0.0275,""simulator_orientation_euler_z"":4.7124,""simulator_orientation_quaternion_w"":0.707,""simulator_orientation_quaternion_x"":0.0097,""simulator_orientation_quaternion_y"":0.0098,""simulator_orientation_quaternion_z"":-0.707,""simulator_position_x"":0.8037,""simulator_position_y"":3.159,""simulator_position_z"":0.0686,""telemetry_sequence"":8}"
30,7779608520726,/autodrive/roboracer_1/imu,Imu,1789460496550879023,,"{""angular_velocity_x_radps"":0.0002,""angular_velocity_y_radps"":0.0204,""ax_mps2"":-0.0304,""ay_mps2"":-0.0002,""az_mps2"":0.3466,""orientation_w"":0.707,""orientation_x"":0.0097,""orientation_y"":0.0098,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
31,7779608739446,/autodrive/roboracer_1/left_encoder,JointState,1789460496550879023,,"{""position"":[0.0],""velocity"":[]}"
32,7779608897643,/autodrive/roboracer_1/right_encoder,JointState,1789460496550879023,,"{""position"":[0.0],""velocity"":[]}"
33,7779609273958,/odom,Odometry,1789460496550879023,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":9.081375214403667e-05,""yaw_rate_radps"":0.0}"
