event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
30,15977084087096,/odom,Odometry,1789468940282421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
39,15977106413678,/odom,Odometry,1789468940307422244,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
47,15977132952356,/odom,Odometry,1789468940333422244,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
57,15977156663477,/odom,Odometry,1789468940357421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.12794813933372498,""x_m"":0.0015353121466769905,""y_m"":1.989808564113057e-08,""yaw_rad"":2.592057345873755e-05,""yaw_rate_radps"":0.0}"
66,15977182694198,/odom,Odometry,1789468940383421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.2659757265329361,""x_m"":0.006656373865028043,""y_m"":2.5508677000260857e-07,""yaw_rad"":6.593095934093185e-05,""yaw_rate_radps"":0.0}"
75,15977206137765,/odom,Odometry,1789468940407421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.3924937545061111,""x_m"":0.0145579843771774,""y_m"":8.911168960032352e-07,""yaw_rad"":9.505650610019956e-05,""yaw_rate_radps"":0.0}"
84,15977232302979,/odom,Odometry,1789468940433421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.5286234260320664,""x_m"":0.02653240838952557,""y_m"":2.1884055914418587e-06,""yaw_rad"":0.0001216200854461391,""yaw_rate_radps"":0.0}"
93,15977256676919,/odom,Odometry,1789468940457421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.6535251810312271,""x_m"":0.04071857260909221,""y_m"":4.043117560299988e-06,""yaw_rad"":0.00013986172592783674,""yaw_rate_radps"":0.0}"
102,15977282211004,/odom,Odometry,1789468940483421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.7879868993997574,""x_m"":0.059458245945526865,""y_m"":6.821502531671379e-06,""yaw_rad"":0.00015666264791081025,""yaw_rate_radps"":0.0}"
111,15977306056408,/odom,Odometry,1789468940507422044,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.9111185373306274,""x_m"":0.07984745122695376,""y_m"":7.2634039651999e-06,""yaw_rad"":-0.00011331604098230297,""yaw_rate_radps"":0.0}"
119,15977331898955,/odom,Odometry,1789468940532421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.0386590911865234,""x_m"":0.10421929954935241,""y_m"":4.6186843297667306e-06,""yaw_rad"":-0.00010371465690051096,""yaw_rate_radps"":0.0}"
129,15977357213496,/odom,Odometry,1789468940558421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.17055339782238,""x_m"":0.13293882369187435,""y_m"":1.7994617674751904e-06,""yaw_rad"":-9.261328636522848e-05,""yaw_rate_radps"":0.0}"
137,15977381020117,/odom,Odometry,1789468940582421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.2911770396709443,""x_m"":0.1624800888811937,""y_m"":-8.451596895275907e-07,""yaw_rad"":-8.643263011731683e-05,""yaw_rate_radps"":0.0}"
146,15977405873270,/odom,Odometry,1789468940607421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.4159988254308702,""x_m"":0.19631959344462752,""y_m"":-3.67151484420226e-06,""yaw_rad"":-8.06120819472067e-05,""yaw_rate_radps"":0.0}"
156,15977431136936,/odom,Odometry,1789468940632422044,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.5401516669988633,""x_m"":0.23327232024936928,""y_m"":-6.549461783574564e-06,""yaw_rad"":-7.51516292809562e-05,""yaw_rate_radps"":0.0}"
165,15977456493116,/odom,Odometry,1789468940658422044,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.6680171795606613,""x_m"":0.274978551856778,""y_m"":-9.612013018461254e-06,""yaw_rad"":-7.171137470418643e-05,""yaw_rate_radps"":0.0}"
174,15977480576829,/odom,Odometry,1789468940682422244,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.7858316035032273,""x_m"":0.31642502701260067,""y_m"":-1.2483475181124042e-05,""yaw_rad"":-6.685105538295488e-05,""yaw_rate_radps"":0.0}"
182,15977505711221,/odom,Odometry,1789468940707421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":1.9076047453641893,""x_m"":0.36259227680556705,""y_m"":-1.5534253667856185e-05,""yaw_rad"":-6.531096405604231e-05,""yaw_rate_radps"":0.0}"
192,15977531855917,/odom,Odometry,1789468940733421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.0330964558362963,""x_m"":0.41382143741455607,""y_m"":-1.880425622664435e-05,""yaw_rad"":-6.235080183958353e-05,""yaw_rate_radps"":0.0}"
201,15977556936348,/odom,Odometry,1789468940758421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.152888485455513,""x_m"":0.4661449516619566,""y_m"":-2.1993412786539523e-05,""yaw_rad"":-5.955066452090208e-05,""yaw_rate_radps"":0.0}"
209,15977580869697,/odom,Odometry,1789468940782421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.267166549420357,""x_m"":0.5191854560226835,""y_m"":-2.5116471337745395e-05,""yaw_rad"":-5.821060435229341e-05,""yaw_rate_radps"":0.0}"
218,15977607065770,/odom,Odometry,1789468940808421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.3901466576814654,""x_m"":0.5797305809134274,""y_m"":-2.8601483657704862e-05,""yaw_rad"":-5.691054941192597e-05,""yaw_rate_radps"":0.0}"
228,15977631248259,/odom,Odometry,1789468940832421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.5026928807973863,""x_m"":0.6384462324494687,""y_m"":-3.190603132012925e-05,""yaw_rad"":-5.565049938804912e-05,""yaw_rate_radps"":0.0}"
237,15977658347332,/odom,Odometry,1789468940857421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.6193049892663955,""x_m"":0.7024696181949974,""y_m"":-3.542990899397619e-05,""yaw_rad"":-5.4430453977794e-05,""yaw_rate_radps"":0.0}"
245,15977682269922,/odom,Odometry,1789468940883421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.739803200292587,""x_m"":0.772138724743892,""y_m"":-3.918092389110892e-05,""yaw_rad"":-5.325041288894994e-05,""yaw_rate_radps"":0.0}"
255,15977706062586,/odom,Odometry,1789468940907421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.8504212750196456,""x_m"":0.8392212210981747,""y_m"":-4.271485625719202e-05,""yaw_rad"":-5.211037583752187e-05,""yaw_rate_radps"":0.0}"
264,15977731571174,/odom,Odometry,1789468940932422244,,"{""lateral_speed_mps"":0.0,""speed_mps"":2.9645713876485824,""x_m"":0.91191029296558,""y_m"":-4.650271111491178e-05,""yaw_rad"":-5.211037583752187e-05,""yaw_rate_radps"":0.0}"
273,15977756032288,/odom,Odometry,1789468940957421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.0781857375383375,""x_m"":0.9874443247183438,""y_m"":-5.0397272926911715e-05,""yaw_rad"":-5.101034255061698e-05,""yaw_rate_radps"":0.0}"
281,15977782167936,/odom,Odometry,1789468940983421844,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.1952144405603407,""x_m"":1.0689985987208896,""y_m"":-5.455738438385674e-05,""yaw_rad"":-5.101034255061698e-05,""yaw_rate_radps"":0.0}"
291,15977806923134,/odom,Odometry,1789468941008421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.3071591647624965,""x_m"":1.150276253311188,""y_m"":-5.8660307022277757e-05,""yaw_rad"":-4.99503127640022e-05,""yaw_rate_radps"":0.0}"
299,15977831731342,/odom,Odometry,1789468941033422044,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.4185352760076517,""x_m"":1.2343501597178017,""y_m"":-6.28598249460722e-05,""yaw_rad"":-4.99503127640022e-05,""yaw_rate_radps"":0.0}"
309,15977857078866,/odom,Odometry,1789468941058421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.5289939835786814,""x_m"":1.3211912937981973,""y_m"":-6.719756675777622e-05,""yaw_rad"":-4.99503127640022e-05,""yaw_rate_radps"":0.0}"
318,15977881889899,/odom,Odometry,1789468941083422244,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.638728588032722,""x_m"":1.410791585453941,""y_m"":-7.162743201554031e-05,""yaw_rad"":-4.893028622277028e-05,""yaw_rate_radps"":0.0}"
326,15977905505230,/odom,Odometry,1789468941107421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.7433387626886363,""x_m"":1.4993734930402869,""y_m"":-7.596177011135826e-05,""yaw_rad"":-4.893028622277028e-05,""yaw_rate_radps"":0.0}"
336,15977931651328,/odom,Odometry,1789468941133421344,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.855704631209373,""x_m"":1.5981602381302906,""y_m"":-8.079543382748553e-05,""yaw_rad"":-4.893028622277028e-05,""yaw_rate_radps"":0.0}"
345,15977957027365,/odom,Odometry,1789468941158422044,,"{""lateral_speed_mps"":0.0,""speed_mps"":3.9631856161594388,""x_m"":1.6958995351921933,""y_m"":-8.557784561175344e-05,""yaw_rad"":-4.893028622277028e-05,""yaw_rate_radps"":0.0}"
354,15977980678614,/odom,Odometry,1789468941182422244,,"{""lateral_speed_mps"":0.0,""speed_mps"":4.065733533334732,""x_m"":1.7922472386867956,""y_m"":-9.024495481558249e-05,""yaw_rad"":-4.795026268289426e-05,""yaw_rate_radps"":0.0}"
