stamp_s,time_s,phase,source_event_name,source_event_count,source_event_stamp_s,target_speed_mps,target_accel_mps2,controller_speed_mps,controller_accel_mps2,controller_steering_rad,throttle_command,throttle_feedback,steering_command,steering_feedback,speed_mps,speed_rate_mps2,gt_speed_rate_mps2,ax_mps2,ay_mps2,az_mps2,imu_accel_norm_mps2,yaw_rate_radps,odom_yaw_rate_radps,imu_yaw_rate_radps,imu_yaw_rad,imu_stamp_s,odom_stamp_s,gt_odom_stamp_s,left_encoder_stamp_s,right_encoder_stamp_s,left_encoder_rad,right_encoder_rad,left_encoder_speed_radps,right_encoder_speed_radps,left_encoder_dt_s,right_encoder_dt_s,encoder_wheel_speed_mps,gt_slip_speed_mps,gt_slip_ratio,x_odom_m,y_odom_m,yaw_odom_rad,odom_raw_wheel_speed_mps,odom_corrected_wheel_speed_mps,odom_longitudinal_slip_ratio,odom_wheel_observation_confidence,odom_diagnostics_stamp_s,odom_diagnostics_speed_mps,odom_observer_version,odom_observer_source_stamp_s,odom_observer_dt_s,odom_observer_speed_pred_mps,odom_observer_body_u_mps,odom_observer_body_v_mps,odom_observer_ax_mps2,odom_observer_ay_mps2,odom_observer_yaw_rate_radps,odom_observer_wheel_update_used,odom_observer_turn_mode,odom_observer_reset_epoch,odom_observer_timing_degraded,odom_observer_packet_drop_count,odom_observer_packet_coherence_fault_count,odom_observer_x_m,odom_observer_y_m,odom_observer_yaw_rad,odom_observer_sensor_outlier,odom_observer_left_angle_rad,odom_observer_right_angle_rad,odom_observer_imu_yaw_rad,odom_observer_packet_wheel_speed_mps,odom_observer_wheel_burst_rejected,odom_observer_turn_speed_bias_mps,brake_encoder_stopped,brake_imu_stopped,brake_odom_stopped,brake_gt_stopped,brake_stop_confirmed,brake_stop_elapsed_s,speed_settled,speed_settle_rate_mps2,speed_settle_elapsed_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,gt_odom_x_m,gt_odom_y_m,gt_odom_z_m,gt_odom_yaw_rad,gt_ips_x_m,gt_ips_y_m,gt_ips_z_m,x_amcl_m,y_amcl_m,yaw_amcl_rad,amcl_xy_variance,amcl_yaw_variance,x_ekf_m,y_ekf_m,yaw_ekf_rad,ekf_xy_variance,ekf_yaw_variance,x_ekf_odom_m,y_ekf_odom_m,yaw_ekf_odom_rad,ekf_odom_xy_variance,ekf_odom_yaw_variance,ekf_odom_stamp_s,x_current_map_m,y_current_map_m,yaw_current_map_rad,current_map_xy_variance,current_map_yaw_variance,current_map_pose_stamp_s,pp_publish_stamp_s,pp_odom_event_stamp_s,pp_pose_x_m,pp_pose_y_m,pp_pose_yaw_rad,pp_velocity_mps,pp_yaw_rate_radps,pp_valid,pp_cross_track_error_m,pp_closest_distance_m,pp_heading_error_rad,pp_lookahead_distance_m,pp_closest_index,pp_target_index,pp_target_speed_mps,pp_raw_steering_rad,pp_command_steering_rad,pp_command_speed_mps,pp_target_x_m,pp_target_y_m,amcl_scan_stamp_s,amcl_scan_matched_odom_stamp_s,amcl_scan_source_error_ms,amcl_scan_accepted,amcl_scan_queued,amcl_scan_dropped,amcl_scan_bracket_before_stamp_s,amcl_scan_bracket_after_stamp_s,amcl_scan_processing_dropped,amcl_health_correction_age_s,amcl_health_correction_accepted,amcl_health_rejected_scans,amcl_health_degraded,amcl_health_xy_variance,amcl_health_yaw_variance,amcl_health_scan_correction_distance_m,amcl_health_scan_correction_yaw_rad,amcl_health_applied_xy_correction_m,amcl_health_applied_yaw_correction_rad,amcl_health_scan_correction_x_m,amcl_health_scan_correction_y_m,amcl_health_applied_x_m,amcl_health_applied_y_m,amcl_health_source_stamp_s,amcl_particle_count,lidar_rate_hz,lidar_event_count,imu_rate_hz,imu_event_count,left_encoder_rate_hz,left_encoder_event_count,right_encoder_rate_hz,right_encoder_event_count,odom_rate_hz,odom_event_count,odom_diagnostics_rate_hz,odom_diagnostics_event_count,gt_odom_rate_hz,gt_odom_event_count,gt_ips_rate_hz,gt_ips_event_count,collision_rate_hz,collision_event_count,amcl_rate_hz,amcl_event_count,ekf_rate_hz,ekf_event_count,ekf_odom_rate_hz,ekf_odom_event_count,speed_command_rate_hz,speed_command_event_count,throttle_command_rate_hz,throttle_command_event_count,steering_command_rate_hz,steering_command_event_count,throttle_feedback_rate_hz,throttle_feedback_event_count,steering_feedback_rate_hz,steering_feedback_event_count,current_map_pose_rate_hz,current_map_pose_event_count,pp_diagnostics_rate_hz,pp_diagnostics_event_count,amcl_timing_rate_hz,amcl_timing_event_count,amcl_gpu_timing_rate_hz,amcl_gpu_timing_event_count,amcl_kld_diagnostics_rate_hz,amcl_kld_diagnostics_event_count,amcl_scan_alignment_rate_hz,amcl_scan_alignment_event_count,amcl_localization_health_rate_hz,amcl_localization_health_event_count,amcl_particle_count_rate_hz,amcl_particle_count_event_count,amcl_timing_ms,amcl_gpu_transfer_ms,amcl_gpu_pf_ms,amcl_gpu_callback_ms,amcl_pose_published,amcl_cluster_weight,amcl_cluster_second_weight,amcl_kld_pre_particles,amcl_kld_bins,amcl_kld_target,amcl_kld_particles,speed_command_mps,speed_command_accel_mps2,speed_command_steering_rad,speed_command_stamp_s
1789468940.3069723,0.56349191,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.0,0.0,nan,nan,0.0001,-0.0007,-0.0018,0.0019339079605813715,0.0,0.0,0.0,-1.5707407162970446,1789468940.2824214,1789468940.2824214,1789468940.2824214,1789468940.2824214,1789468940.2824214,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789468940.2824214,0.0,5.0,1789468940.2824214,0.0,0.0,0.0,0.0,0.0001,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8067,3.1589,0.0592,-1.5707407162970446,0.0,0.0,0.0001,0.0,nan,nan,nan,nan,nan,0.0,0,0.8067,3.1589,0.0592,-1.5707407162970446,0.8067,3.1589,0.0592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,24,nan,45,nan,45,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468940.4070797,0.663599329,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.2659757265329361,5.308748680446026,5.326918387558227,5.3087,0.0004,0.1369,5.310464900552493,0.0,0.0,0.0,-1.5706747853377037,1789468940.3834214,1789468940.3834214,1789468940.3834214,1789468940.3834214,1789468940.3834214,16.5588,16.5588,341.0920074239813,341.0920074239813,0.026000022888183594,0.026000022888183594,20.124428438014895,19.864128438014895,39.72825687602979,0.006656373865028043,2.5508677000260857e-07,6.593095934093185e-05,9.67293278372149,9.284671791909608,18.81391411437711,0.0,1789468940.3834217,0.2659757265329361,5.0,1789468940.3834217,0.026000261306762695,0.2659757265329361,0.2659757265329361,0.0,5.3087,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006656373865028043,2.5508677000260857e-07,6.593095934093185e-05,0.0,16.5588,16.5588,6.593095934093185e-05,20.12424389996057,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8068,3.1523,0.0585,-1.5706747853377037,0.2603,0.0,0.0061,0.2603,5.326918387558227,0.0,5.326918387558227,5.326918387558227,0.026000022888183594,0.0,0,0.8068,3.1523,0.0585,-1.5706747853377037,0.8068,3.1523,0.0585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,5,nan,nan,nan,nan,nan,nan,nan,24,nan,49,nan,49,nan,5,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468940.5269053,0.783424696,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.9111185373306274,5.130449033418102,5.149963983151873,5.1305,0.0019,0.0785,5.131100867260358,0.0,0.0,0.0,-1.570854032338027,1789468940.507422,1789468940.507422,1789468940.507422,1789468940.507422,1789468940.507422,58.8525,58.8525,341.1559474211236,341.1559474211236,0.024000167846679688,0.024000167846679688,20.12820089784629,19.22020089784629,21.167622134191948,0.07984745122695376,7.2634039651999e-06,-0.00011331604098230298,20.124351231692383,19.007449738333456,21.08752254196497,0.0,1789468940.507422,0.9111185373306274,5.0,1789468940.507422,0.023999929428100586,0.9111185373306274,0.9111185373306274,0.0,5.1305,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07984745122695376,7.2634039651999e-06,-0.00011331604098230298,0.0,58.8525,58.8525,-0.00011331604098230298,20.128400854145006,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8068,3.0792,0.0569,-1.570854032338027,0.908,0.0,0.0154,0.908,5.149963983151873,0.0,5.149963983151873,5.149963983151873,0.024000167846679688,0.0,0,0.8068,3.0792,0.0569,-1.570854032338027,0.8068,3.0792,0.0569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,10,nan,nan,nan,nan,nan,nan,nan,24,nan,54,nan,54,nan,10,nan,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468940.6469913,0.903510724,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,1.5401516669988633,4.9659999999999975,4.979886019454504,4.966,-0.001,0.0682,4.96646838709359,0.0,0.0,0.0,-1.5708158679263255,1789468940.632422,1789468940.632422,1789468940.632422,1789468940.632422,1789468940.632422,101.4833,101.4833,340.9881953995805,340.9881953995805,0.025000572204589844,0.025000572204589844,20.118303528575247,18.579103528575246,12.070623394344626,0.23327232024936928,-6.549461783574564e-06,-7.51516292809562e-05,20.1223562638667,19.005565491222097,12.065178381475304,0.0,1789468940.6324222,1.5401516669988633,5.0,1789468940.6324222,0.025000572204589844,1.5401516669988633,1.5401516669988633,0.0,4.966,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23327232024936928,-6.549461783574564e-06,-7.51516292809562e-05,0.0,101.4833,101.4833,-7.51516292809562e-05,20.118303528575247,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8069,2.9257,0.0561,-1.5708158679263255,1.5392,0.0,0.0189,1.5392,4.979886019454504,0.0,4.979886019454504,4.979886019454504,0.025000572204589844,0.0,0,0.8069,2.9257,0.0561,-1.5708158679263255,0.8069,2.9257,0.0561,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,15,nan,nan,nan,nan,nan,nan,nan,24,nan,58,nan,58,nan,15,nan,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468940.7668865,1.023406062,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,2.152888485455513,4.79175430113679,4.812073426413361,4.7918,0.001,0.0374,4.791946055622914,0.0,0.0,0.0,-1.5708002669615655,1789468940.7584214,1789468940.7584214,1789468940.7584214,1789468940.7584214,1789468940.7584214,144.4576,144.4609,340.9972032043957,341.12920521858643,0.024999618530273438,0.024999618530273438,20.122729048477975,17.968729048477975,8.342028341911782,0.4661449516619566,-2.1993412786539523e-05,-5.9550664520902075e-05,20.12378493817011,19.00691487410167,8.347341989203066,0.0,1789468940.7584214,2.152888485455513,5.0,1789468940.7584214,0.024999380111694336,2.152888485455513,2.152888485455513,0.0,4.7918,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4661449516619566,-2.1993412786539523e-05,-5.9550664520902075e-05,0.0,144.4576,144.4609,-5.9550664520902075e-05,20.12292095853518,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8069,2.6924,0.0556,-1.5708002669615655,2.154,0.0,0.0207,2.154,4.812073426413361,0.0,4.812073426413361,4.812073426413361,0.024999618530273438,0.0,0,0.8069,2.6924,0.0556,-1.5708002669615655,0.8069,2.6924,0.0556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,20,nan,nan,nan,nan,nan,nan,nan,24,nan,63,nan,63,nan,20,nan,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468940.8668983,1.123418002,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,2.6193049892663955,4.664555514229033,4.6800714122224765,4.6646,-0.001,0.0318,4.664708501074853,0.0,0.0,0.0,-1.5707951467510224,1789468940.8574214,1789468940.8574214,1789468940.8574214,1789468940.8574214,1789468940.8574214,178.2232,178.2265,341.1292052185853,341.1292052185853,0.024999618530273438,0.024999618530273438,20.12662310789653,17.504223107896532,6.674886786110637,0.7024696181949974,-3.542990899397619e-05,-5.4430453977794e-05,20.122934552816336,19.00611168513503,6.68254733040931,0.0,1789468940.8574214,2.6193049892663955,5.0,1789468940.8574214,0.024999380111694336,2.6193049892663955,2.6193049892663955,0.0,4.6646,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7024696181949974,-3.542990899397619e-05,-5.4430453977794e-05,0.0,178.2232,178.2265,-5.4430453977794e-05,20.126815055091306,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.807,2.4556,0.0554,-1.5707951467510224,2.6224,0.0,0.022,2.6224,4.6800714122224765,0.0,4.6800714122224765,4.6800714122224765,0.024999618530273438,0.0,0,0.807,2.4556,0.0554,-1.5707951467510224,0.807,2.4556,0.0554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,nan,24,nan,24,nan,24,nan,24,nan,24,nan,24,nan,24,nan,24,nan,nan,nan,nan,nan,nan,nan,24,nan,67,nan,67,nan,24,nan,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468940.9669068,1.223426344,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,3.0781857375383375,4.544643341344312,4.556069520103766,4.5446,-0.0016,0.0406,4.5447816317178535,0.0,0.0,0.0,-1.5707917266395952,1789468940.9574218,1789468940.9574218,1789468940.9574218,1789468940.9574218,1789468940.9574218,212.3291,212.3324,340.99720320439457,341.1292052185853,0.024999618530273438,0.024999618530273438,20.122729048477908,17.03982904847791,5.527207839527039,0.9874443247183438,-5.0397272926911715e-05,-5.101034255061698e-05,20.12235626386671,19.005565491222107,5.537083197571698,0.0,1789468940.957422,3.0781857375383375,5.0,1789468940.957422,0.02499985694885254,3.0781857375383375,3.0781857375383375,0.0,4.5446,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9874443247183438,-5.0397272926911715e-05,-5.101034255061698e-05,0.0,212.3291,212.3324,-5.101034255061698e-05,20.122537142081114,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.807,2.17,0.0553,-1.5707917266395952,3.0829,0.0,0.0236,3.0829,4.556069520103766,0.0,4.556069520103766,4.556069520103766,0.024999618530273438,0.0,0,0.807,2.17,0.0553,-1.5707917266395952,0.807,2.17,0.0553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,nan,28,nan,28,nan,28,nan,28,nan,28,nan,28,nan,28,nan,28,nan,nan,nan,nan,nan,nan,nan,24,nan,71,nan,71,nan,28,nan,28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468941.086934,1.343453781,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,3.5289939835786814,4.418457860855469,4.436109995708359,4.4185,-0.0004,0.0306,4.41860597587067,0.0,0.0,0.0,-1.5707906666098086,1789468941.0584214,1789468941.0584214,1789468941.0584214,1789468941.0584214,1789468941.0584214,246.7787,246.7819,341.1364586600543,341.13245856086957,0.024999380111694336,0.024999380111694336,20.126933058017254,16.591533058017255,4.692971957350584,1.3211912937981973,-6.719756675777622e-05,-4.995031276400219e-05,20.12412300689954,19.007234180016617,4.702509865571399,0.0,1789468941.0584214,3.5289939835786814,5.0,1789468941.0584214,0.024999141693115234,3.5289939835786814,3.5289939835786814,0.0,4.4185,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3211912937981973,-6.719756675777622e-05,-4.995031276400219e-05,0.0,246.7787,246.7819,-4.995031276400219e-05,20.127125009998657,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8071,1.8355,0.0552,-1.5707906666098086,3.5354,0.0,0.0255,3.5354,4.436109995708359,0.0,4.436109995708359,4.436109995708359,0.024999380111694336,0.0,0,0.8071,1.8355,0.0552,-1.5707906666098086,0.8071,1.8355,0.0552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,nan,32,nan,32,nan,32,nan,32,nan,32,nan,32,nan,32,nan,32,nan,nan,nan,nan,nan,nan,nan,24,nan,76,nan,76,nan,33,nan,33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468941.2068994,1.463418832,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,4.065733533334732,4.272800000000001,4.287470015099719,4.2728,-0.0002,0.032,4.272919830748057,0.0,0.0,0.0,-1.5707886665597275,1789468941.1824222,1789468941.1824222,1789468941.1824222,1789468941.1824222,1789468941.1824222,289.0691,289.0724,341.0184483827392,341.022615020265,0.024000167846679688,0.024000167846679688,20.120211370388624,16.046111370388623,3.938565909130513,1.7922472386867956,-9.024495481558249e-05,-4.795026268289426e-05,20.121902434178175,19.005136849081286,3.9491444210988673,0.0,1789468941.1824224,4.065733533334732,5.0,1789468941.1824224,0.024000167846679688,4.065733533334732,4.065733533334732,0.0,4.2728,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7922472386867956,-9.024495481558249e-05,-4.795026268289426e-05,0.0,289.0691,289.0724,-4.795026268289426e-05,20.120211370388624,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8071,1.3632,0.0552,-1.5707886665597275,4.0741,0.0,0.028,4.0741,4.287470015099719,0.0,4.287470015099719,4.287470015099719,0.024000167846679688,0.0,0,0.8071,1.3632,0.0552,-1.5707886665597275,0.8071,1.3632,0.0552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37,nan,37,nan,37,nan,37,nan,37,nan,37,nan,37,nan,37,nan,37,nan,nan,nan,nan,nan,nan,nan,24,nan,81,nan,81,nan,37,nan,37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
1789468941.306965,1.563484752,replay_00_t0.800_s0.000,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,4.489338602018356,4.1592618594798685,4.169227098998662,4.1593,-0.0018,0.0362,4.159457917806117,0.0,0.0,0.0,-1.5707886665597275,1789468941.283422,1789468941.283422,1789468941.283422,1789468941.283422,1789468941.283422,323.5186,323.5219,341.09200742398156,341.0958535744431,0.026000022888183594,0.026000022888183594,20.124541899453526,15.625041899453525,3.472617379587404,2.2243519949223733,-0.00011096449139948606,-4.795026268289426e-05,20.124046294068073,19.007161724747295,3.4826305338208456,0.0,1789468941.283422,4.489338602018356,5.0,1789468941.283422,0.025999784469604492,4.489338602018356,4.489338602018356,0.0,4.1593,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2243519949223733,-0.00011096449139948606,-4.795026268289426e-05,0.0,323.5186,323.5219,-4.795026268289426e-05,20.12472644193273,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8072,0.9299,0.0552,-1.5707886665597275,4.4995,0.0,0.0302,4.4995,4.169227098998662,0.0,4.169227098998662,4.169227098998662,0.026000022888183594,0.0,0,0.8072,0.9299,0.0552,-1.5707886665597275,0.8072,0.9299,0.0552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41,nan,41,nan,41,nan,41,nan,41,nan,41,nan,41,nan,41,nan,41,nan,nan,nan,nan,nan,nan,nan,24,nan,85,nan,85,nan,41,nan,41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1789468940.288023
