event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
29,15890749891675,/autodrive/roboracer_1/left_encoder,JointState,1789468853946687345,,"{""position"":[0.0],""velocity"":[]}"
30,15890750189045,/autodrive/roboracer_1/right_encoder,JointState,1789468853946687345,,"{""position"":[0.0],""velocity"":[]}"
38,15890771254290,/autodrive/roboracer_1/left_encoder,JointState,1789468853971687945,,"{""position"":[0.0],""velocity"":[]}"
39,15890771438848,/autodrive/roboracer_1/right_encoder,JointState,1789468853971687945,,"{""position"":[0.0],""velocity"":[]}"
48,15890797677068,/autodrive/roboracer_1/left_encoder,JointState,1789468853996687545,,"{""position"":[0.0],""velocity"":[]}"
49,15890797951455,/autodrive/roboracer_1/right_encoder,JointState,1789468853996687545,,"{""position"":[0.0],""velocity"":[]}"
57,15890821297447,/autodrive/roboracer_1/left_encoder,JointState,1789468854021686845,,"{""position"":[8.5379],""velocity"":[]}"
58,15890821559981,/autodrive/roboracer_1/right_encoder,JointState,1789468854021686845,,"{""position"":[8.5379],""velocity"":[]}"
65,15890845250532,/autodrive/roboracer_1/left_encoder,JointState,1789468854045686845,,"{""position"":[17.2362],""velocity"":[]}"
66,15890845481838,/autodrive/roboracer_1/right_encoder,JointState,1789468854045686845,,"{""position"":[17.2362],""velocity"":[]}"
74,15890871106252,/autodrive/roboracer_1/left_encoder,JointState,1789468854071687345,,"{""position"":[26.661],""velocity"":[]}"
75,15890871332679,/autodrive/roboracer_1/right_encoder,JointState,1789468854071687345,,"{""position"":[26.661],""velocity"":[]}"
83,15890896422706,/autodrive/roboracer_1/left_encoder,JointState,1789468854096687945,,"{""position"":[35.7225],""velocity"":[]}"
84,15890896716370,/autodrive/roboracer_1/right_encoder,JointState,1789468854096687945,,"{""position"":[35.7225],""velocity"":[]}"
92,15890920567954,/autodrive/roboracer_1/left_encoder,JointState,1789468854121687545,,"{""position"":[44.7841],""velocity"":[]}"
93,15890920726422,/autodrive/roboracer_1/right_encoder,JointState,1789468854121687545,,"{""position"":[44.7841],""velocity"":[]}"
101,15890945456472,/autodrive/roboracer_1/left_encoder,JointState,1789468854146686845,,"{""position"":[53.8456],""velocity"":[]}"
102,15890945642422,/autodrive/roboracer_1/right_encoder,JointState,1789468854146686845,,"{""position"":[53.8456],""velocity"":[]}"
110,15890969985703,/autodrive/roboracer_1/left_encoder,JointState,1789468854170686845,,"{""position"":[62.5439],""velocity"":[]}"
111,15890970179989,/autodrive/roboracer_1/right_encoder,JointState,1789468854170686845,,"{""position"":[62.5439],""velocity"":[]}"
118,15890994323593,/autodrive/roboracer_1/left_encoder,JointState,1789468854195687845,,"{""position"":[71.6054],""velocity"":[]}"
121,15890995461196,/autodrive/roboracer_1/right_encoder,JointState,1789468854195687845,,"{""position"":[71.6054],""velocity"":[]}"
128,15891020489137,/autodrive/roboracer_1/left_encoder,JointState,1789468854221687945,,"{""position"":[81.0302],""velocity"":[]}"
129,15891020733357,/autodrive/roboracer_1/right_encoder,JointState,1789468854221687945,,"{""position"":[81.0302],""velocity"":[]}"
137,15891044585933,/autodrive/roboracer_1/left_encoder,JointState,1789468854245686845,,"{""position"":[89.7285],""velocity"":[]}"
138,15891044793654,/autodrive/roboracer_1/right_encoder,JointState,1789468854245686845,,"{""position"":[89.7285],""velocity"":[]}"
146,15891070535169,/autodrive/roboracer_1/left_encoder,JointState,1789468854271686845,,"{""position"":[99.1532],""velocity"":[]}"
147,15891070732902,/autodrive/roboracer_1/right_encoder,JointState,1789468854271686845,,"{""position"":[99.1532],""velocity"":[]}"
155,15891095691311,/autodrive/roboracer_1/left_encoder,JointState,1789468854296687745,,"{""position"":[108.2148],""velocity"":[]}"
156,15891095862253,/autodrive/roboracer_1/right_encoder,JointState,1789468854296687745,,"{""position"":[108.2148],""velocity"":[]}"
164,15891120936922,/autodrive/roboracer_1/left_encoder,JointState,1789468854321687345,,"{""position"":[117.2763],""velocity"":[]}"
165,15891121170221,/autodrive/roboracer_1/right_encoder,JointState,1789468854321687345,,"{""position"":[117.2763],""velocity"":[]}"
174,15891145617618,/autodrive/roboracer_1/left_encoder,JointState,1789468854346687945,,"{""position"":[126.3378],""velocity"":[]}"
175,15891145793309,/autodrive/roboracer_1/right_encoder,JointState,1789468854346687945,,"{""position"":[126.3378],""velocity"":[]}"
183,15891171591581,/autodrive/roboracer_1/left_encoder,JointState,1789468854371687545,,"{""position"":[135.3994],""velocity"":[]}"
184,15891171766400,/autodrive/roboracer_1/right_encoder,JointState,1789468854371687545,,"{""position"":[135.3994],""velocity"":[]}"
192,15891196656952,/autodrive/roboracer_1/left_encoder,JointState,1789468854396686845,,"{""position"":[144.4609],""velocity"":[]}"
193,15891196814939,/autodrive/roboracer_1/right_encoder,JointState,1789468854396686845,,"{""position"":[144.4609],""velocity"":[]}"
201,15891220364184,/autodrive/roboracer_1/left_encoder,JointState,1789468854421687745,,"{""position"":[153.5224],""velocity"":[]}"
202,15891220587495,/autodrive/roboracer_1/right_encoder,JointState,1789468854421687745,,"{""position"":[153.5224],""velocity"":[]}"
208,15891244851696,/autodrive/roboracer_1/left_encoder,JointState,1789468854446687345,,"{""position"":[162.584],""velocity"":[]}"
209,15891245049419,/autodrive/roboracer_1/right_encoder,JointState,1789468854446687345,,"{""position"":[162.584],""velocity"":[]}"
217,15891270400228,/autodrive/roboracer_1/left_encoder,JointState,1789468854471687945,,"{""position"":[171.6455],""velocity"":[]}"
220,15891271545605,/autodrive/roboracer_1/right_encoder,JointState,1789468854471687945,,"{""position"":[171.6455],""velocity"":[]}"
228,15891295336205,/autodrive/roboracer_1/left_encoder,JointState,1789468854496687545,,"{""position"":[180.707],""velocity"":[]}"
229,15891295500074,/autodrive/roboracer_1/right_encoder,JointState,1789468854496687545,,"{""position"":[180.707],""velocity"":[]}"
237,15891319410288,/autodrive/roboracer_1/left_encoder,JointState,1789468854520687645,,"{""position"":[189.4053],""velocity"":[]}"
238,15891319590768,/autodrive/roboracer_1/right_encoder,JointState,1789468854520687645,,"{""position"":[189.4053],""velocity"":[]}"
245,15891345113321,/autodrive/roboracer_1/left_encoder,JointState,1789468854546687745,,"{""position"":[198.8301],""velocity"":[]}"
246,15891345304892,/autodrive/roboracer_1/right_encoder,JointState,1789468854546687745,,"{""position"":[198.8301],""velocity"":[]}"
255,15891370593012,/autodrive/roboracer_1/left_encoder,JointState,1789468854569687445,,"{""position"":[207.1651],""velocity"":[]}"
256,15891370759416,/autodrive/roboracer_1/right_encoder,JointState,1789468854569687445,,"{""position"":[207.1684],""velocity"":[]}"
263,15891395715751,/autodrive/roboracer_1/left_encoder,JointState,1789468854596687945,,"{""position"":[216.9532],""velocity"":[]}"
264,15891395898536,/autodrive/roboracer_1/right_encoder,JointState,1789468854596687945,,"{""position"":[216.9532],""velocity"":[]}"
272,15891421070147,/autodrive/roboracer_1/left_encoder,JointState,1789468854621687545,,"{""position"":[226.0147],""velocity"":[]}"
273,15891421329766,/autodrive/roboracer_1/right_encoder,JointState,1789468854621687545,,"{""position"":[226.0147],""velocity"":[]}"
282,15891445169818,/autodrive/roboracer_1/left_encoder,JointState,1789468854645687645,,"{""position"":[234.7162],""velocity"":[]}"
283,15891445375756,/autodrive/roboracer_1/right_encoder,JointState,1789468854645687645,,"{""position"":[234.7162],""velocity"":[]}"
290,15891469373677,/autodrive/roboracer_1/left_encoder,JointState,1789468854670686845,,"{""position"":[243.7778],""velocity"":[]}"
291,15891469637323,/autodrive/roboracer_1/right_encoder,JointState,1789468854670686845,,"{""position"":[243.7778],""velocity"":[]}"
299,15891495168582,/autodrive/roboracer_1/left_encoder,JointState,1789468854696687345,,"{""position"":[253.2026],""velocity"":[]}"
300,15891495360854,/autodrive/roboracer_1/right_encoder,JointState,1789468854696687345,,"{""position"":[253.2026],""velocity"":[]}"
309,15891520633385,/autodrive/roboracer_1/left_encoder,JointState,1789468854721687945,,"{""position"":[262.2641],""velocity"":[]}"
310,15891520848941,/autodrive/roboracer_1/right_encoder,JointState,1789468854721687945,,"{""position"":[262.2641],""velocity"":[]}"
318,15891545522985,/autodrive/roboracer_1/left_encoder,JointState,1789468854746687545,,"{""position"":[271.3256],""velocity"":[]}"
319,15891545713865,/autodrive/roboracer_1/right_encoder,JointState,1789468854746687545,,"{""position"":[271.3256],""velocity"":[]}"
326,15891569952558,/autodrive/roboracer_1/left_encoder,JointState,1789468854770687645,,"{""position"":[280.0239],""velocity"":[]}"
