event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
4,20818374604663,/autodrive/roboracer_1/left_encoder,JointState,1789473781544476746,,"{""position"":[0.0],""velocity"":[]}"
5,20818374816801,/autodrive/roboracer_1/right_encoder,JointState,1789473781544476746,,"{""position"":[0.0],""velocity"":[]}"
14,20818396281063,/autodrive/roboracer_1/left_encoder,JointState,1789473781569478646,,"{""position"":[0.0],""velocity"":[]}"
15,20818396470564,/autodrive/roboracer_1/right_encoder,JointState,1789473781569478646,,"{""position"":[0.0],""velocity"":[]}"
25,20818420999206,/autodrive/roboracer_1/left_encoder,JointState,1789473781594478246,,"{""position"":[0.0],""velocity"":[]}"
26,20818421202682,/autodrive/roboracer_1/right_encoder,JointState,1789473781594478246,,"{""position"":[0.0],""velocity"":[]}"
36,20818446748787,/autodrive/roboracer_1/left_encoder,JointState,1789473781619477846,,"{""position"":[0.0],""velocity"":[]}"
37,20818447049756,/autodrive/roboracer_1/right_encoder,JointState,1789473781619477846,,"{""position"":[0.0],""velocity"":[]}"
47,20818470700071,/autodrive/roboracer_1/left_encoder,JointState,1789473781644476746,,"{""position"":[0.0],""velocity"":[]}"
48,20818470909753,/autodrive/roboracer_1/right_encoder,JointState,1789473781644476746,,"{""position"":[0.0],""velocity"":[]}"
59,20818496376249,/autodrive/roboracer_1/left_encoder,JointState,1789473781669476746,,"{""position"":[0.0],""velocity"":[]}"
60,20818496591716,/autodrive/roboracer_1/right_encoder,JointState,1789473781669476746,,"{""position"":[0.0],""velocity"":[]}"
69,20818520965251,/autodrive/roboracer_1/left_encoder,JointState,1789473781694478646,,"{""position"":[0.0],""velocity"":[]}"
70,20818521165299,/autodrive/roboracer_1/right_encoder,JointState,1789473781694478646,,"{""position"":[0.0],""velocity"":[]}"
81,20818546428218,/autodrive/roboracer_1/left_encoder,JointState,1789473781719478246,,"{""position"":[0.0],""velocity"":[]}"
82,20818546669018,/autodrive/roboracer_1/right_encoder,JointState,1789473781719478246,,"{""position"":[0.0],""velocity"":[]}"
92,20818571262300,/autodrive/roboracer_1/left_encoder,JointState,1789473781744477846,,"{""position"":[0.0],""velocity"":[]}"
93,20818571458428,/autodrive/roboracer_1/right_encoder,JointState,1789473781744477846,,"{""position"":[0.0],""velocity"":[]}"
