run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,1,6,6,0.19600001,197,774,0.8001,3.159,0.0594,0.0067,0.0067,-0.7071,0.7071,0.0,0.0189,4.7124,0.0045,0.0,-0.0113,0.0,0.0626,0.0,-0.0231,0.0004,0.0642,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,2,7,7,0.221000016,222,908,0.8001,3.1589,0.0594,0.0072,0.0072,-0.7071,0.7071,0.0,0.0203,4.7124,0.004,0.0,-0.01,0.0,0.0554,0.0,-0.0189,0.0005,0.0206,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,3,8,8,0.246,247,1017,0.8001,3.1588,0.0593,0.0076,0.0076,-0.7071,0.7071,0.0,0.0216,4.7124,0.0035,0.0,-0.0087,0.0,0.0489,0.0,-0.02,0.0,0.0718,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,4,9,9,0.271000028,272,1104,0.8001,3.1588,0.0593,0.0081,0.0081,-0.7071,0.7071,0.0,0.0228,4.7124,0.0031,0.0,-0.0076,0.0,0.0431,0.0,-0.0159,0.0018,0.0592,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,5,10,10,0.296,297,1213,0.8001,3.1587,0.0593,0.0084,0.0084,-0.707,0.7071,0.0,0.0238,4.7124,0.0028,0.0,-0.0067,0.0,0.038,0.0,-0.0144,-0.0001,0.024,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,6,11,11,0.321,322,1318,0.8001,3.1586,0.0593,0.0087,0.0087,-0.707,0.7071,0.0,0.0247,4.7124,0.0025,0.0,-0.0059,0.0,0.0336,0.0,-0.0125,-0.002,0.0351,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,7,12,12,0.346000016,347,1406,0.8001,3.1586,0.0593,0.009,0.009,-0.707,0.7071,0.0,0.0255,4.7124,0.0022,0.0,-0.0051,0.0,0.0296,0.0,-0.0103,-0.0012,0.0024,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,8,13,13,0.371000022,372,1473,0.8001,3.1586,0.0592,0.0092,0.0092,-0.707,0.7071,0.0,0.0262,4.7124,0.0019,0.0,-0.0045,0.0,0.0261,0.0,-0.0095,-0.0015,0.0226,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,9,14,14,0.397,398,1518,0.8001,3.1585,0.0592,0.0095,0.0095,-0.707,0.7071,0.0,0.0268,4.7124,0.0017,0.0,-0.0039,0.0,0.0229,0.0,-0.0084,-0.001,0.0116,0.0,0.0
live_odom_ekf_amcl_pp_12mps_steering_revision_20260915,10,15,15,0.422000021,423,1603,0.8001,3.1585,0.0592,0.0097,0.0097,-0.707,0.707,0.0,0.0273,4.7124,0.0015,0.0,-0.0035,0.0,0.0202,0.0,-0.0091,0.0011,0.0211,0.0,0.0
