event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
1,4541875316205,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
2,4541875500652,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
16,4541901810065,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
21,4541903247428,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
31,4541925216773,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
37,4541926858477,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
46,4541950193598,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
52,4541951920713,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
61,4541977209691,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
67,4541979125701,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
77,4542000234173,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
84,4542002383565,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
95,4542025374932,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
96,4542025554119,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
113,4542050269868,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
119,4542051760075,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
131,4542077204514,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
132,4542077354670,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
150,4542100830816,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
151,4542100945489,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
167,4542125186819,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
173,4542127321657,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
185,4542151653437,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
191,4542153766616,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
203,4542175125176,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
204,4542175289637,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
221,4542201280653,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
228,4542203525344,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
239,4542226544953,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
245,4542228695448,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.003100000089034438}"
257,4542249987390,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
262,4542251719274,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.003100000089034438}"
275,4542274854237,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.006000000052154064}"
281,4542276563631,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
293,4542300129016,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
294,4542300279853,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
311,4542325252507,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
312,4542325438666,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
329,4542350236972,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.012000000104308128}"
334,4542351794909,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07169999927282333}"
347,4542376788330,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.014999999664723873}"
353,4542379033001,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07169999927282333}"
365,4542400276598,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.017999999225139618}"
371,4542402275464,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05339999869465828}"
383,4542426625768,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.020999999716877937}"
389,4542428560681,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05290000140666962}"
401,4542449724106,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.027000000700354576}"
406,4542451185642,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05389999970793724}"
419,4542475291652,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.027000000700354576}"
425,4542477251500,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05389999970793724}"
437,4542502567832,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.032999999821186066}"
442,4542504618931,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.06129999831318855}"
