event_index,source_stamp_ns,stage,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_mps,steering_command_rad,previous_steering_rate_radps,previous_target_speed_rate_mps2,steering_rate_radps,target_speed_rate_mps2
1266,1789654030561355037,0,21.80566961,0.1656917483,-0.3014636636,0,0,0,0,0,0,0,0.011682868,3
1266,1789654030561355037,1,21.80566961,0.1656917483,-0.3014636636,0,0,0,0.07500000298,0.0002920716943,0.011682868,3,0.01905369945,3
1266,1789654030561355037,2,21.8058031,0.1656498909,-0.3014566898,0.01127937157,0,3.236309794e-06,0.150000006,0.0007684141747,0.01905369945,3,0.02492360398,3
1266,1789654030561355037,3,21.80637518,0.1654704958,-0.3014266193,0.03705989942,0,2.755011701e-05,0.2250000089,0.001391504309,0.02492360398,3,0.03128594905,3
1266,1789654030561355037,4,21.80768975,0.1650583297,-0.3013567626,0.07401423156,0,0.0001108707656,0.3000000119,0.002173653105,0.03128594905,3,0.03953383118,3
1266,1789654030561355037,5,21.80998111,0.1643401682,-0.3012329638,0.1195784956,0,0.0003119520552,0.375,0.003161998931,0.03953383118,3,0.05046533421,3
1266,1789654030561355037,6,21.81343001,0.1632598788,-0.3010423779,0.1717770994,0,0.0007158590015,0.4499999881,0.004423632286,0.05046533421,3,0.06429357827,3
1266,1789654030561355037,7,21.81817608,0.1617746353,-0.3007721305,0.2290877551,0,0.001441098517,0.5249999762,0.00603097165,0.06429357827,3,0.0806838721,3
1266,1789654030561355037,8,21.82432736,0.1598520577,-0.3004080951,0.290337503,0,0.002644749358,0.5999999642,0.008048068732,0.0806838721,3,0.09882636368,3
1266,1789654030561355037,9,21.83196765,0.1574680209,-0.2999334037,0.3546224833,0,0.004522262141,0.6749999523,0.01051872782,0.09882636368,3,0.1175365746,3
1266,1789654030561355037,10,21.84116227,0.1546050459,-0.2993275523,0.4212462902,0,0.007299833,0.7499999404,0.01345714182,0.1175365746,3,0.1353769898,3
1266,1789654030561355037,11,21.8519624,0.1512510926,-0.2985656559,0.4896722138,0,0.01121877879,0.8249999285,0.01684156619,0.1353769898,3,0.1507886648,3
1266,1789654030561355037,12,21.86440848,0.1473987401,-0.2976179123,0.5594867468,0,0.01651276276,0.8999999166,0.02061128244,0.1507886648,3,0.1622218043,3
1266,1789654030561355037,13,21.87853289,0.1430446655,-0.2964503765,0.6303713322,0,0.02337987348,0.9749999046,0.02466682717,0.1622218043,3,0.1682614535,3
