event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual
1266,1789654030561355037,4,0,0,0,0,100,3.310059071,0.5064034462
1286,1789654030586355011,4,0,0,0,0,100,3.310028553,0.4922066927
1306,1789654030610355032,4,0,0,0,0,100,3.310837269,0.2005690932
1326,1789654030636355011,4,0,0,0,0,100,3.31080389,0.215170145
1348,1789654030657355011,4,0,0,0,0,100,3.310783386,0.2252325416
1369,1789654030681355041,4,0,0,0,0,100,3.310824871,2.296981812
1389,1789654030703355026,4,0,0,0,0,100,3.294744253,0.1233839989
1409,1789654030726355028,4,0,0,0,0,100,3.26575923,0.118894577
1430,1789654030748355043,4,0,0,0,0,100,3.239122868,0.1119618416
1451,1789654030783355011,4,0,0,0,0,100,3.209537506,0.10901618
1472,1789654030810355011,4,0,0,0,0,100,3.187668324,0.1087608337
1493,1789654030836355042,4,0,0,0,0,100,3.164577723,0.1085021496
1514,1789654030862355065,4,0,0,0,0,100,3.143766642,0.122045517
1535,1789654030886355054,4,0,0,0,0,100,3.123857975,0.1301356554
1556,1789654030912355011,4,0,0,0,0,100,3.10448885,0.130885005
1577,1789654030937355053,4,0,0,0,0,100,3.084972858,0.1274278164
1598,1789654030962355011,4,0,0,0,0,100,3.066655874,0.1197707653
1619,1789654030987355065,4,0,0,0,0,100,3.048192024,0.112082839
1640,1789654031012355042,4,0,0,0,0,100,3.031012058,0.1071636677
1661,1789654031037355011,4,0,0,0,0,100,3.011060953,0.1065561771
1682,1789654031062355053,4,0,0,0,0,100,2.991426468,0.1062157154
1703,1789654031087355011,4,0,0,0,0,100,2.97017312,0.4367794394
1724,1789654031112355065,4,0,0,0,0,100,2.945892811,0.1052660942
1745,1789654031137355042,4,0,0,0,0,100,2.922903299,0.1045217514
1766,1789654031163355064,4,0,0,0,0,100,2.897179604,0.1038024426
1787,1789654031187355053,4,0,0,0,0,100,2.870106697,0.1033768654
1807,1789654031213355076,4,0,0,0,0,100,2.845188141,0.1022319794
1829,1789654031237355065,4,0,0,0,0,100,2.839072704,0.1019682884
1850,1789654031263355011,4,0,0,0,0,100,2.839755535,0.101834774
1871,1789654031287355011,4,0,0,0,0,100,2.841217756,0.1016595364
1892,1789654031312355111,4,0,0,0,0,100,2.842695713,0.1015043259
1913,1789654031338355011,4,0,0,0,0,100,2.844100475,0.1012806892
1935,1789654031362355011,4,0,0,0,0,100,2.848454237,0.1012806892
1955,1789654031388355091,4,0,0,0,0,100,2.852634668,0.101190567
1976,1789654031413355011,4,0,0,0,0,100,2.8575387,0.1011571884
1997,1789654031437355111,4,0,0,0,0,100,2.862436771,0.1011838913
2018,1789654031463355011,4,0,0,0,0,100,2.868710518,0.1012673378
2039,1789654031488355111,4,0,0,0,0,100,2.875094891,0.1013407707
2060,1789654031513355091,4,0,0,0,0,100,2.882030487,0.1014842987
2080,1789654031538355011,4,0,0,0,0,100,2.88931489,0.101644516
2102,1789654031563355011,4,0,0,0,0,100,2.897249937,0.1018798351
2122,1789654031588355011,4,0,0,0,0,100,2.905416965,0.1021234989
2143,1789654031613355111,4,0,0,0,0,100,2.914095163,0.1024155617
2165,1789654031637355011,4,0,0,0,0,100,2.922636032,0.1027293205
2186,1789654031663355011,4,0,0,0,0,100,2.932391167,0.1031115055
2207,1789654031688355011,4,0,0,0,0,100,2.943030119,0.103530407
2228,1789654031713355131,4,0,0,0,0,100,2.950131655,0.1038408279
2249,1789654031738355111,4,0,0,0,0,100,2.96013546,0.104293108
2270,1789654031763355091,4,0,0,0,0,100,2.968816519,0.1047019958
2291,1789654031788355011,4,0,0,0,0,100,2.978155613,0.1051359177
2312,1789654031813355011,4,0,0,0,0,100,2.987208843,0.1055932045
2333,1789654031838355131,4,0,0,0,0,100,2.996867657,0.106107235
2354,1789654031863355111,4,0,0,0,0,100,3.005958319,0.1065895557
2375,1789654031888355091,4,0,0,0,0,100,3.014599323,0.1070652008
2396,1789654031913355011,4,0,0,0,0,100,3.021183491,0.1074790955
2416,1789654031938355011,4,0,0,0,0,100,3.029029131,0.1079730988
2438,1789654031964355011,4,0,0,0,0,100,3.037839413,0.1084988117
2459,1789654031988355111,4,0,0,0,0,100,3.045167923,0.1089794636
2480,1789654032013355091,4,0,0,0,0,100,3.049683332,0.1093232632
2501,1789654032038355011,4,0,0,0,0,100,3.0549438,0.1097521782
2522,1789654032063355011,4,0,0,0,0,100,3.060337067,0.1101760864
2543,1789654032089355011,4,0,0,0,0,100,3.0655756,0.110616684
2564,1789654032113355111,4,0,0,0,0,100,3.069833755,0.1110005379
2584,1789654032138355091,4,0,0,0,0,100,3.072342873,0.1113409996
2606,1789654032164355111,4,0,0,0,0,100,3.075484753,0.1117231846
2627,1789654032189355091,4,0,0,0,0,100,3.07559824,0.1119451523
2648,1789654032214355011,4,0,0,0,0,100,3.076629162,0.1122105122
2669,1789654032239355161,4,0,0,0,0,100,3.077652693,0.1124858856
2692,1789654032263355091,4,0,0,0,0,100,3.077959061,0.112716198
2713,1789654032290355161,4,0,0,0,0,100,3.076484203,0.112929821
2734,1789654032314355011,4,0,0,0,0,100,3.075412989,0.1130867004
2753,1789654032339355181,4,0,0,0,0,100,3.071754694,0.113145113
2774,1789654032365355201,4,0,0,0,0,100,3.068931103,0.1132702827
2795,1789654032389355131,4,0,0,0,0,100,3.065881252,0.1132969856
2818,1789654032415355161,4,0,0,0,0,100,3.060659885,0.1132769585
2837,1789654032441355181,4,0,0,0,0,100,3.055888653,0.1132769585
2858,1789654032464355181,4,0,0,0,0,100,3.049617767,0.1131551266
