event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
1530,95818055745339,1789737666038758924,/odom,Odometry,1789737666031669210,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
1531,95818056160740,1789737666039174275,/ekf_odom,Odometry,1789737666031669210,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
1543,95818079320096,1789737666062333671,/odom,Odometry,1789737666058165637,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-9.360572864602899e-06,""yaw_rate_radps"":0.0}"
1544,95818079739694,1789737666062753289,/ekf_odom,Odometry,1789737666058165637,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-9.360572864602902e-06,""yaw_rate_radps"":0.0}"
1564,95818106771778,1789737666089785534,/odom,Odometry,1789737666085053590,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-2.8162252959651468e-05,""yaw_rate_radps"":0.0}"
1565,95818107211104,1789737666090224619,/ekf_odom,Odometry,1789737666085053590,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-2.8162252959651468e-05,""yaw_rate_radps"":0.0}"
1581,95818129543886,1789737666112557251,/odom,Odometry,1789737666108815879,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-4.370417543930749e-05,""yaw_rate_radps"":0.0}"
1583,95818130636149,1789737666113649594,/ekf_odom,Odometry,1789737666108815879,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-4.3704175439307505e-05,""yaw_rate_radps"":0.0}"
1598,95818154314590,1789737666137328095,/odom,Odometry,1789737666133474192,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-5.858646899925545e-05,""yaw_rate_radps"":0.0}"
1599,95818154667133,1789737666137680537,/ekf_odom,Odometry,1789737666133474192,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-5.8586468999255445e-05,""yaw_rate_radps"":0.0}"
