event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_objective,r2_objective,r1_slack_m,r2_slack_m,selected_candidate,r1_iterations,r2_iterations,r1_steering_rate_radps,r1_target_speed_rate_mps2,r1_next_progress_m,r1_next_e_y_m,r1_next_raw_bound_clearance_m,r1_next_first_step_clearance_m,r2_steering_rate_radps,r2_target_speed_rate_mps2,r2_next_progress_m,r2_next_e_y_m,r2_next_raw_bound_clearance_m,r2_next_first_step_clearance_m,r1_solve_us,r2_solve_us,total_rti_us,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_state_mps,steering_state_rad,state_age_s,path_curvature_per_m,raw_left_bound_m,raw_right_bound_m,current_raw_bound_clearance_m,current_inset_corridor_clearance_m,first_prediction_corridor_margin_m,lateral_accel_proxy_mps2,minimum_predicted_corridor_slack_m,candidate_progress_error_max_m,candidate_curvature_error_max_per_m,candidate_left_bound_error_max_m,candidate_right_bound_error_max_m,nonlinear_failure_stage,nonlinear_failure_reason
145,1789731634560795813,0,0.01162016392,3,0.0002905041038,0.07500000298,49,0.009834766388,0.00906265527,2,1,32,0,0,0,344403.1875,344402.875,0.8055509925,0.8055486679,R1,49,27,0.01162016392,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009859442711,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,1303.568999,390.0629997,1841.349,7,1,7,14,24,26,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.003599053,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.267937839,0.8055509925,0.006014320999,0.005636457354,0.001356601715,0.00366204977,-1,-1
160,1789731634587292951,0,0.009883463383,3,0.000247086602,0.07500000298,27,0.009094715118,0.007116787136,2,1,32,0,0,0,344402.8438,344402.875,0.8055485487,0.8055486679,R2,27,27,0.009805321693,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883463383,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,391.1140003,416.5219994,885.2030001,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.005225369,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2599781156,0.8055486679,3.087334335e-06,2.786517143e-06,5.960464478e-07,1.966953278e-06,-1,-1
175,1789731634611144367,0,0.009883284569,3,0.00024708212,0.07500000298,27,0.00910115242,0.007123045623,2,1,32,0,0,0,344402.875,344402.875,0.8055486083,0.8055486679,R2,27,27,0.009827613831,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883284569,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,395.9939995,400.5830002,874.1019993,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.004914485,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2599771321,0.8055486679,1.9967556e-06,1.840293407e-06,3.576278687e-07,1.25169754e-06,-1,-1
190,1789731634636548111,0,0.009883284569,3,0.00024708212,0.07500000298,27,0.00910115242,0.007130399346,2,1,32,0,0,0,344402.875,344402.875,0.8055486083,0.8055486679,R2,27,27,0.009827613831,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883284569,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,458.9719992,417.3439999,953.0500002,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.004176918,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.259976685,0.8055486679,1.9967556e-06,1.840293407e-06,3.576278687e-07,1.25169754e-06,-1,-1
205,1789731634662516365,0,0.009883463383,3,0.000247086602,0.07500000298,27,0.009094238281,0.007124088705,2,1,32,0,0,0,344402.875,344402.875,0.8055486083,0.8055486679,R2,27,27,0.009827673435,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.009883463383,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,558.8200006,413.9879999,1063.479,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0,0,0.003699822,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2599773407,0.8055486679,2.007931471e-06,1.851469278e-06,3.576278687e-07,1.25169754e-06,-1,-1
221,1789731634686100499,0,0.06819153577,3,0.004904788453,0.07800000161,27,0.009086847305,0.007080122828,2,1,32,0,0,0,344179.4688,344179.5,0.8054326773,0.8054328561,R2,27,27,0.0680956319,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,0.06819153577,3,21.80566961,0.1656917483,0.8906917483,0.8406917475,392.5170002,401.6450005,870.585,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.003000000026,0.003199999919,0.002821131,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2598637342,0.8054328561,4.12017107e-06,3.669410944e-06,8.344650269e-07,2.562999725e-06,-1,-1
237,1789731634711243151,0,1.13436079,3,0.08657389134,0.1460742503,28,0.009161710739,0.006256192923,2,1,96,0,0,0,339097.5312,339097.5938,0.805845499,0.8058456182,R2,27,28,1.134293079,3,21.80579251,0.1656532139,0.8906532139,0.8406532131,1.13436079,3,21.80579251,0.1656532139,0.8906532139,0.8406532131,471.9560003,443.1329994,991.1820002,1,1,14,14,10,12,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.07107424736,0.05821486935,0.002730852,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.2644230425,0.8058456182,1.102290116e-05,7.912516594e-06,1.430511475e-06,6.914138794e-06,-1,-1
253,1789731634735867119,0,-0.04849243164,3,0.0570025593,0.2203032672,31,0.009361505508,0.00720294565,2,1,32,0,0,0,333515.5938,333515.4375,0.8054813743,0.8054812551,R1,31,26,-0.04849243164,3,21.80599268,0.1655904651,0.8905904651,0.8405904643,-0.04935646802,3,21.80599268,0.1655904651,0.8905904651,0.8405904643,422.1730003,386.5769997,884.2220001,1,1,14,14,4,6,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.1453032643,0.05821486935,0.002654518,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.3713266253,0.8054813743,0.003696643282,0.002062294632,0.002308130264,0.001973032951,-1,-1
269,1789731634760677788,0,-0.03540221602,3,0.05732981488,0.2947055995,25,0.008887052536,0.005978211761,2,1,32,0,0,0,327979.7188,327979.7188,0.8058854342,0.8058854342,R1,25,24,-0.03540221602,3,21.80619332,0.1655275524,0.8905275524,0.8405275516,-0.03545443714,3,21.80619332,0.1655275524,0.8905275524,0.8405275516,373.842,411.1529999,860.8669996,1,1,14,14,6,8,21.80566961,0.1656917483,-0.3013786972,0,0,0,0.2197055966,0.05821486935,0.002474179,-0.05188309756,1.195860037,0.725,0.8906917483,0.8406917475,0.05000000075,0.435200572,0.8058854342,0.0007443923969,0.0004923269153,0.0004642009735,0.0003674030304,-1,-1
285,1789731634785881906,0,-0.02401007526,3,0.05761461705,0.3685159683,24,0.008903980255,0.005781773478,2,1,32,0,0,0,322445.3438,322445.3125,0.8068757057,0.8068757057,R1,24,24,-0.02401007526,3,21.80665094,0.1653844267,0.8903844267,0.840384426,-0.02406082489,3,21.80665094,0.1653844267,0.8903844267,0.840384426,364.6450005,420.8699999,861.4490004,1,1,14,14,6,8,21.80576379,0.1656624079,-0.3013612628,0.007843120024,0,0.0103000002,0.2935159802,0.05821486935,0.002879421,-0.05187553413,1.195801169,0.725,0.8906624079,0.8406624071,0.05000000075,0.4941083789,0.8068757057,0.0006289912853,0.0003812089562,0.0003520846367,0.0003917217255,-1,-1
